epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.4684417831517518,1.3352524690006091,0.0,0.0407,0.1067,0.1519
1,1.4122377927039398,1.3220150859459587,0.9955,0.9913,0.3546,0.3063
2,1.3922432965230316,1.313369461375734,0.9996,0.9992,0.6164,0.6972
3,1.3854828862714499,1.307721655005994,0.9997,0.9994,0.6578,0.7326
4,1.381553809593587,1.303301093371018,0.9997,0.9995,0.6714,0.7409
5,1.3808776943142373,1.3027238327523936,0.9998,0.9996,0.6742,0.7422
6,1.3782080711611664,1.2987759644570558,0.9998,0.9996,0.6792,0.7461
7,1.382083774731262,1.298253337326257,0.9998,0.9996,0.6813,0.7467
8,1.3816009697278937,1.2994664648304814,0.9998,0.9996,0.6852,0.7476
9,1.380840951685163,1.3001171700332477,0.9998,0.9996,0.6823,0.7458
10,1.3817683158627594,1.2992835083733434,0.9998,0.9996,0.6826,0.746
11,1.3811129179501846,1.2995084835135418,0.9998,0.9996,0.6859,0.7471
12,1.3804498872882207,1.2978446289249088,0.9998,0.9996,0.6849,0.7473
13,1.3791029166996367,1.2977996669385745,0.9998,0.9996,0.6835,0.7469
14,1.3797692637506167,1.2986712196598882,0.9997,0.9995,0.684,0.7462
15,1.3814955379457456,1.298395081706669,0.9997,0.9995,0.6836,0.7463
16,1.3785247062429031,1.2979454268579897,0.9997,0.9995,0.6833,0.7469
17,1.380208269740135,1.2965519583743552,0.9997,0.9995,0.6826,0.7468
18,1.379408271853964,1.2977972471195718,0.9997,0.9995,0.6829,0.7464
19,1.3803143792036103,1.2954873740673065,0.9997,0.9995,0.6858,0.7475
20,1.3809502109130374,1.2959377065948818,0.9997,0.9995,0.6838,0.7471
21,1.379638462084543,1.297435616021571,0.9997,0.9995,0.6846,0.7469
22,1.3840120171963832,1.2981424538985542,0.9997,0.9995,0.6837,0.7464
23,1.3816738575976517,1.299711604481158,0.9997,0.9995,0.684,0.7463
24,1.380404483310277,1.2991618676030117,0.9997,0.9995,0.6849,0.7471
25,1.3792971902671942,1.2965709832699404,0.9998,0.9996,0.6845,0.7471
26,1.3820068769114997,1.2989493174397426,0.9998,0.9996,0.6852,0.7474
27,1.380197442494906,1.2985252731520196,0.9998,0.9996,0.6846,0.747
28,1.3822557906048831,1.2978701461916384,0.9998,0.9996,0.6825,0.7461
29,1.3822900895553503,1.2982081388649733,0.9997,0.9995,0.6829,0.747
30,1.3788707793094428,1.298797343088233,0.9997,0.9995,0.681,0.7458
31,1.380540138114013,1.2974690866211187,0.9998,0.9996,0.685,0.7474
32,1.3802884846198848,1.297097922667213,0.9998,0.9996,0.6853,0.7468
33,1.3812091900752141,1.2981687466735425,0.9998,0.9996,0.6826,0.746
34,1.3817148233220455,1.299731783244921,0.9998,0.9996,0.6814,0.7453
35,1.3822394519988412,1.2997779237187428,0.9997,0.9995,0.6819,0.7451
36,1.3813852214902695,1.297743197368539,0.9998,0.9996,0.6837,0.7474
37,1.3800634447673918,1.296196614270625,0.9998,0.9996,0.6825,0.7461
38,1.3811357023568358,1.2979875343001408,0.9998,0.9996,0.6875,0.7477
39,1.3802722679070192,1.2965160057596539,0.9997,0.9995,0.6851,0.7471
40,1.3808742504406155,1.2969599521678428,0.9997,0.9995,0.6843,0.7469
41,1.3783340156637482,1.2932989798162295,0.9997,0.9995,0.6843,0.7479
42,1.3824193363565442,1.2950992934081866,0.9997,0.9995,0.6834,0.7472
43,1.3829626614336226,1.2990711895020113,0.9997,0.9995,0.6819,0.7458
44,1.3808596398101292,1.2972044640261193,0.9997,0.9995,0.6853,0.7471
45,1.3823436429308236,1.300303727388382,0.9997,0.9995,0.6824,0.7461
46,1.3822752528074311,1.2979029112535974,0.9997,0.9995,0.684,0.7466
47,1.3834955757151848,1.2986366917257723,0.9997,0.9995,0.6851,0.747
48,1.37780251511937,1.29628069050934,0.9997,0.9995,0.6846,0.7474
49,1.3802078655915682,1.2974855478691019,0.9998,0.9996,0.6832,0.7467
