epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.8397733411466874,1.644336734129035,0.8356,0.7176,0.0661,0.1505
1,1.7463563888650002,1.6009364614020223,0.8356,0.7176,0.3638,0.3996
2,1.7029082408318152,1.5776351677334828,0.8356,0.7176,0.5084,0.5556
3,1.6822062862746934,1.5646082545104234,0.8356,0.7176,0.6357,0.6536
4,1.6764681162574726,1.559321809074153,0.8737,0.7943,0.6645,0.6904
5,1.6716498565942217,1.5532937406197838,0.888,0.8286,0.6665,0.7064
6,1.6723321235649582,1.5523542107447335,0.8848,0.8287,0.6683,0.7138
7,1.6731531322561555,1.5527756395547285,0.8816,0.826,0.6701,0.7188
8,1.6726758202737089,1.5522226276605025,0.8789,0.824,0.6687,0.7223
9,1.6711984828086552,1.551152119817941,0.8762,0.8217,0.6688,0.7258
10,1.6712129230123522,1.5488624371912167,0.8736,0.8191,0.667,0.7287
11,1.6717383394098193,1.5489428328431172,0.8722,0.8181,0.6709,0.73
12,1.673653586496779,1.5516863795726195,0.8742,0.8199,0.6691,0.7268
13,1.6732841124006776,1.5514393209115318,0.8723,0.8182,0.6694,0.7279
14,1.6728352057777247,1.5514796421579693,0.8729,0.8186,0.6711,0.7272
15,1.6771750295810808,1.5542601210915523,0.8729,0.8186,0.6699,0.7262
16,1.6732840432906018,1.5532935371865397,0.8745,0.8202,0.6684,0.7268
17,1.6719521776149242,1.5521762461765953,0.8712,0.817,0.6691,0.7277
18,1.6730015727413527,1.5526637694110041,0.872,0.8178,0.6666,0.7273
19,1.6725981351805896,1.5527030197174654,0.8746,0.8202,0.6688,0.7259
20,1.6714373493731358,1.5505743240532668,0.8748,0.8205,0.6648,0.7259
21,1.6693477887821018,1.549184989022172,0.8737,0.8192,0.6683,0.7266
22,1.6667090023659854,1.5467621515626493,0.8729,0.8186,0.6686,0.7268
23,1.672787518259732,1.5487509978854137,0.8741,0.8197,0.6685,0.7239
24,1.6718273332821272,1.5474470581697382,0.8746,0.8203,0.6694,0.7271
25,1.6731608891352927,1.5498842920946039,0.8731,0.8189,0.6677,0.7257
26,1.6677591431655312,1.547137962087341,0.873,0.8186,0.6699,0.7271
27,1.6741363337965889,1.5501376908758413,0.8742,0.8198,0.6684,0.7255
28,1.671658088968574,1.5500284446322399,0.8728,0.8187,0.6677,0.7253
29,1.6704672507899787,1.55138916425083,0.8752,0.8208,0.667,0.7251
30,1.6737494643141584,1.551472205830657,0.8743,0.82,0.6681,0.7268
31,1.6718912712852234,1.5498040227786354,0.8714,0.8172,0.6704,0.7297
32,1.6675903244716366,1.5500121583109316,0.8726,0.8185,0.668,0.7265
33,1.6697147975048474,1.549655047447785,0.8728,0.8187,0.6686,0.7269
34,1.6741219808192012,1.5498029084309288,0.8727,0.8187,0.6684,0.7282
35,1.6719805257181737,1.5501634517441625,0.8736,0.8194,0.6637,0.7272
36,1.6699141093982317,1.5512057277171507,0.8751,0.8208,0.6649,0.7253
37,1.671005806377189,1.550486705225447,0.8747,0.8203,0.665,0.7253
38,1.6701100317666946,1.5507556446220563,0.8737,0.8193,0.6657,0.7255
39,1.6699777995891463,1.5509646994912105,0.8735,0.8192,0.6678,0.726
40,1.673368182459647,1.55098232432552,0.8698,0.8155,0.6686,0.7271
41,1.6676619641105408,1.5498327457386514,0.873,0.8186,0.6667,0.7256
42,1.670792590833739,1.5489663313264432,0.8736,0.8192,0.666,0.7257
43,1.6727372313977182,1.5507189482450485,0.8716,0.8173,0.6689,0.7237
44,1.6678621019699784,1.5499066438363946,0.873,0.8188,0.6696,0.7252
45,1.6730376119685217,1.5506833532582158,0.8736,0.819,0.6685,0.7247
46,1.6705318255451338,1.5515469131262407,0.8764,0.8218,0.6688,0.7249
47,1.67414424634114,1.5519594899986102,0.8753,0.8208,0.6707,0.7268
48,1.6738143886455228,1.5520368723765663,0.8751,0.8208,0.6668,0.7273
49,1.6750138910805308,1.551280194002649,0.8729,0.8188,0.6661,0.7291
