epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.4966650011393945,1.3324306399925896,0.9895,0.9796,0.2779,0.5449
1,1.4256816706187287,1.3377652288131092,0.9842,0.9696,0.3398,0.5996
2,1.4128096305148703,1.341294785556586,0.9817,0.9647,0.357,0.5562
3,1.408779989609696,1.3399683849319168,0.9827,0.9668,0.3479,0.589
4,1.4073610947165691,1.3384150723400323,0.6569,0.5099,0.3454,0.5933
5,1.405174861491566,1.3366704000079113,0.6584,0.5115,0.348,0.5887
6,1.4049567100587586,1.3352728364584239,0.6599,0.5131,0.3452,0.5953
7,1.404313656757695,1.3348999054211637,0.661,0.5143,0.3541,0.5655
8,1.403043131425347,1.3330774263519307,0.6619,0.5152,0.3495,0.5833
9,1.4029964197409546,1.3331413967129977,0.6625,0.5159,0.3536,0.5673
10,1.4021397861516531,1.332147102964961,0.663,0.5164,0.3499,0.5833
11,1.4022449880698478,1.3334523593278036,0.9877,0.9763,0.363,0.5409
12,1.401057709774501,1.3326022275116132,0.9879,0.9765,0.3582,0.553
13,1.400322660705853,1.3313108274470205,0.6639,0.5174,0.3584,0.5538
14,1.4011974882072127,1.330236479478038,0.6641,0.5176,0.3512,0.5785
15,1.401318897775641,1.3323669245709544,0.9881,0.977,0.3648,0.5169
16,1.4010798654645822,1.3331050623370253,0.9882,0.9772,0.3546,0.5622
17,1.4005056650985575,1.3333784064844898,0.9882,0.9772,0.3646,0.5245
18,1.4003421773373241,1.331978142099536,0.9883,0.9773,0.3088,0.3229
19,1.4000062772365802,1.3304165609828804,0.9883,0.9773,0.3591,0.5507
20,1.4001147000442649,1.3296789962636388,0.9883,0.9773,0.3542,0.5684
21,1.400512951304655,1.3301129985762679,0.9883,0.9773,0.3478,0.5898
22,1.4011189499931156,1.3305595340612142,0.9883,0.9773,0.3544,0.5674
23,1.4006158234367907,1.330749746735977,0.6647,0.5182,0.3543,0.5642
24,1.4006680227781125,1.3298522233963013,0.6647,0.5183,0.3455,0.5939
25,1.400154203428349,1.3302865046197954,0.6648,0.5183,0.3501,0.582
26,1.4005166685077506,1.329273677876462,0.6648,0.5184,0.3521,0.5785
27,1.4003303779682643,1.330894017511088,0.6648,0.5184,0.3507,0.5791
28,1.3997277500483911,1.328219935459935,0.6649,0.5184,0.3414,0.6008
29,1.399570119660785,1.3285743284808553,0.9885,0.9777,0.3377,0.604
30,1.4003221453635346,1.3297668373131233,0.9885,0.9778,0.3461,0.5914
31,1.3990217840167838,1.3296779846043691,0.9885,0.9778,0.3548,0.5635
32,1.4005457429259036,1.3306884214929913,0.665,0.5185,0.3637,0.5243
33,1.4001272698523293,1.3305449176417745,0.6651,0.5187,0.3565,0.5607
34,1.3989113263680901,1.3304723389446735,0.6651,0.5187,0.3607,0.5463
35,1.3996131596990595,1.3311708188899185,0.665,0.5186,0.3653,0.522
36,1.4000351539799865,1.3302593451479208,0.6651,0.5187,0.313,0.3305
37,1.4002037966195406,1.3281999162357787,0.9887,0.978,0.3404,0.6017
38,1.3995345461536461,1.3294597933797732,0.6652,0.5187,0.3461,0.5904
39,1.3987217815828994,1.3285986931751603,0.6652,0.5187,0.3563,0.5589
40,1.400105237513081,1.331352747004965,0.9887,0.9781,0.2881,0.2927
41,1.3998893722122263,1.331584160418614,0.9887,0.9781,0.31,0.3252
42,1.3985900263271422,1.3319774563221827,0.9887,0.9781,0.2925,0.2985
43,1.3994935527094092,1.3304716813499513,0.6652,0.5188,0.3597,0.5521
44,1.3994990607382547,1.3301821342952873,0.6652,0.5187,0.3539,0.5659
45,1.40027420599136,1.3307406314365242,0.6652,0.5188,0.3618,0.5457
46,1.3989849356978152,1.3299924896463104,0.6652,0.5188,0.3565,0.5593
47,1.3992978699330434,1.3289185694378356,0.6652,0.5188,0.3507,0.5809
48,1.4002436646833107,1.3308054166643515,0.9887,0.9781,0.362,0.5423
49,1.399250225058184,1.3294191792931245,0.6652,0.5188,0.3555,0.5619
