epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6788626102169164,1.5874630522418332,0.6206,0.5615,0.2687,0.3704
1,1.6167804017021326,1.5550985163424438,0.8124,0.7491,0.2851,0.4204
2,1.5952136920114453,1.5425383022853307,0.7678,0.7015,0.2988,0.4289
3,1.586816360505574,1.537843013738657,0.7366,0.6708,0.301,0.4262
4,1.5800303237860283,1.5313904517656798,0.7193,0.6542,0.2995,0.4307
5,1.5793981179951482,1.5303799497100699,0.7124,0.6477,0.3188,0.4393
6,1.5717448328385513,1.5305318716284517,0.7053,0.6414,0.3288,0.4442
7,1.5736498085505655,1.5298133427962597,0.7013,0.6378,0.3213,0.4419
8,1.5758306458235927,1.5284362706271084,0.6987,0.6357,0.3225,0.4423
9,1.5725456253763592,1.5275607996688776,0.699,0.6359,0.328,0.4451
10,1.5713993027164606,1.5275599582370742,0.6962,0.6334,0.3165,0.4393
11,1.5723568905483594,1.5268202160860036,0.694,0.6315,0.315,0.4386
12,1.570003549162851,1.5212815316208512,0.6987,0.6356,0.3233,0.443
13,1.5726231439261915,1.523857029485496,0.6986,0.6355,0.319,0.4408
14,1.5747051385886361,1.523116904419738,0.6993,0.6361,0.3208,0.4408
15,1.5732596493794018,1.5219168634641738,0.6999,0.6366,0.3209,0.4416
16,1.5728397270994323,1.527384964160589,0.6991,0.6359,0.3284,0.4422
17,1.567890478948657,1.5215804852964558,0.7008,0.6374,0.3277,0.4449
18,1.568716121204732,1.5270042958713712,0.7017,0.6382,0.3354,0.4474
19,1.5708353884482498,1.5260276515762528,0.6992,0.636,0.3324,0.4464
20,1.572281839174517,1.5275621584483556,0.6998,0.6365,0.3374,0.4381
21,1.5657178514311758,1.5258263445003724,0.7007,0.6373,0.3352,0.4433
22,1.5736447388760781,1.5252882190597006,0.7023,0.6387,0.3229,0.4412
23,1.5710366084530023,1.5188081478659725,0.7024,0.6388,0.3206,0.4385
24,1.5632796043699437,1.519989825946428,0.7049,0.6409,0.3344,0.444
25,1.5722748929518833,1.5229496555926996,0.7,0.6367,0.3239,0.4407
26,1.5721900046727304,1.5258167497007362,0.7005,0.6371,0.3298,0.4393
27,1.571376647247652,1.525077198490952,0.6951,0.6324,0.3337,0.4431
28,1.5732225630271948,1.525826628590043,0.6982,0.6351,0.3274,0.4418
29,1.5658451696617182,1.5220893077004007,0.6955,0.6327,0.3331,0.4452
30,1.5769370747239966,1.527860492338866,0.6946,0.632,0.3277,0.4396
31,1.5682073563479921,1.5263873204524383,0.6983,0.6353,0.332,0.4442
32,1.565918492358267,1.5241502092514203,0.6951,0.6325,0.338,0.4413
33,1.568184558997314,1.5212063513276897,0.7011,0.6377,0.3294,0.4369
34,1.5733476416631178,1.526512178765747,0.699,0.6359,0.3249,0.4211
35,1.565994834215447,1.524151790451694,0.6991,0.6359,0.3284,0.4401
36,1.5726107294764815,1.5247459605142668,0.7004,0.6371,0.3315,0.4349
37,1.5706905079515356,1.5234571372791803,0.6971,0.6342,0.3314,0.4268
38,1.5699140097250779,1.5269422990419133,0.6925,0.6302,0.3358,0.4394
39,1.5744938170225427,1.5324863910158992,0.6976,0.6346,0.3353,0.4379
40,1.5702419852811185,1.5272880864865852,0.699,0.6358,0.3336,0.4383
41,1.5716823735875947,1.524520021496397,0.7016,0.6381,0.33,0.4386
42,1.5732797662322031,1.5248074121289439,0.7016,0.6381,0.3336,0.44
43,1.5708075430975006,1.5248830780322418,0.6983,0.6353,0.3294,0.4426
44,1.567618762334568,1.5191148852373098,0.6955,0.6328,0.3246,0.4365
45,1.5687964431691968,1.5223009537308763,0.6929,0.6306,0.3232,0.4415
46,1.571959561851036,1.5199600741976784,0.6946,0.632,0.321,0.4389
47,1.5688751412635784,1.5190711140116573,0.6925,0.6302,0.3226,0.4365
48,1.566402985718832,1.5201377613203866,0.6961,0.6333,0.3249,0.4363
49,1.5642539971467981,1.515835666295254,0.6974,0.6344,0.3229,0.44
