epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.659258911769356,1.574081902896171,0.7658,0.6654,0.4051,0.4541
1,1.5782465770769347,1.522109313186629,0.8916,0.8387,0.393,0.4609
2,1.5552091537194959,1.507251206672553,0.8141,0.7489,0.4041,0.4615
3,1.5389567719121868,1.4903087683054277,0.7615,0.6944,0.3911,0.4594
4,1.5309685587027426,1.488990391487683,0.7386,0.6722,0.3927,0.4585
5,1.5224090074523213,1.486243245663581,0.7218,0.6565,0.397,0.4586
6,1.5219745417816217,1.4873103556178866,0.7091,0.6451,0.3956,0.4589
7,1.5169539850864684,1.484997404602183,0.7051,0.6416,0.3959,0.4578
8,1.518631032209077,1.4811916039103554,0.6982,0.6353,0.3949,0.4584
9,1.5194099203251195,1.4785167004638937,0.6923,0.63,0.3936,0.4571
10,1.5180426047464306,1.4756667944259974,0.6931,0.6307,0.3967,0.4592
11,1.518960431859824,1.4764817034527338,0.6892,0.6274,0.3877,0.4568
12,1.5136108359936893,1.48308322465781,0.6857,0.6244,0.3933,0.4576
13,1.5165602805796994,1.4795553658431742,0.6883,0.6266,0.3984,0.4583
14,1.5158497186368733,1.4863919445446558,0.6853,0.624,0.3976,0.4589
15,1.5140766504278593,1.4855937477830168,0.6887,0.6269,0.3922,0.4574
16,1.5155099253905446,1.4786726367938055,0.6924,0.6302,0.3905,0.4577
17,1.514508785100645,1.4805065690180956,0.6825,0.6217,0.3955,0.4576
18,1.5181101162753037,1.4856990516443789,0.68,0.6195,0.3944,0.4574
19,1.5224709949995343,1.4837661344251591,0.6824,0.6216,0.3988,0.4584
20,1.5118647424513072,1.4825383966619319,0.6875,0.6258,0.4011,0.4591
21,1.516047077315846,1.4819395322820326,0.6861,0.6246,0.3968,0.4582
22,1.5112023520412627,1.4807931896928068,0.6843,0.6231,0.395,0.4571
23,1.514637811474823,1.4846542833687424,0.683,0.622,0.3929,0.4579
24,1.5138980992958306,1.4847329498885513,0.683,0.6221,0.395,0.4576
25,1.509801271999852,1.478287302054368,0.6858,0.6245,0.397,0.458
26,1.5177981186141238,1.4779760473734374,0.6851,0.6239,0.3984,0.4589
27,1.516333251906354,1.4780661419872598,0.6853,0.624,0.3936,0.4572
28,1.515779770162117,1.4904625230021291,0.6857,0.6244,0.397,0.4583
29,1.5205580308391717,1.4814144819329826,0.6862,0.6246,0.4067,0.4598
30,1.510071688148964,1.4787762503087263,0.6858,0.6243,0.3944,0.4568
31,1.5214514854992405,1.4785080954626009,0.6843,0.6232,0.3993,0.4585
32,1.514803977103895,1.4787694275121153,0.6846,0.6235,0.392,0.4571
33,1.5159208258373316,1.480307808170071,0.6865,0.625,0.3935,0.458
34,1.512386589101627,1.4780548168467236,0.6878,0.6261,0.3945,0.458
35,1.5102370983105526,1.4830555239797154,0.6892,0.6273,0.3922,0.4575
36,1.512434911927538,1.478341612206909,0.6866,0.6251,0.4002,0.4575
37,1.5148557383192784,1.483028041851985,0.6901,0.6281,0.3944,0.4569
38,1.5117178761787962,1.4795063357332567,0.6844,0.6233,0.3951,0.4568
39,1.5148429663842946,1.4844667666402214,0.684,0.6229,0.3925,0.4571
40,1.5121682796752054,1.4760744976790952,0.6873,0.6257,0.3909,0.4574
41,1.5111974885589199,1.4811517942003358,0.6831,0.622,0.391,0.4568
42,1.510106448636671,1.4691572189331055,0.6859,0.6246,0.3973,0.4579
43,1.5193709166426408,1.4815999057901885,0.6843,0.6231,0.3978,0.4571
44,1.5129645120299033,1.4819317674223995,0.6883,0.6266,0.3959,0.4569
45,1.516476703317542,1.4746685322228965,0.6835,0.6225,0.3955,0.4575
46,1.5109853707432177,1.4760692320860826,0.6855,0.6242,0.3975,0.4574
47,1.5116000477777143,1.4765450858966613,0.6827,0.6218,0.3973,0.457
48,1.5122565103775005,1.482842899504162,0.6857,0.6242,0.3945,0.4572
49,1.523938924787147,1.489408549292263,0.6842,0.6231,0.3968,0.4571
