epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.995636419673856,1.9789868593215942,0.4728,0.3989,0.2562,0.3751
1,1.687859287815231,1.670435397655933,0.8702,0.7703,0.2786,0.2834
2,1.6111875917922938,1.6538646179876286,0.8361,0.7312,0.2768,0.3345
3,1.6031367020173506,1.64920500449804,0.4922,0.4438,0.2511,0.3108
4,1.595895261998382,1.6261280909245148,0.814,0.7065,0.2915,0.4233
5,1.5980615400526512,1.6566932387166209,0.4683,0.4317,0.2459,0.3015
6,1.5902887828042063,1.631131908594272,0.4636,0.4296,0.2656,0.3289
7,1.5934522201855217,1.6431411158986937,0.4613,0.4284,0.2879,0.4171
8,1.5914039131271782,1.6454571521643437,0.4582,0.4268,0.2869,0.418
9,1.5930313398107958,1.6438959991777098,0.8044,0.696,0.2504,0.3052
10,1.5947349924219854,1.6469216609930064,0.8046,0.6962,0.2741,0.2747
11,1.5900648137884277,1.6405677392885283,0.4525,0.4242,0.2596,0.3251
12,1.589966713098818,1.6400447077565379,0.8031,0.6946,0.2644,0.329
13,1.5911281404027529,1.6428451140721638,0.4522,0.424,0.2869,0.4191
14,1.5915652071460011,1.6534219170029545,0.4518,0.4238,0.2523,0.3088
15,1.5904591940521624,1.6598336681143029,0.8029,0.6944,0.2765,0.2773
16,1.5915445980557985,1.6455898826772517,0.4518,0.4238,0.2503,0.305
17,1.59407758313503,1.6590612667463558,0.8037,0.6952,0.2587,0.3256
18,1.5912452652408746,1.6464024890552869,0.8047,0.6963,0.2595,0.3254
19,1.5905459353513125,1.6555040341951115,0.4556,0.4259,0.2593,0.3253
20,1.5912845583908866,1.657102199343892,0.4534,0.4247,0.2747,0.2757
21,1.591558311687132,1.669207445986859,0.4489,0.4226,0.2727,0.2732
22,1.594881593040302,1.6574394408758584,0.4495,0.4228,0.2478,0.3038
23,1.5923451989461361,1.6369156202712616,0.8042,0.6959,0.2881,0.422
24,1.5916223781245746,1.6429000380751375,0.4527,0.4244,0.2498,0.3069
25,1.5929315265571102,1.6415200094123938,0.803,0.6944,0.2589,0.3244
26,1.5911616710099308,1.6367421243097875,0.4533,0.4246,0.286,0.4179
27,1.5943463150964399,1.648316522181292,0.4518,0.4238,0.2591,0.3268
28,1.591473565004659,1.6584549884259443,0.4525,0.4242,0.2476,0.3036
29,1.587816916726993,1.6590589253933399,0.8039,0.6955,0.2619,0.3272
30,1.5906803425419274,1.6390320965738008,0.8029,0.6944,0.2852,0.4155
31,1.5938776027072559,1.6687182038377373,0.8029,0.6944,0.2753,0.2765
32,1.5915202012187557,1.6582191986439032,0.4518,0.4238,0.2483,0.3039
33,1.5927800124056601,1.6553390144785762,0.4525,0.4242,0.2742,0.2754
34,1.5900362440558713,1.648333739408683,0.8038,0.6953,0.2757,0.2769
35,1.592564167018142,1.6679951318930755,0.8032,0.6947,0.2753,0.2761
36,1.5918960548473888,1.6547297352836245,0.4513,0.4237,0.2502,0.3057
37,1.5917580458536102,1.6505918172530798,0.804,0.6957,0.2491,0.3053
38,1.5891136862159345,1.6608898035891644,0.8033,0.6949,0.2756,0.2767
39,1.590946177118703,1.6329734506029072,0.8017,0.6932,0.2855,0.415
40,1.5912464680283833,1.6527357653621988,0.8026,0.6941,0.2754,0.2764
41,1.5950510672975384,1.6678931398309154,0.4515,0.4238,0.2446,0.2993
42,1.5909334157357375,1.6387646673045633,0.4515,0.4239,0.2573,0.3231
43,1.591388576481331,1.6494961450626324,0.4492,0.4227,0.2596,0.3262
44,1.5897918580251447,1.6533522518166215,0.8034,0.6949,0.249,0.3048
45,1.590506785223929,1.6732030740548005,0.8043,0.696,0.2758,0.2773
46,1.58968025560014,1.6470962174527057,0.8039,0.6954,0.248,0.3037
47,1.5942174461469696,1.6302389525747918,0.451,0.4234,0.2858,0.4187
48,1.590636680571086,1.6373791916545852,0.452,0.4239,0.2863,0.4194
49,1.5922238528728485,1.662075113424491,0.8037,0.6952,0.2474,0.3044
