epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.685766709620873,2.0135100341978527,0.5982,0.4925,0.1855,0.311
1,1.7708723366830907,1.7231082090567718,0.6065,0.5,0.1498,0.1875
2,1.7170232243515087,1.70335071117847,0.8455,0.7422,0.1972,0.2792
3,1.7125412214315678,1.715300101222414,0.479,0.4382,0.2779,0.2815
4,1.7116431378576744,1.70160410930584,0.4641,0.4309,0.2603,0.3172
5,1.712086106886704,1.6994346504087572,0.8074,0.7001,0.2642,0.4378
6,1.7118761569404146,1.7021797265841332,0.8016,0.6937,0.2674,0.301
7,1.712473221800544,1.7039016691637245,0.4482,0.4234,0.2391,0.3492
8,1.711175731779856,1.7000326692283927,0.4495,0.424,0.2659,0.3267
9,1.7126622098769868,1.6986554737214918,0.4474,0.423,0.2659,0.4411
10,1.7132976236240716,1.7079868430183047,0.4401,0.4193,0.2683,0.3001
11,1.7114150250357303,1.6969196192629925,0.4412,0.4198,0.2683,0.3302
12,1.7119500715481608,1.7042160808265983,0.801,0.6929,0.2662,0.3269
13,1.711760395309001,1.6966385020838155,0.4513,0.4249,0.2505,0.4395
14,1.7113254268488816,1.695354931798332,0.7997,0.6915,0.2276,0.3491
15,1.7110885176362034,1.6959398824931222,0.8039,0.6962,0.2385,0.3519
16,1.713942707868284,1.6888437105979754,0.8008,0.6927,0.2527,0.4427
17,1.7114436931587291,1.7040986741260016,0.4419,0.4201,0.2561,0.3001
18,1.7114999530988446,1.7048578014621487,0.4406,0.4195,0.2628,0.3009
19,1.7107749239109349,1.6964270882792287,0.4365,0.4174,0.2652,0.3249
20,1.7111391467911206,1.700551201770832,0.7938,0.685,0.2501,0.4437
21,1.7120750753217906,1.6964726716408998,0.4485,0.4234,0.2523,0.4427
22,1.7118826675358,1.693864072040046,0.8036,0.6958,0.262,0.4419
23,1.7117529417339123,1.7021645637817713,0.4398,0.4191,0.2533,0.4427
24,1.7119802364892367,1.6986523371238214,0.4445,0.4215,0.2204,0.3513
25,1.7110127249117673,1.693291718309576,0.8028,0.6949,0.2433,0.4399
26,1.7129877272405123,1.6932032743057648,0.4529,0.4257,0.2493,0.4408
27,1.7125740451961042,1.7019143357421413,0.4475,0.4231,0.2655,0.3256
28,1.7123664288144362,1.7010246525595198,0.4482,0.4233,0.221,0.349
29,1.7119318701718982,1.7001310359864008,0.4358,0.4171,0.2297,0.3532
30,1.7117986378202028,1.6922613722937447,0.7999,0.6918,0.2573,0.4437
31,1.7123079933047864,1.7051786401055076,0.4434,0.4209,0.2602,0.2999
32,1.7111694513325486,1.6953808621410684,0.4358,0.4171,0.2483,0.4376
33,1.712334661249909,1.7059722596948796,0.797,0.6885,0.26,0.297
34,1.711054336796537,1.6862930957373086,0.4523,0.4254,0.2495,0.4417
35,1.7119518254647415,1.7009272750837978,0.4435,0.4209,0.2658,0.3258
36,1.7114386431623303,1.7023878675518613,0.8038,0.696,0.26,0.2994
37,1.712661683274228,1.7067283577733225,0.8018,0.6939,0.2589,0.297
38,1.7105270520066531,1.7044814505102315,0.4406,0.4195,0.2267,0.3502
39,1.7115346123442126,1.6953111463810975,0.7948,0.6861,0.2676,0.3287
40,1.7109098922122608,1.7050536700657435,0.798,0.6897,0.268,0.3292
41,1.7109093497814745,1.70450653193833,0.4485,0.4234,0.2345,0.3499
42,1.7113023327583332,1.6987143099566042,0.4412,0.4197,0.2273,0.3427
43,1.712131293339022,1.7008708199381313,0.446,0.4222,0.2155,0.3449
44,1.71314640792363,1.7152007611799034,0.4424,0.4204,0.2556,0.2934
45,1.7123630577297302,1.6891786979906487,0.8032,0.6953,0.2583,0.4426
46,1.7123762296432514,1.6962081555164221,0.8023,0.6944,0.2457,0.3523
47,1.7124437892265867,1.695933696511504,0.7998,0.6916,0.2602,0.4412
48,1.7102478560078087,1.6935821787103431,0.7998,0.6916,0.2566,0.4427
49,1.7104539051295466,1.697443049707454,0.8026,0.6947,0.2662,0.4458
