epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.6425725391321775,2.001084532056536,0.5948,0.4895,0.241,0.311
1,1.7629052771335583,1.7049337651306418,0.8705,0.7707,0.234,0.2755
2,1.713850127025084,1.7050583285170715,0.8522,0.7499,0.2433,0.299
3,1.7129755124235837,1.6919355294405123,0.4811,0.4389,0.2158,0.3481
4,1.7120445494731646,1.69450298119417,0.8089,0.7016,0.2506,0.3431
5,1.712448583122646,1.6993085858109709,0.4448,0.4216,0.2474,0.3032
6,1.7116933268223082,1.6902106184980055,0.4483,0.4234,0.1915,0.3255
7,1.7115050020970797,1.6843738096617,0.4367,0.4175,0.2342,0.4149
8,1.7108208626936496,1.7119110347904685,0.7965,0.6879,0.2416,0.2671
9,1.7107171407726962,1.6871542053305226,0.4446,0.4215,0.2485,0.419
10,1.7127569935253362,1.6895889482456885,0.8057,0.6981,0.2387,0.4269
11,1.7113515509372692,1.6929756728085605,0.4451,0.4218,0.2392,0.4091
12,1.7106833899990794,1.7031608639341411,0.4409,0.4197,0.2373,0.2821
13,1.7109893523334887,1.702240944424749,0.4504,0.4244,0.184,0.3134
14,1.7118089298882553,1.6999946605591547,0.4351,0.4169,0.2507,0.3071
15,1.711100427870545,1.6914979890311435,0.4396,0.419,0.2442,0.4133
16,1.7102009413059818,1.6978909375863673,0.4401,0.4193,0.2387,0.4254
17,1.711010920516612,1.684689269953476,0.4376,0.418,0.2389,0.4295
18,1.7104001678348157,1.6900357792387792,0.4491,0.4238,0.2371,0.4228
19,1.7113426280649084,1.6922855346233814,0.7951,0.6864,0.2033,0.3347
20,1.711936087842193,1.6980319492744678,0.4283,0.4135,0.2367,0.4117
21,1.7106847835784893,1.7105101011532209,0.4417,0.4201,0.236,0.2768
22,1.7112346606676658,1.697259615510057,0.8042,0.6965,0.2539,0.3109
23,1.7125849903485422,1.6974900568718518,0.8002,0.6921,0.2404,0.4197
24,1.712064198614878,1.690438436223315,0.7966,0.6881,0.1992,0.3301
25,1.7108180393157393,1.699597567706913,0.8013,0.6933,0.211,0.3242
26,1.7116407780556018,1.7084497306254003,0.4366,0.4175,0.2458,0.2847
27,1.710775969416331,1.698272572967397,0.4357,0.4172,0.2445,0.2998
28,1.710926790842029,1.6968859413485506,0.4416,0.4201,0.2532,0.3104
29,1.7112235448291997,1.687156605514097,0.4423,0.4204,0.2815,0.4322
30,1.7112758075506493,1.6988964921984322,0.8044,0.6967,0.2338,0.3065
31,1.710559090216194,1.7005728730907688,0.4475,0.423,0.2064,0.3252
32,1.7106526183169424,1.6989686556192705,0.8001,0.692,0.2553,0.4168
33,1.710444150644056,1.7057238631434255,0.4468,0.4227,0.2881,0.2891
34,1.7097960757581812,1.6900445615058337,0.4412,0.4199,0.2248,0.3347
35,1.7105729279050417,1.708922916676575,0.4378,0.4181,0.2603,0.2606
36,1.7106822110249096,1.698533405473222,0.4475,0.4231,0.2801,0.4246
37,1.7112925752783505,1.7158665569313676,0.4422,0.4203,0.2721,0.2876
38,1.7090432163345757,1.7055413433999727,0.8025,0.6946,0.2517,0.2756
39,1.7113711966567062,1.6993485513703648,0.4539,0.426,0.2423,0.4236
40,1.7105584351354808,1.7064549530739392,0.4451,0.4218,0.2297,0.2845
41,1.7112033558234074,1.6987112445748729,0.445,0.4217,0.1829,0.3158
42,1.7120530491240287,1.7062209586560468,0.4353,0.4169,0.237,0.2731
43,1.7110481237965909,1.7045006416576765,0.4406,0.4194,0.2499,0.2822
44,1.7106826212702755,1.7003052177883329,0.7928,0.684,0.1963,0.3259
45,1.709432867868095,1.7030708872394644,0.4342,0.4164,0.2431,0.2986
46,1.7112785818759335,1.7048232204470284,0.796,0.6874,0.2717,0.2828
47,1.7110351620678697,1.7050196665189998,0.8033,0.6954,0.2367,0.2917
48,1.7102592326522443,1.6911598887794461,0.454,0.4261,0.2332,0.3421
49,1.7114854825740795,1.7019714947902795,0.4369,0.4177,0.2531,0.3407
