epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.577142443525734,1.9430077081118828,0.4734,0.3991,0.2908,0.4268
1,1.6551844511876266,1.64717604897239,0.8704,0.7706,0.292,0.4249
2,1.5989155753662712,1.6564090220959156,0.8368,0.7321,0.281,0.2821
3,1.594480597801756,1.6620387938115504,0.8216,0.7151,0.2677,0.3295
4,1.590113188376267,1.6379063960277673,0.4765,0.4358,0.2728,0.3357
5,1.5931903051132221,1.6539271079100573,0.4685,0.4318,0.2766,0.2816
6,1.59133781357245,1.6423669140060226,0.8087,0.7009,0.2725,0.3327
7,1.590152813201886,1.6447597324074088,0.4613,0.4285,0.2684,0.3289
8,1.5912840556014667,1.6474854693268284,0.4528,0.4244,0.2865,0.4272
9,1.5876768857383272,1.655024089854517,0.8036,0.6951,0.2784,0.2845
10,1.587902128411252,1.6393381021755598,0.8033,0.6948,0.2868,0.4315
11,1.5872664331819453,1.6438972501011637,0.4533,0.4246,0.2831,0.4262
12,1.5901630639174338,1.6351988867763834,0.8038,0.6953,0.2864,0.4333
13,1.591156570677552,1.6485664245886205,0.8031,0.6947,0.2725,0.2815
14,1.591450708049336,1.6619535214973218,0.4529,0.4244,0.2705,0.2792
15,1.586700821464712,1.6485327895069535,0.4515,0.4238,0.2728,0.333
16,1.5920236385895306,1.647090725568466,0.8035,0.695,0.2733,0.3335
17,1.5869008098777972,1.6425769380676798,0.803,0.6945,0.2787,0.3388
18,1.589634528998553,1.661592671365449,0.4494,0.4228,0.267,0.2788
19,1.5879392495566007,1.6459879415891903,0.8031,0.6946,0.2836,0.4247
20,1.5909421220065303,1.647840180954376,0.452,0.424,0.2681,0.3269
21,1.589308840236025,1.6545440366257838,0.4529,0.4244,0.2308,0.3119
22,1.5892094966897554,1.6483021030178318,0.4502,0.4232,0.2343,0.3152
23,1.589861817337109,1.6553624403941167,0.803,0.6944,0.2657,0.2768
24,1.588994961178474,1.648989251165679,0.8031,0.6945,0.2313,0.3123
25,1.5888308847064607,1.6556492305937267,0.4516,0.4239,0.2264,0.3089
26,1.589498762023506,1.6523722017998304,0.8031,0.6946,0.2698,0.2802
27,1.5913422380052684,1.6582051076930322,0.45,0.423,0.2716,0.2824
28,1.5901397620661977,1.6391937675930204,0.8039,0.6954,0.2704,0.3297
29,1.5883738377162715,1.6462648141951788,0.4517,0.4238,0.2751,0.3346
30,1.5904575433742487,1.645241405024673,0.804,0.6957,0.2316,0.3109
31,1.58951017659817,1.6425237856902086,0.8027,0.6943,0.2749,0.3348
32,1.5900618790439442,1.6417088807919324,0.453,0.4245,0.2838,0.4278
33,1.5890194213276274,1.6470575213948369,0.4503,0.4231,0.281,0.4273
34,1.5897910664811659,1.6634300415650074,0.8033,0.6949,0.2699,0.2813
35,1.588830571853373,1.646551850554231,0.4518,0.4239,0.2674,0.3273
36,1.5899323438913628,1.647703207416452,0.8032,0.6946,0.2738,0.3342
37,1.592903818097411,1.654339987478215,0.803,0.6945,0.2267,0.3089
38,1.5888475300877858,1.6559053060812352,0.8031,0.6946,0.2678,0.278
39,1.591258612403459,1.6506928540927508,0.4522,0.4243,0.2311,0.3106
40,1.5872614379419665,1.6460349745564646,0.4501,0.4231,0.2745,0.3347
41,1.5883723990768908,1.6429668086947817,0.4531,0.4245,0.2306,0.3114
42,1.5873418058219708,1.6511702243383828,0.4523,0.4241,0.2319,0.3126
43,1.5902662522484812,1.6500113928988898,0.8035,0.695,0.276,0.336
44,1.5880325542112286,1.660185825773132,0.8024,0.6938,0.2706,0.2805
45,1.5887746584187283,1.6450661663369184,0.803,0.6945,0.2326,0.314
46,1.590951440722178,1.6452364328103664,0.8024,0.6939,0.2843,0.4272
47,1.5905139794189964,1.646547371174866,0.804,0.6957,0.2734,0.3334
48,1.586128415958733,1.6409580176010792,0.803,0.6945,0.2811,0.4273
49,1.591105211151844,1.653452736474735,0.4506,0.4233,0.2278,0.3104
