epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,2.998819318253123,0.0,643.2601821230201,0.45412648084634794,5.41254257299229,0.8469,0.7409,0.39,0.5045,2.9800008534094986,664.0299122219994,664.0299122219994,0.43197661575365376,669.745975263191,0.8668,0.766,0.2469,0.4425,667.0099130754089
1,0.04,↑,2.9783944628195846,12.502822476893128,625.1411545256655,0.4527913394713116,17.913604412678474,0.8421,0.7399,0.4137,0.5079,3.0040944547622237,623.8836279544995,623.8836279544995,0.43160622444374735,629.5720112107017,0.8522,0.7494,0.2505,0.4541,626.8877224092618
2,0.06,↑,2.98154080370943,24.885998531944022,622.1499939047648,0.4543221001853486,30.34245426611986,0.8269,0.7238,0.4212,0.5105,2.9992256303886315,621.4825595648258,621.4825595648258,0.433666670993293,627.1927638673163,0.8289,0.7235,0.2772,0.4593,624.4817851952145
3,0.08,↑,2.989588984650766,37.26198909821625,621.0331822169755,0.4554871486154145,42.76422327921062,0.8063,0.7,0.4163,0.5054,3.008441468466928,620.658889583179,620.658889583179,0.43407067604911276,626.4010647664338,0.8134,0.7072,0.2867,0.4567,623.6673310516459
4,0.1,↑,2.998702010530198,49.632859214016065,620.4107707429075,0.4568324606486423,55.175109646563044,0.7867,0.6786,0.4059,0.499,2.984938157456262,620.0104340663204,620.0104340663204,0.4356215099171127,625.7476064157693,0.7837,0.6754,0.2784,0.4544,622.9953722237766
5,0.12000000000000001,↑,3.0069431443414287,62.0000129394724,620.0001217331001,0.4573132748375396,67.57362978315639,0.7695,0.6598,0.4,0.496,2.987995844640773,619.7106730138069,619.7106730138069,0.4364732534209371,625.4658729390148,0.7687,0.6602,0.2739,0.4528,622.6986688584476
6,0.14,↑,3.016946469987938,74.36579563974621,619.714994217964,0.4579170468146216,79.97065249017612,0.7543,0.6436,0.3916,0.4897,3.0048858466602506,619.4512890987583,619.4512890987583,0.43729480081822447,625.238823764768,0.7503,0.6414,0.2667,0.4491,622.4561749454185
7,0.16,↑,3.025401349731548,86.72954334734443,619.49671421308,0.45912153105178993,92.35984584214445,0.7438,0.6326,0.3852,0.4858,3.0392076306012803,619.265039050992,619.265039050992,0.4383543631086102,625.0990169843038,0.7246,0.615,0.2868,0.459,622.3042466815932
8,0.18,↑,3.0320299034347076,99.09208946474298,619.325589699945,0.45909212651010045,104.74698964193196,0.733,0.6214,0.3743,0.4761,2.998192668348164,619.0950536804024,619.0950536804024,0.4388032949719078,624.8992142563775,0.7041,0.5941,0.286,0.4536,622.0932463487505
9,0.19999999999999998,↑,3.041433672847862,111.45459026712143,619.1921562402548,0.45944685871729596,117.13267981335075,0.724,0.6123,0.3662,0.4695,3.005709954799512,619.0445946952997,619.0445946952997,0.43928365273909137,624.8598688123546,0.7127,0.6026,0.277,0.4459,622.0503046500992
