epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,22.76192283630371,0.0,1353.0078125,0.0,26.25965118408203,0.4511,0.417,0.2,0.3617,10.197153091430664,1253.921142578125,1253.921142578125,0.0,1266.275146484375,0.5317,0.486,0.4097,0.5748,1264.1182956695557
1,0.04,↑,9.703495979309082,17.0060977935791,850.3063354492188,0.0,29.677705764770508,0.5565,0.4835,0.36,0.5472,9.798194885253906,824.8368530273438,824.8368530273438,0.0,836.7542114257812,0.5593,0.4983,0.4456,0.6111,834.6350479125977
2,0.06,↑,9.364509582519531,32.60793685913086,815.19775390625,0.0,44.912620544433594,0.5577,0.4854,0.3745,0.5718,9.66401195526123,812.384033203125,812.384033203125,0.0,824.1480102539062,0.556,0.5039,0.4496,0.6261,822.0480451583862
3,0.08,↑,9.253318786621094,48.54348373413086,809.0576171875,0.0,60.727928161621094,0.5475,0.481,0.3824,0.5824,9.365921020507812,807.6226806640625,807.6226806640625,0.0,819.114990234375,0.5556,0.5048,0.4475,0.612,816.9886016845703
4,0.1,↑,9.244872093200684,64.45941925048828,805.7433471679688,0.0,76.63241577148438,0.5455,0.4816,0.3906,0.5945,9.497729301452637,804.9056396484375,804.9056396484375,0.0,816.5027465820312,0.5431,0.5062,0.4543,0.6357,814.4033689498901
5,0.12000000000000001,↑,9.2640962600708,80.34268188476562,803.4275512695312,0.0,92.53227996826172,0.556,0.4872,0.4006,0.6041,9.51705551147461,803.4877319335938,803.4877319335938,0.0,815.1336669921875,0.5839,0.5112,0.4526,0.6154,813.0047874450684
6,0.14,↑,9.336119651794434,96.17317962646484,801.4432983398438,0.0,108.43773651123047,0.5709,0.4926,0.4032,0.6065,9.81383991241455,800.4633178710938,800.4633178710938,0.0,812.3948974609375,0.5839,0.5113,0.4591,0.6333,810.2771577835083
7,0.16,↑,9.224026679992676,111.9286880493164,799.4901733398438,0.0,124.08370208740234,0.5816,0.4952,0.4032,0.6152,9.21340274810791,798.9119262695312,798.9119262695312,0.0,810.23876953125,0.5876,0.5093,0.459,0.6473,808.1253290176392
8,0.18,↑,9.20495319366455,127.70323181152344,798.1445922851562,0.0,139.84669494628906,0.59,0.4973,0.3999,0.6203,9.915091514587402,798.220703125,798.220703125,0.0,810.3162231445312,0.5916,0.5014,0.4401,0.6199,808.1357946395874
9,0.19999999999999998,↑,9.154775619506836,143.49322509765625,797.1846313476562,0.0,155.5906524658203,0.5942,0.4985,0.3961,0.6226,9.354303359985352,797.1774291992188,797.1774291992188,0.0,808.69189453125,0.5912,0.5033,0.442,0.6289,806.5317325592041
10,0.21999999999999997,↑,9.181053161621094,159.3067626953125,796.5341186523438,0.0,171.43350219726562,0.5934,0.4987,0.3905,0.6218,9.607583999633789,796.6971435546875,796.6971435546875,0.0,808.44873046875,0.5891,0.5081,0.4428,0.6357,806.3047275543213
11,0.23999999999999996,↑,9.11280345916748,175.1350555419922,796.0689086914062,0.0,187.191650390625,0.5912,0.4987,0.3959,0.6252,9.44735336303711,796.288818359375,796.288818359375,0.0,807.8920288085938,0.5902,0.5058,0.4457,0.6402,805.7361717224121
12,0.25999999999999995,↑,9.086042404174805,190.9684600830078,795.7022705078125,0.0,203.00086975097656,0.5896,0.4996,0.3959,0.6257,10.404595375061035,796.0151977539062,796.0151977539062,0.0,808.6090087890625,0.5915,0.5032,0.4464,0.6245,806.4197931289673
13,0.27999999999999997,↑,9.120284080505371,206.8096466064453,795.4210205078125,0.0,218.87796020507812,0.5875,0.4999,0.3965,0.6259,9.376081466674805,795.4583740234375,795.4583740234375,0.0,807.0073852539062,0.5783,0.5157,0.439,0.6324,804.8344554901123
14,0.3,↑,9.135470390319824,222.65367126464844,795.1921997070312,0.0,234.7409210205078,0.5841,0.5,0.3962,0.626,9.284191131591797,795.2909545898438,795.2909545898438,0.0,806.7303466796875,0.5778,0.5157,0.4365,0.641,804.5751457214355
15,0.32,↑,9.114777565002441,238.50367736816406,795.0126342773438,0.0,250.57028198242188,0.5823,0.5003,0.3965,0.6263,9.290324211120605,795.3112182617188,795.3112182617188,0.0,806.7774658203125,0.5864,0.5112,0.44,0.6291,804.6015424728394
16,0.34,↑,9.127045631408691,254.3573760986328,794.8677368164062,0.0,266.4383850097656,0.5805,0.5,0.3934,0.6244,9.194487571716309,794.9439086914062,794.9439086914062,0.0,806.2886352539062,0.5636,0.5152,0.4185,0.6376,804.1383962631226
17,0.36000000000000004,↑,9.120123863220215,270.20880126953125,794.7301635742188,0.0,282.28277587890625,0.579,0.4997,0.394,0.6248,9.376676559448242,794.8968505859375,794.8968505859375,0.0,806.447509765625,0.5811,0.5128,0.4305,0.6354,804.2735271453857
