epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.173525200341423,1.6279544150098073,0.8206,0.7217,0.3153,0.2968
1,1.6225383761199548,1.577267721614212,0.8053,0.7052,0.3689,0.3852
2,1.6089798217858386,1.5379168500913873,0.4847,0.479,0.4157,0.5882
3,1.6042541631328289,1.5373247829551533,0.8037,0.7034,0.4128,0.5877
4,1.6040902134438066,1.5474374637794222,0.8038,0.7034,0.4105,0.5874
5,1.604662253446851,1.5219235495051713,0.8041,0.7039,0.3659,0.3856
6,1.6037772649182325,1.509871152260164,0.4855,0.4792,0.3655,0.3851
7,1.6056454418928323,1.5464838874152995,0.804,0.7037,0.3657,0.3855
8,1.6053934860494954,1.539758701297254,0.4844,0.4787,0.3655,0.3845
9,1.6037680905314893,1.547607247737607,0.4839,0.4784,0.3647,0.3835
10,1.6037820220076549,1.5431683114523895,0.8038,0.7035,0.2932,0.3223
11,1.6042742108668233,1.5409553734620185,0.8047,0.7045,0.4101,0.5863
12,1.6050956582724425,1.548880540355296,0.8042,0.7039,0.2932,0.3224
13,1.60689961453984,1.5728228646576319,0.8042,0.7039,0.2924,0.3226
14,1.6024517359298887,1.5447028101595934,0.4856,0.4794,0.3648,0.3837
15,1.6053550895420146,1.5367173917283345,0.4844,0.4787,0.3149,0.3143
16,1.6024136792145094,1.5356387847160307,0.8044,0.7041,0.3157,0.3156
17,1.6015315789187543,1.53158208000847,0.8041,0.7038,0.4106,0.5859
18,1.6036534106971991,1.520018312288249,0.4848,0.4789,0.4112,0.5861
19,1.6057910428083682,1.535975914708898,0.4849,0.4791,0.3646,0.3836
20,1.604779651617954,1.521398525265246,0.4857,0.4794,0.4097,0.5865
21,1.603394828907881,1.539582648392921,0.8044,0.7041,0.3653,0.384
22,1.603357281880654,1.563705379034415,0.8045,0.7042,0.2916,0.3198
23,1.605547751663622,1.50513043587286,0.486,0.4795,0.3655,0.3851
24,1.6046403368562978,1.5557030692760343,0.4851,0.479,0.2933,0.3236
25,1.602695536762787,1.543508924193117,0.8038,0.7035,0.3649,0.3836
26,1.6028995819197982,1.5495894536822397,0.8043,0.704,0.3646,0.3828
27,1.604908942512613,1.538889059156562,0.8038,0.7035,0.3651,0.3836
28,1.6034446084507654,1.5441246740148002,0.8044,0.7042,0.3151,0.3145
29,1.6056928428910056,1.517456228824893,0.4861,0.4797,0.4086,0.587
30,1.6031479699460682,1.5867629112428674,0.4847,0.4789,0.2939,0.322
31,1.6029378085312282,1.570345063692493,0.4839,0.4785,0.3168,0.3154
32,1.6073437228166318,1.5506708468928316,0.4855,0.4794,0.3161,0.3144
33,1.6012072473577765,1.5425219134495365,0.8041,0.7038,0.364,0.3809
34,1.6063377682998434,1.5056444894570258,0.485,0.4791,0.4106,0.5861
35,1.6040637096598818,1.5194276382511591,0.485,0.4791,0.4101,0.5874
36,1.6029265953918754,1.5355313419445435,0.8038,0.7035,0.4113,0.5878
37,1.6033248317349513,1.537700223174483,0.4849,0.479,0.4095,0.5861
38,1.6056666788991822,1.5112203687812054,0.8035,0.7031,0.4087,0.5877
39,1.6045147836747564,1.5456252159303674,0.4839,0.4785,0.3152,0.3167
40,1.6043498146094293,1.507551119773092,0.8038,0.7035,0.4115,0.585
41,1.6043051319480688,1.5745264507734487,0.804,0.7038,0.3154,0.3169
42,1.6045492725730688,1.5333680331111805,0.4854,0.4794,0.3154,0.3164
43,1.602163932019833,1.5318925669802068,0.4849,0.479,0.2935,0.3199
44,1.6040589525704594,1.5772581440575963,0.8044,0.7041,0.3153,0.3149
45,1.6045948047146834,1.54242840166949,0.4864,0.4796,0.3148,0.315
46,1.606635086388744,1.5642398066935628,0.4861,0.4796,0.3651,0.3845
47,1.6038990803866562,1.5447863961082382,0.4866,0.48,0.316,0.318
48,1.604589198145007,1.5334718189974144,0.8041,0.7038,0.4104,0.5859
49,1.6034257499891267,1.517369508403174,0.4837,0.4783,0.3639,0.3821
