epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.1285440316196937,1.526313030770774,0.8389,0.7369,0.4425,0.6195
1,1.5419320442980167,1.480363571014622,0.5454,0.5045,0.4547,0.6198
2,1.518709462802279,1.4986352852509808,0.8274,0.7264,0.3561,0.3527
3,1.5090758470337509,1.4636799898025143,0.8282,0.7272,0.3848,0.4171
4,1.5020701833790013,1.4820332003388017,0.5391,0.502,0.4555,0.6164
5,1.5009566846620563,1.4897257196750178,0.8301,0.729,0.4567,0.6189
6,1.4987140567914927,1.528061544333987,0.5436,0.5041,0.3438,0.3561
7,1.4977289994889527,1.4879751164630886,0.8306,0.73,0.3555,0.349
8,1.4960349659664232,1.4620390931481813,0.5453,0.5054,0.459,0.6263
9,1.4958659193958768,1.4430824094764176,0.8304,0.7304,0.4585,0.6253
10,1.495282326461378,1.497577400588445,0.8303,0.7304,0.3567,0.3507
11,1.49623170559325,1.5016240053272112,0.5421,0.5049,0.3539,0.346
12,1.494152517723556,1.49591612985913,0.8311,0.7312,0.3832,0.414
13,1.4947597262091161,1.4929348976907988,0.5481,0.507,0.3843,0.4139
14,1.4939437154771225,1.499526868703192,0.5474,0.5069,0.3426,0.3534
15,1.4931288940174843,1.4995564720600036,0.5482,0.507,0.3558,0.3498
16,1.4939121148116736,1.5066678949157453,0.5457,0.5065,0.3439,0.3552
17,1.4943905420907273,1.4806655252541012,0.5458,0.5065,0.343,0.3546
18,1.4945084499499826,1.4670300449692404,0.8308,0.7314,0.4556,0.6202
19,1.4928856028727384,1.5027976913560985,0.5458,0.5066,0.3421,0.3535
20,1.4936406209224948,1.5006194067069365,0.5472,0.5071,0.3573,0.3517
21,1.493583365953375,1.49456238576587,0.8309,0.7315,0.3582,0.3532
22,1.4943202051256959,1.5274250721625358,0.5465,0.5069,0.3566,0.3506
23,1.4939302936891092,1.5029749632221825,0.8307,0.7313,0.3442,0.3573
24,1.493688871400922,1.4766697686340942,0.55,0.5081,0.3441,0.3573
25,1.4955718293319415,1.4732800101417618,0.5465,0.5069,0.3571,0.3516
26,1.4932092548495128,1.477154218861448,0.547,0.507,0.3433,0.356
27,1.4921409484820807,1.4916412309981277,0.831,0.7315,0.3546,0.3474
28,1.4946114069567675,1.479021145851908,0.8312,0.7317,0.342,0.354
29,1.4940225472446937,1.5199000729983951,0.8304,0.7312,0.3442,0.3565
30,1.4926683058237649,1.501987604203816,0.5468,0.5068,0.3453,0.3592
31,1.49338696611865,1.4668623506597718,0.5485,0.5075,0.4563,0.6211
32,1.4937981145615866,1.473177791492065,0.5481,0.5074,0.3585,0.3544
33,1.493505043873956,1.4767737286577212,0.8308,0.7314,0.385,0.4155
34,1.4932962416275226,1.4736112194632667,0.548,0.5073,0.3873,0.419
35,1.4919292580027836,1.4804292208117866,0.8309,0.7315,0.3856,0.416
36,1.4931452040383613,1.4808436678071506,0.8311,0.7316,0.3425,0.3558
37,1.4926260017071156,1.4646656074469508,0.8309,0.7315,0.3855,0.4166
38,1.4938825528988344,1.4716683685694543,0.8307,0.7313,0.387,0.4182
39,1.4933419436651878,1.4891096215785484,0.5464,0.5069,0.3458,0.359
40,1.4927153670298365,1.4676964687722895,0.8322,0.7324,0.3438,0.3565
41,1.492347372183803,1.4878532202879815,0.5483,0.5074,0.3828,0.412
42,1.4934292702352991,1.4938849913070613,0.5466,0.5071,0.3577,0.3528
43,1.4919788676496173,1.449124280464292,0.5498,0.5079,0.3861,0.4176
44,1.4920405399160577,1.4697746244204708,0.5498,0.5079,0.3572,0.352
45,1.4922128145115692,1.4788327291926713,0.547,0.5071,0.3567,0.3513
46,1.492315091934151,1.461131837330599,0.5472,0.5072,0.4562,0.6241
47,1.4926820674038797,1.4645006993357703,0.5459,0.5069,0.4562,0.6246
48,1.4927918202526966,1.4634299285061518,0.8314,0.7319,0.359,0.356
49,1.4912153547973208,1.4631222277327032,0.5479,0.5074,0.4562,0.6226
