epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7321250665992518,1.5832286187143367,0.8204,0.7215,0.3195,0.2909
1,1.6313838441088204,1.5582750785707917,0.4875,0.4804,0.4467,0.5746
2,1.6252088022464335,1.5933561012170114,0.8045,0.7042,0.3709,0.364
3,1.6226457504240606,1.568584186374376,0.8042,0.7039,0.3636,0.3523
4,1.62449897654619,1.5605832697151392,0.4852,0.4792,0.3643,0.3551
5,1.621604967216858,1.559448416324893,0.804,0.7037,0.3586,0.3749
6,1.6217833580701984,1.5526140460614302,0.804,0.7037,0.3726,0.3714
7,1.6227842157054628,1.5447174377006063,0.8041,0.7038,0.4081,0.4508
8,1.6211080212682671,1.5559841270283523,0.8038,0.7035,0.3753,0.3788
9,1.6223367095076549,1.52694166675954,0.4857,0.4793,0.4702,0.6546
10,1.6234894542123348,1.5430577342078282,0.8039,0.7035,0.4699,0.6511
11,1.6240363495998609,1.5419143480853246,0.8038,0.7034,0.4652,0.6574
12,1.6229485051865866,1.537895953604226,0.485,0.4791,0.4606,0.6587
13,1.6233744345859429,1.55280089548413,0.4867,0.4798,0.3729,0.3891
14,1.624372234092293,1.5592483324603246,0.4843,0.4787,0.4065,0.4489
15,1.6217198169471991,1.5533565679052246,0.8037,0.7034,0.3764,0.3856
16,1.6240737267310368,1.5546451846134985,0.8039,0.7035,0.4089,0.455
17,1.6220776180301844,1.5376965662892297,0.8042,0.7039,0.4073,0.4503
18,1.6233095342945372,1.536028155926801,0.4846,0.4789,0.4074,0.4506
19,1.621289300354471,1.572823038795025,0.4843,0.4787,0.4082,0.4523
20,1.6238555802018093,1.548356909214515,0.8038,0.7034,0.4055,0.4471
21,1.6219325268028009,1.5458719686162625,0.8038,0.7034,0.4095,0.4551
22,1.6208798508720426,1.5534166453058131,0.8041,0.7038,0.3757,0.3823
23,1.622102592749652,1.5600674747570435,0.8043,0.704,0.3764,0.3826
24,1.6214097566544885,1.551794033077746,0.4851,0.4792,0.3759,0.3855
25,1.6237736903053235,1.5683867145707027,0.4852,0.4791,0.3627,0.3859
26,1.6210038749891267,1.5489265126270506,0.804,0.7037,0.4081,0.4527
27,1.6222712995280968,1.5546237657141584,0.8041,0.7038,0.4078,0.4521
28,1.6180762262417363,1.5479692793776747,0.4846,0.4789,0.469,0.6543
29,1.6207429146550973,1.53602867833898,0.8041,0.7037,0.4093,0.4572
30,1.621627903183716,1.5668008453325606,0.8043,0.7039,0.4048,0.4453
31,1.622255838987474,1.5553042946460414,0.4846,0.4789,0.4063,0.4489
32,1.6213815539100556,1.5512352261835771,0.4844,0.4788,0.4061,0.4484
33,1.6230725293036707,1.5512291313748217,0.4839,0.4785,0.3737,0.3879
34,1.622539055704158,1.5662373367287803,0.804,0.7037,0.3727,0.3868
35,1.6225837383655184,1.539430104036644,0.8046,0.7043,0.408,0.4525
36,1.6215414260938588,1.5516519369650499,0.4855,0.4793,0.4698,0.6498
37,1.6200458311586639,1.552840598809736,0.4855,0.4792,0.3642,0.3888
38,1.621713191001218,1.5513059259651392,0.8038,0.7034,0.407,0.4505
39,1.6219109500043494,1.5560356716966832,0.804,0.7036,0.374,0.3766
40,1.6222143843510786,1.5695065921451499,0.804,0.7037,0.407,0.4519
41,1.6234607417797495,1.5443754318607346,0.4856,0.4793,0.4676,0.658
42,1.6201227940696765,1.551234703771398,0.8034,0.703,0.402,0.4404
43,1.6210062535338379,1.5515037460435985,0.485,0.4791,0.4027,0.4431
44,1.6229794262678323,1.5635357692136234,0.8041,0.7039,0.3757,0.3841
45,1.6213254882132915,1.548775361369918,0.4847,0.479,0.3755,0.3872
46,1.6201374051300452,1.5563649655068652,0.8039,0.7035,0.4092,0.4554
47,1.623043646975035,1.5566855524473966,0.4853,0.4792,0.3748,0.3871
48,1.6211887218923973,1.5479516915009808,0.4853,0.4792,0.4666,0.6577
49,1.6204958857972338,1.5510805921785842,0.4855,0.4793,0.3711,0.3889
