epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6141589329984343,1.5094964085904066,0.8369,0.7361,0.326,0.3276
1,1.516124324493302,1.48296222333051,0.5454,0.5045,0.3505,0.3455
2,1.50592733342032,1.5057649925329886,0.5399,0.5016,0.3327,0.3354
3,1.4995140972947112,1.4917262100459165,0.8287,0.7275,0.3361,0.3401
4,1.5000249747194676,1.4754401845020506,0.8287,0.7278,0.453,0.61
5,1.4981423565805498,1.5077809811318652,0.8296,0.7288,0.3347,0.338
6,1.4962784270072198,1.4971551174103959,0.8301,0.7295,0.3493,0.3429
7,1.4970015045994258,1.5095274050463623,0.8298,0.7296,0.3352,0.3392
8,1.4941190482015483,1.4922689962999287,0.5434,0.5048,0.3416,0.3309
9,1.494266517973643,1.4825596176778708,0.5434,0.505,0.4468,0.5929
10,1.4938246183455115,1.4901199667327925,0.5442,0.5054,0.4443,0.5892
11,1.4924851578810021,1.4819463057796898,0.8304,0.7306,0.4519,0.6098
12,1.492699736593163,1.5037338539809202,0.8309,0.7311,0.3435,0.3343
13,1.492746288111082,1.4947201542439372,0.5466,0.5064,0.343,0.3336
14,1.4944355645441894,1.4634450784593438,0.8307,0.731,0.4525,0.6095
15,1.4922940248238519,1.4930982385654423,0.5447,0.506,0.3369,0.3403
16,1.4934742926887614,1.463469805969151,0.5462,0.5064,0.4504,0.6041
17,1.4917026166710161,1.4977358656160842,0.545,0.5062,0.3417,0.3316
18,1.4913477038208942,1.4774512972539229,0.5458,0.5065,0.4512,0.6093
19,1.4903281576200418,1.4959627986804565,0.5497,0.5076,0.3423,0.3501
20,1.4910130086008178,1.4788875824714693,0.8311,0.7316,0.4515,0.6061
21,1.4919848140113954,1.4792247124643367,0.5467,0.5069,0.3706,0.3966
22,1.492588114887787,1.5073717582582917,0.8314,0.7318,0.3343,0.3372
23,1.4913013221990257,1.4924689060271041,0.832,0.7322,0.3708,0.3976
24,1.4933241045798538,1.4986112542907453,0.8309,0.7315,0.3438,0.3345
25,1.491091840368389,1.4912339236358774,0.5455,0.5067,0.3714,0.3969
26,1.491928068730428,1.5015564400187233,0.5473,0.5071,0.3707,0.3966
27,1.492061607026357,1.4847478281584343,0.5464,0.5067,0.374,0.4014
28,1.4906716874347599,1.4975518023916725,0.5487,0.5075,0.3455,0.3373
29,1.4917870550082637,1.476930104036644,0.8313,0.7318,0.3756,0.4043
30,1.4918218836986779,1.4766591462531204,0.8306,0.7312,0.4535,0.6114
31,1.4906156217379958,1.4711114771866085,0.8313,0.7318,0.3715,0.3976
32,1.4915932036143007,1.4797314522779956,0.832,0.7323,0.4536,0.6147
33,1.491417531097773,1.4890909888774964,0.8319,0.7322,0.3453,0.3368
34,1.492101702494346,1.4764007263618937,0.5494,0.5078,0.4521,0.6106
35,1.492722672560021,1.4931095574959878,0.5455,0.5067,0.3449,0.336
36,1.4911482458572547,1.482020140034326,0.5462,0.5069,0.453,0.6104
37,1.4911667645267919,1.4891919885654423,0.5502,0.5079,0.3717,0.3978
38,1.4910862337987125,1.4766034222873574,0.8321,0.7325,0.4538,0.6143
39,1.4917313291036012,1.4795200494828815,0.8318,0.7322,0.4524,0.6096
40,1.489760534914318,1.4799736773916725,0.5462,0.5069,0.3776,0.407
41,1.4907544268114996,1.4768120388841832,0.8319,0.7322,0.4529,0.6116
42,1.4915806313065414,1.4767695493602888,0.5488,0.5076,0.379,0.4096
43,1.4901550335442764,1.471190883837821,0.8313,0.7318,0.4525,0.6123
44,1.4896514616497043,1.4718104646821506,0.5487,0.5076,0.4541,0.6157
45,1.4904893889722513,1.4838069638240015,0.5479,0.5074,0.3724,0.3995
46,1.4902494957485213,1.482893264922878,0.832,0.7324,0.4531,0.6112
47,1.489972395289666,1.4708697744851105,0.5476,0.5074,0.4536,0.613
48,1.4905440955006088,1.4793678534013908,0.5469,0.507,0.3768,0.4078
49,1.490517761612735,1.4826909172722005,0.8318,0.7322,0.4526,0.612
