epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6663094477564966,0.3250150199910374,1.3412944277654593,1.421821488567997,0.3275752609126125,1.0942462276553844,0.7158,0.6402,0.4477,0.5377
1,1.4326875114946847,0.315408782554242,1.1172787289404427,1.3006694085710266,0.3248627469810422,0.9758066615899844,0.7913,0.7272,0.4786,0.6152
2,1.3819154491475154,0.3142313463934537,1.0676841027540618,1.2671118231691483,0.32386057000411184,0.9432512531650363,0.8031,0.7366,0.4867,0.6191
3,1.362005218586808,0.3143300428314614,1.0476751757553464,1.2552573502559081,0.32408708482567955,0.9311702654302285,0.8064,0.739,0.4885,0.6212
4,1.357728750699395,0.314405527291943,1.0433232234074519,1.2536681959833795,0.324072333253982,0.9295958627293975,0.8036,0.7366,0.4905,0.6228
5,1.3522883245736281,0.31400276811432776,1.0382855564593003,1.2543757430734397,0.3238426271898264,0.9305331158836132,0.8051,0.7377,0.4903,0.6229
6,1.3473634188624213,0.31416336990477867,1.0332000489576425,1.255005876113173,0.32389757573769695,0.9311083003754761,0.809,0.7409,0.4925,0.624
7,1.3471341929954306,0.3138320680006113,1.0333021249948193,1.2548354510785469,0.3236755836043001,0.9311598674742468,0.8048,0.7375,0.491,0.6238
8,1.3484316555195208,0.3143147840423989,1.034116871477122,1.2595678947638937,0.3237266646197628,0.9358412301441309,0.8015,0.7348,0.494,0.624
9,1.349331418146189,0.31404726954290657,1.0352841486032824,1.2607290843847385,0.32361600669797436,0.9371130776867642,0.8024,0.7356,0.4959,0.6244
10,1.3466791006234975,0.3143949028035374,1.0322841978199602,1.2604063673362838,0.32388030921323147,0.9365260581230523,0.8045,0.7372,0.4933,0.6245
11,1.3455458825715974,0.3138700126020598,1.0316758699695374,1.2608172768040709,0.32355169576290904,0.9372655810411618,0.8015,0.7348,0.4943,0.6246
12,1.3462410276701342,0.3143339688328912,1.031907058837243,1.262031386103326,0.32383091892231863,0.9382004671810076,0.802,0.7353,0.4936,0.6245
13,1.3472156878807817,0.3144138245114597,1.032801863369322,1.2605848444465786,0.324018800687922,0.9365660437586565,0.8037,0.7365,0.4937,0.6246
14,1.3464142776610681,0.3140578737941914,1.0323564038668767,1.263500583469042,0.3239312211562392,0.939569362312803,0.8075,0.7397,0.495,0.6247
15,1.3451807442014982,0.3141268014275427,1.0310539427739556,1.2640649684578429,0.32393690621753807,0.9401280622403048,0.8061,0.7385,0.4954,0.6244
16,1.3450177949050377,0.31419625522603406,1.0308215396790037,1.2610123018808972,0.32378704462024976,0.9372252572606475,0.8058,0.7382,0.492,0.6246
17,1.3442512330072944,0.3143477300750166,1.0299035029322778,1.261912190022561,0.3236787537128311,0.9382334363097299,0.8001,0.7338,0.4931,0.6245
18,1.3447598525636708,0.3141135663505574,1.0306462862131134,1.262095316625368,0.3235160426089638,0.9385792740164041,0.8015,0.7349,0.4939,0.6247
19,1.3468397631253108,0.31402567653504226,1.0328140865902686,1.2644571954193538,0.32379596319225024,0.9406612322271035,0.8092,0.7409,0.494,0.6246
