epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.4469979688406622,0.3251386890360784,1.1218592798045839,1.2635560815023914,0.32753157681705547,0.9360245046853358,0.7146,0.6401,0.5086,0.6183
1,1.3406752528183024,0.31539609387951756,1.0252791589387849,1.2340800953703903,0.324795582948299,0.9092845124220914,0.7914,0.7272,0.5157,0.6265
2,1.329731402409804,0.3144885601984727,1.0152428422113313,1.2195078250113616,0.32432395533511515,0.8951838696762465,0.8041,0.7373,0.515,0.6321
3,1.3237021974922807,0.3142059690440049,1.0094962284482758,1.2202532654653955,0.3240480290885777,0.8962052363768178,0.8072,0.7395,0.5176,0.6311
4,1.319324463052522,0.31412918940779383,1.005195273644728,1.2231116255234484,0.3239529469667049,0.8991586785567435,0.8064,0.7388,0.5188,0.6261
5,1.3160227565613603,0.31418814014060426,1.0018346164207559,1.219390869140625,0.3239525454196243,0.8954383237210007,0.8065,0.739,0.5201,0.6287
6,1.3144044749616628,0.31408383802014256,1.0003206369415203,1.2178992696746236,0.32377320181299774,0.8941260678616257,0.8026,0.7357,0.5217,0.6266
7,1.312345105077607,0.3142167149551351,0.9981283901224718,1.2234912988551765,0.32401451047437674,0.8994767883807998,0.8042,0.737,0.5237,0.6289
8,1.3110283565774203,0.31397447661948774,0.9970538799579327,1.2121952933948126,0.3237713631500498,0.8884239302447628,0.8068,0.7391,0.5208,0.631
9,1.3100757143541735,0.3140063298475837,0.9960693845065899,1.208169931850275,0.3236084618396706,0.8845614700106043,0.8038,0.7366,0.5185,0.6314
10,1.3095912376828789,0.3140894639397173,0.9955017737431615,1.2106951980379481,0.3237231775003787,0.8869720205375693,0.8035,0.7365,0.5178,0.6296
11,1.309690784079959,0.31422381818452627,0.9954669658954327,1.2156227513363487,0.32386767104722125,0.8917550802891274,0.8073,0.7395,0.5202,0.6322
12,1.3067549040210025,0.3140897270222874,0.9926651769987151,1.2154688954023114,0.32380688949965375,0.8916620059026575,0.8059,0.7385,0.5185,0.6303
13,1.3063028269800647,0.3142726098827089,0.9920302170973557,1.2086798966426269,0.32383607563219574,0.8848438210104311,0.8036,0.7365,0.5112,0.6328
14,1.3079657516681864,0.31445442017572944,0.9935113314924569,1.2092667682679406,0.3241515014310293,0.8851152668369113,0.8044,0.7371,0.5111,0.6313
15,1.3061923525377672,0.31398299644733296,0.9922093560904344,1.2145417865953947,0.3237087429395343,0.8908330436558605,0.8062,0.7387,0.5131,0.6298
16,1.3059293104419658,0.31427793224547207,0.9916513781964937,1.210080683066244,0.32397693412125605,0.8861037489449879,0.8057,0.7382,0.5102,0.6317
17,1.3069455781729216,0.31429764320110454,0.992647934971817,1.2235530314353036,0.32413355861674387,0.8994194728185596,0.8107,0.7422,0.5169,0.6293
18,1.3057588531736986,0.31421570309909647,0.9915431500746021,1.2056572192923845,0.3238176467346022,0.8818395725577822,0.803,0.736,0.5051,0.6311
19,1.3059668705381196,0.31404884803832683,0.9919180224997928,1.2141389080692195,0.3239267830042958,0.8902121250649239,0.8074,0.7395,0.5078,0.6281
20,1.3030410280910665,0.31391969473355646,0.98912133335751,1.212640989520213,0.32369479446199795,0.888946195058215,0.8056,0.7381,0.5082,0.6287
21,1.3069428056873758,0.3143387447933936,0.9926040608939821,1.2189204884367966,0.324110353422297,0.8948101350144997,0.8073,0.7394,0.5055,0.6261
22,1.3051604415124545,0.31431709107416694,0.9908433504382874,1.2128948518113747,0.32411223435335873,0.8887826174580159,0.8078,0.7399,0.5046,0.6269
23,1.303516438532255,0.3144116996137786,0.9891047389184765,1.2080697352866387,0.3238895236620282,0.8841802116246105,0.8027,0.7358,0.5041,0.6281
24,1.3040795768919926,0.314067162632626,0.9900124142593667,1.217022311984667,0.3237415218617447,0.8932807901229224,0.8024,0.7355,0.5072,0.6261
25,1.3058030915197074,0.3146085056132916,0.9911945859064157,1.2269431666324013,0.3241554323656077,0.9027877342667936,0.8032,0.7361,0.5087,0.6229
26,1.300337632075545,0.31422021597702876,0.9861174160985162,1.208834111855631,0.3238212183902138,0.8850128934654172,0.805,0.7376,0.5057,0.6281
27,1.3016872254227454,0.3141167031042772,0.9875705223184682,1.2136930217373074,0.3238737365215439,0.8898192852157635,0.8058,0.7381,0.506,0.6261
28,1.3035770082347273,0.3143474467553258,0.9892295614794016,1.2132701926614438,0.3242064922470135,0.8890637004144304,0.8121,0.7434,0.5051,0.6279
29,1.302173948414446,0.3142826272574913,0.9878913211569545,1.2202004303232123,0.32397008668682914,0.8962303436363833,0.8079,0.74,0.5086,0.6262
30,1.3028140687816023,0.3145664933505678,0.9882475754310345,1.2132533488181159,0.3240419636142551,0.8892113852038608,0.8045,0.7373,0.5069,0.6258
31,1.3010665326915305,0.3140339939916798,0.9870325386998507,1.206437065991008,0.3235615865015257,0.8828754794894823,0.8019,0.7352,0.5051,0.6289
32,1.3039482582152997,0.3140955553130699,0.9898527029022298,1.2138692797716304,0.32380551578595695,0.8900637639856734,0.807,0.7392,0.5041,0.626
33,1.3020353039000332,0.314195546926807,0.9878397569732261,1.2129828962923086,0.32387675869167676,0.889106137600632,0.8053,0.7378,0.5058,0.6271
34,1.3009868186728075,0.3143668743912674,0.9866199442815401,1.2230270470278415,0.32380505083670574,0.8992219961911357,0.8035,0.7364,0.5055,0.6254
35,1.302579480077607,0.314300982326032,0.988278497751575,1.2051303895226475,0.32382846737172133,0.8813019221509263,0.8053,0.7378,0.5049,0.6286
36,1.3043606704995234,0.3141772930438702,0.9901833774556532,1.212865961555629,0.3235483143138093,0.8893176472418196,0.8001,0.7338,0.5063,0.6272
37,1.3006417960007564,0.3139846154169948,0.9866571805837616,1.2139998882431073,0.32374625589048434,0.8902536323526229,0.8022,0.7355,0.5065,0.6262
38,1.2984437006538048,0.31373956412156,0.9847041365322446,1.2113998286281595,0.3234890332842798,0.8879107953438798,0.8049,0.7376,0.5045,0.6276
39,1.3001238673688247,0.3141320023675812,0.9859918650012434,1.2129416003451783,0.3237781471823061,0.8891634531628723,0.8075,0.7397,0.5033,0.6269
40,1.300789243662705,0.3139606951402416,0.9868285485224635,1.2156404405419516,0.32355651432787613,0.8920839262140755,0.8055,0.7381,0.5048,0.6263
41,1.3006803274787073,0.31414837419828623,0.9865319532804211,1.2157863712046617,0.32365873976097215,0.8921276314436895,0.8037,0.7366,0.5071,0.6263
42,1.300275888620068,0.31414762542481767,0.9861282631952504,1.2050543280519608,0.32397735680239353,0.8810769712495672,0.8076,0.7397,0.5068,0.6295
43,1.301317938442888,0.3140401258392739,0.987277812603614,1.2203756527887486,0.3236107865859267,0.896764866202822,0.8019,0.7352,0.5054,0.6239
44,1.3010135316722273,0.31454965606608504,0.9864638756061422,1.214748350867274,0.32397710319371104,0.890771247673563,0.8027,0.7359,0.5056,0.626
45,1.3033566057523935,0.31410073601598765,0.9892558697364059,1.2107637146503312,0.3239523129449987,0.8868114017053325,0.8045,0.7373,0.5061,0.6278
46,1.300803753678299,0.3143805951591512,0.9864231585191479,1.2148973248341737,0.3240893884378787,0.890807936396295,0.8065,0.7389,0.5042,0.6277
47,1.2998562516837284,0.3144036654768319,0.9854525862068966,1.2122213728209943,0.3239022674983228,0.8883191053226714,0.8044,0.7371,0.5053,0.6267
48,1.2986879829386502,0.3144798987107821,0.984208084227868,1.215890329630421,0.3240081913913716,0.8918821382390495,0.804,0.7368,0.5064,0.625
49,1.2990985334077627,0.3140818547823069,0.9850166786254559,1.2073682959390148,0.3235520127737621,0.8838162831652527,0.8018,0.7351,0.5061,0.627
