epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,13.308961979198806,0.0,1115.809530383938,0.4280918295266646,15.959477763036231,0.8465,0.7372,0.2176,0.3412,2.0656516111331946,1219.2819609416913,1219.2819609416913,0.41349779897621264,1224.1849171388815,0.8454,0.7322,0.1667,0.253,1221.3476125528246
1,0.04,↑,2.7415270709292794,8.764454332245139,438.2227278174935,0.41096024874311227,13.931496104477963,0.8654,0.7629,0.2263,0.3505,1.781840439773936,68.8428350211213,68.8428350211213,0.4110925433269898,73.1011604669268,0.8454,0.7322,0.1682,0.2577,70.62467546089523
2,0.06,↑,2.0976068937516477,1.995409641837899,49.88524222461295,0.40436738437457836,6.380548016928928,0.867,0.7655,0.2326,0.3536,1.2023668903137994,38.64142671265827,38.64142671265827,0.40728230860739817,42.29374644070736,0.8453,0.7321,0.1665,0.2527,39.84379360297207
3,0.08,↑,1.8291872174311907,1.840317732685215,30.671962917942704,0.40251953457738016,5.940725906427963,0.8666,0.7664,0.2461,0.358,1.3136247809608608,24.770844606882513,24.770844606882513,0.40610945359064277,28.463550473487427,0.8462,0.7349,0.1682,0.2566,26.084469387843374
4,0.1,↑,1.872364069515969,1.8322710487650427,22.903388578813153,0.4020001723434462,5.956931050880488,0.8663,0.7673,0.2597,0.3641,1.1374263890055627,20.684602745612803,20.684602745612803,0.40494819660171416,24.17143533567502,0.8474,0.7391,0.1952,0.2591,21.822029134618365
5,0.12000000000000001,↑,1.9737107845453115,1.8592752333962437,18.59275204096085,0.4011271137867,6.07967155451303,0.8638,0.7639,0.2767,0.3708,1.1554356717500565,17.135565571518928,17.135565571518928,0.40417870604173306,20.639187108805253,0.8468,0.7365,0.1895,0.2792,18.291001243268983
6,0.14,↑,2.033707939443134,1.9087000377885588,15.905834006739187,0.4005471789056346,6.188642179572975,0.8635,0.7635,0.2844,0.3734,1.2266839351265215,14.857154784796064,14.857154784796064,0.4049630051582668,18.444686725927525,0.8462,0.7346,0.2171,0.269,16.083838719922586
7,0.16,↑,2.030325935764627,1.91478163593418,13.677011626107353,0.4004199127137879,6.1945050692820285,0.863,0.7623,0.2898,0.3728,1.2778024576252622,12.966884281502262,12.966884281502262,0.4068169570787782,16.583645237361925,0.8454,0.7323,0.2118,0.3121,14.244686739127523
8,0.18,↑,1.9563213681781686,1.8680719351157165,11.675449855161673,0.40017970277494563,6.078850685895144,0.8616,0.7595,0.2905,0.3668,1.1924445959759373,10.957203973516375,10.957203973516375,0.4034488379571571,14.475170972521212,0.8457,0.7332,0.2221,0.3042,12.149648569492312
9,0.19999999999999998,↑,1.8500442335675487,1.7799946911387392,9.888859009131407,0.4000039926351427,5.8986882508456056,0.8601,0.7575,0.2903,0.3619,1.1739897938373263,9.015830938396535,9.015830938396535,0.40358072672790724,12.520248306667344,0.8455,0.7325,0.2189,0.3128,10.189820732233862
10,0.21999999999999997,↑,1.8054298225776617,1.7315329232495347,8.657664474550185,0.398929968503587,5.814437781498109,0.8592,0.7566,0.2888,0.3587,1.0636874022913594,8.285389068300631,8.285389068300631,0.4037579082176409,11.682187143825155,0.8454,0.7322,0.2222,0.2782,9.34907647059199
11,0.23999999999999996,↑,1.7303145312782608,1.6438037559881316,7.471835292302645,0.3991749920496792,5.667139184343946,0.8552,0.7513,0.2849,0.3518,1.1065297413281616,7.060876505569327,7.060876505569327,0.4070586851546181,10.497564031330812,0.8454,0.7321,0.2211,0.2777,8.167406246897489
12,0.25999999999999995,↑,1.6748913813641657,1.5388716871921833,6.411965512967372,0.3982361047341055,5.5170886647570265,0.8486,0.7429,0.2847,0.349,1.0577629777111208,5.766442282517069,5.766442282517069,0.4048523362805915,9.1730252325279,0.8454,0.7321,0.1961,0.2705,6.82420526022819
13,0.27999999999999997,↑,1.58778635038561,1.414117808034132,5.438914846587967,0.3977302516718487,5.318201932278308,0.8431,0.7357,0.2859,0.3438,1.1585812366571548,4.813026094641296,4.813026094641296,0.40439430608258226,8.29822747287832,0.8459,0.7336,0.2839,0.3062,5.9716073312984514
14,0.3,↑,1.5370336977335124,1.3077266351643937,4.670452257215758,0.3979705942610463,5.178034156670064,0.8376,0.7295,0.2867,0.3396,1.0377607956976338,4.14332779282664,4.14332779282664,0.40374110557554616,7.509241342544556,0.8454,0.7322,0.2693,0.311,5.181088588524274
15,0.32,↑,1.4801845701732042,1.187934195056503,3.9597804965553705,0.39871575611032845,5.022882231862554,0.8297,0.719,0.2855,0.3357,1.0245728832329803,3.460142370968929,3.460142370968929,0.4030356261031822,6.8312834178940935,0.8454,0.7322,0.2886,0.3096,4.48471525420191
