epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.733148783998717,1.5739496858826634,0.7143,0.578,0.2773,0.4628
1,1.6099075893192138,1.5293079500713507,0.7079,0.6457,0.3433,0.5561
2,1.5815737723355585,1.5077713747764228,0.7563,0.6816,0.39,0.569
3,1.5730578245629683,1.503970335560162,0.779,0.6991,0.4066,0.5697
4,1.569941636342901,1.5022677592623597,0.7747,0.6985,0.4215,0.5725
5,1.5697141589315247,1.503875808372392,0.7115,0.6495,0.3927,0.5629
6,1.566491623139824,1.5028348566752723,0.7719,0.6985,0.4014,0.5629
7,1.5677870821099067,1.5024662106981568,0.7757,0.7013,0.4288,0.5709
8,1.5688348291565315,1.501601879121194,0.7737,0.7005,0.4303,0.5737
9,1.5698447279651855,1.5027827628761778,0.7845,0.7072,0.4683,0.5857
10,1.5681092131201089,1.5049522111290379,0.772,0.6991,0.4477,0.5753
11,1.567467947221245,1.5033964925855812,0.7676,0.6957,0.4627,0.5791
12,1.5681978752663661,1.5050381620174629,0.7621,0.6916,0.4577,0.5783
13,1.5687357851301644,1.5032227395974367,0.7686,0.6963,0.447,0.5783
14,1.5670632593511586,1.501556756588891,0.7721,0.6987,0.4068,0.5667
15,1.5679135961304924,1.5037722914502891,0.7725,0.6991,0.4093,0.5645
16,1.5669517106813842,1.5057233406896406,0.7609,0.6905,0.4114,0.5647
17,1.567756442476647,1.5017851361607581,0.768,0.696,0.4038,0.5646
18,1.569028690259716,1.5032326054044707,0.7622,0.6912,0.4148,0.5704
19,1.566402618859744,1.5057976136907647,0.7864,0.7098,0.4189,0.5646
20,1.5678219644239157,1.5042447385035063,0.7557,0.6863,0.4701,0.5851
21,1.5687647272168168,1.5055191548247087,0.7767,0.7025,0.4437,0.5714
22,1.5677992860423475,1.503894480641859,0.7693,0.6975,0.4448,0.5772
23,1.5683545471818756,1.5023032136240824,0.7683,0.696,0.4349,0.5746
24,1.5678653672772314,1.504515456525903,0.7521,0.6836,0.4614,0.5776
25,1.5671752972691382,1.5026510907672448,0.7861,0.7085,0.4317,0.5712
26,1.5676698558210378,1.5045547832082182,0.7621,0.6916,0.4636,0.581
27,1.5693687338885958,1.5035912034584213,0.7923,0.712,0.4622,0.5817
28,1.568992866919591,1.5040004276502825,0.7831,0.7063,0.4043,0.5644
29,1.568918225619774,1.5067071506851597,0.7871,0.7084,0.3993,0.5616
30,1.567120923445775,1.5025473998193926,0.7647,0.6934,0.4285,0.5698
31,1.5671028126456061,1.5020401755198216,0.7697,0.6973,0.4727,0.5876
32,1.5689779206991827,1.5027885186044794,0.7776,0.7037,0.4041,0.5633
33,1.566544158784401,1.500206465866427,0.7904,0.7107,0.3967,0.5635
34,1.5674397096393595,1.5022549160299539,0.7703,0.6976,0.4157,0.5679
35,1.56613450301737,1.5012746146180953,0.771,0.6982,0.4576,0.5805
36,1.567338366960657,1.5023721866000062,0.7769,0.7022,0.4481,0.5755
37,1.5685634892088032,1.50422965671217,0.7783,0.7035,0.4272,0.5702
38,1.5669529674382046,1.502633970860299,0.7789,0.7035,0.4706,0.586
39,1.567552855144445,1.5023953567911714,0.7709,0.6979,0.45,0.5783
40,1.5672511312942605,1.504500657732797,0.7837,0.7072,0.438,0.5709
41,1.5676780516177968,1.5036868119503983,0.7607,0.6904,0.4483,0.5733
42,1.5676499575139358,1.505000828871106,0.7837,0.7073,0.4089,0.5659
43,1.5691241354777896,1.506125784976991,0.7717,0.6985,0.418,0.5681
44,1.5666673881463726,1.5022256909314946,0.7906,0.7116,0.4631,0.5838
45,1.5682323937074576,1.5031270396346201,0.7707,0.6987,0.4594,0.5766
46,1.56698778579975,1.5020225683737989,0.7788,0.7036,0.4689,0.5892
47,1.5681065397648344,1.5056257812600387,0.7702,0.6978,0.4622,0.5809
48,1.5672789297464356,1.4989713372616227,0.78,0.7046,0.4515,0.5828
49,1.5684245898331508,1.5014689117257285,0.7454,0.6781,0.4533,0.5826
