epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7404022810471784,1.6013422933641894,0.7192,0.5874,0.339,0.5234
1,1.6580577426310876,1.5678194302270947,0.7463,0.6825,0.4543,0.6275
2,1.6479147781743928,1.5671759351799033,0.761,0.6926,0.4761,0.6084
3,1.645147032620736,1.5637282433602289,0.7723,0.7015,0.4816,0.6025
4,1.6431562386710068,1.5617686255816938,0.788,0.7134,0.4929,0.6112
5,1.6424955290097456,1.5600406690977948,0.7898,0.7151,0.4815,0.6081
6,1.6435270707866558,1.5594805903381919,0.7877,0.7145,0.5097,0.6279
7,1.6434002189800656,1.5573407094564464,0.7786,0.7075,0.5105,0.6178
8,1.6417649322700754,1.5572603009744364,0.7889,0.7156,0.51,0.615
9,1.643980103636294,1.560776793560493,0.7703,0.7009,0.5051,0.6228
10,1.6427732540062314,1.5600416444014975,0.7724,0.7026,0.5092,0.6157
11,1.6432199879729779,1.5576219801427256,0.7846,0.7125,0.5032,0.6204
12,1.6429134582809175,1.5590292875786567,0.7913,0.7169,0.5061,0.626
13,1.643273697844867,1.5576188694737294,0.7976,0.7215,0.5085,0.6265
14,1.6440597425563266,1.560240093690867,0.7915,0.7169,0.4821,0.6065
15,1.6434394299035364,1.5608851277266844,0.7859,0.7132,0.5043,0.6162
16,1.6444025028605675,1.563210536403339,0.785,0.7123,0.5097,0.6196
17,1.643551721892243,1.5614470268220453,0.7954,0.7199,0.5101,0.6182
18,1.6431868258142346,1.5626274137615828,0.7886,0.7148,0.5144,0.6179
19,1.6435267528425161,1.5597973072958125,0.7938,0.7185,0.4902,0.6111
20,1.6434821933112662,1.5583853553206637,0.7938,0.7183,0.4918,0.6194
21,1.6416864508975406,1.5583149110511398,0.7925,0.7177,0.5071,0.6207
22,1.6426924838627681,1.559511207312428,0.7909,0.7169,0.5099,0.6218
23,1.6444432963110724,1.5604617889568086,0.8011,0.7235,0.4969,0.6158
24,1.6423379774909437,1.5585791813699823,0.7918,0.7176,0.5109,0.623
25,1.6426049278016432,1.55838276342672,0.7934,0.718,0.5093,0.6232
26,1.644501005148698,1.5648517199170227,0.7891,0.7155,0.4972,0.6133
27,1.643042194511277,1.5608202758918508,0.7935,0.7185,0.5077,0.6174
28,1.6433498504465391,1.5597503824247219,0.7903,0.7167,0.5061,0.6231
29,1.644257563494877,1.560996926061995,0.7864,0.7133,0.5066,0.6203
30,1.6435299813747406,1.5618374246969777,0.7928,0.7178,0.5098,0.6225
31,1.6431379509541337,1.563177540526826,0.7813,0.7098,0.5083,0.6136
32,1.6417807786471015,1.556311282754935,0.7857,0.7126,0.4934,0.6147
33,1.6434731270811602,1.5610199420405888,0.7922,0.7181,0.5111,0.621
34,1.6427662461917028,1.5578937335687992,0.7834,0.7114,0.5139,0.6215
35,1.641966962687849,1.5560488621613986,0.7787,0.7079,0.5152,0.6318
36,1.6432424795564353,1.5611588076541298,0.7752,0.7049,0.5091,0.6167
37,1.6430371782349655,1.5608506628681087,0.7863,0.7135,0.5107,0.626
38,1.6435805520423212,1.560890664849585,0.7881,0.7147,0.5102,0.622
39,1.6439008213164636,1.5599382040903509,0.7841,0.7115,0.5122,0.618
40,1.64329653361748,1.5629879881800708,0.7939,0.7186,0.5182,0.6185
41,1.6436475053706283,1.562735321284001,0.791,0.7169,0.5061,0.6121
42,1.642080690642567,1.5582624989203138,0.7859,0.713,0.5105,0.6219
43,1.6432192338240241,1.5573820587340483,0.7979,0.7217,0.5121,0.6257
44,1.6428360706615195,1.5591098573729603,0.7945,0.719,0.483,0.6163
45,1.6440121614490326,1.5583581950856047,0.7974,0.7215,0.5084,0.6272
46,1.6429430861371899,1.5594171338464415,0.7854,0.7129,0.5026,0.614
47,1.6432148264004633,1.557868480847483,0.7921,0.7178,0.5041,0.625
48,1.6438942795090714,1.5597647164336863,0.7979,0.7217,0.5119,0.6201
49,1.6430436103192185,1.5588739502793203,0.7901,0.7165,0.5092,0.6202
