epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_align,train_stab,train_interv_inv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_align,val_stab,val_interv_inv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,0.05145236849784851,0.0,30.220874786376953,0.0,0.01970561593770981,0.037596020847558975,1.2521413564682007,0.7768,0.6935,0.4832,0.5498,0.04947048798203468,38.41257095336914,38.41257095336914,0.0,0.008772214874625206,0.04330328479409218,39.66032028198242,0.7908,0.7244,0.5454,0.581,38.462041441351175
1,0.04,↑,0.0580299086868763,0.06321030110120773,3.160513162612915,0.0,0.004019126761704683,0.021891294047236443,1.16608726978302,0.7983,0.7228,0.5481,0.6082,0.05944153293967247,2.5562386512756348,2.5562386512756348,0.0,0.0018034683307632804,0.022904420271515846,3.6940619945526123,0.8096,0.7425,0.5901,0.67,2.6156801842153072
2,0.06,↑,0.06340216845273972,0.06312159448862076,1.5780420303344727,0.0,0.0008538669790141284,0.018330136314034462,1.1001659631729126,0.8107,0.7379,0.5826,0.6436,0.06687979400157928,1.5434683561325073,1.5434683561325073,0.0,0.000364371866453439,0.020463285967707634,2.7348854541778564,0.8168,0.7536,0.5707,0.6025,1.6103481501340866
3,0.08,↑,0.06936777383089066,0.06106416881084442,1.0177363157272339,0.0,0.00012823128781747073,0.01681487075984478,1.0587116479873657,0.8169,0.7452,0.606,0.6663,0.07195869088172913,0.9350731372833252,0.9350731372833252,0.0,2.9638156775035895e-05,0.016528252512216568,2.1531763076782227,0.8342,0.771,0.5652,0.5808,1.0070318281650543
4,0.1,↑,0.07423816621303558,0.058258309960365295,0.7282280921936035,0.0,8.016450010472909e-06,0.01593422330915928,1.0249335765838623,0.8224,0.7519,0.6218,0.6804,0.07685288786888123,0.6665340065956116,0.6665340065956116,0.0,1.0918394082182203e-06,0.015001327730715275,1.7230654954910278,0.8297,0.7646,0.6196,0.7096,0.7433868944644928
5,0.12000000000000001,↑,0.07907520234584808,0.05553385615348816,0.5553386807441711,0.0,6.970337267375726e-07,0.01548583060503006,0.9991545677185059,0.826,0.7562,0.6368,0.6954,0.08215891569852829,0.5286878943443298,0.5286878943443298,0.0,7.11445352408191e-07,0.015116211958229542,1.5656572580337524,0.8223,0.7609,0.6375,0.7152,0.6108468100428581
6,0.12000000000000001,→hold,0.08320323377847672,0.05291471630334854,0.44095608592033386,0.0,7.406914050989144e-07,0.015226143412292004,0.9732848405838013,0.829,0.7602,0.6474,0.7031,0.08626828342676163,0.46760106086730957,0.46760106086730957,0.0,8.17889542759076e-07,0.014210665598511696,1.4925765991210938,0.8465,0.7855,0.6456,0.7204,0.5538693442940712
7,0.12000000000000001,→hold,0.08656420558691025,0.04615311697125435,0.38460925221443176,0.0,1.0815862196977832e-06,0.015137589536607265,0.9461718201637268,0.8314,0.7631,0.66,0.7133,0.09192875027656555,0.36671704053878784,0.36671704053878784,0.0,5.008768653169682e-07,0.014208093285560608,1.334052324295044,0.8407,0.7813,0.6595,0.7431,0.4586457908153534
8,0.12000000000000001,→hold,0.08998172730207443,0.041230954229831696,0.34359121322631836,0.0,1.0062918818221078e-06,0.015355800278484821,0.9233525991439819,0.8334,0.7658,0.6695,0.72,0.09544675797224045,0.33484989404678345,0.33484989404678345,0.0,5.57368764475541e-07,0.016352150589227676,1.454748272895813,0.8103,0.7525,0.6257,0.6558,0.4302966520190239
9,0.12000000000000001,→hold,0.09325089305639267,0.037666551768779755,0.3138878047466278,0.0,8.563288247387391e-07,0.0154870068654418,0.902588963508606,0.834,0.7667,0.6794,0.7281,0.10035823285579681,0.3153058886528015,0.3153058886528015,0.0,6.322981107587111e-07,0.016370689496397972,1.2917413711547852,0.8473,0.7885,0.6755,0.7489,0.4156641215085983
10,0.12000000000000001,→hold,0.09674061834812164,0.03468594700098038,0.28904956579208374,0.0,9.028407816913386e-07,0.01514308899641037,0.8880426287651062,0.8367,0.7702,0.6863,0.7349,0.10361529886722565,0.28545457124710083,0.28545457124710083,0.0,5.127346298650082e-07,0.015519451349973679,1.237549901008606,0.8032,0.7472,0.6719,0.7485,0.3890698701143265
11,0.12000000000000001,→hold,0.10017585009336472,0.03227587044239044,0.2689656615257263,0.0,9.621597882869537e-07,0.015219111926853657,0.8760012984275818,0.8368,0.7705,0.6939,0.7408,0.10714373737573624,0.2733110189437866,0.2733110189437866,0.0,6.39058100659895e-07,0.01419761124998331,1.2308273315429688,0.8373,0.7787,0.6712,0.7416,0.38045475631952286
12,0.12000000000000001,→hold,0.10398221760988235,0.030301349237561226,0.25251105427742004,0.0,8.439403131887957e-07,0.014979207888245583,0.8642233610153198,0.8383,0.7723,0.6987,0.7442,0.11148187518119812,0.24730224907398224,0.24730224907398224,0.0,1.2259927189006703e-06,0.014691061340272427,1.255347728729248,0.8265,0.7706,0.6543,0.7123,0.35878412425518036
13,0.12000000000000001,→hold,0.10736715793609619,0.028646279126405716,0.23871898651123047,0.0,8.785165164226783e-07,0.014852701686322689,0.8544183969497681,0.8392,0.7737,0.7031,0.748,0.1159907728433609,0.2621101438999176,0.2621101438999176,0.0,8.781553333392367e-07,0.01741650514304638,1.2934819459915161,0.8452,0.789,0.6624,0.7144,0.3781009167432785
14,0.12000000000000001,→hold,0.11015762388706207,0.027228744700551033,0.2269066423177719,0.0,8.867430096870521e-07,0.01462595909833908,0.8439456820487976,0.8404,0.7751,0.7087,0.7525,0.11782114207744598,0.22601239383220673,0.22601239383220673,0.0,8.941977966969716e-07,0.016046179458498955,1.2731214761734009,0.853,0.7962,0.6512,0.7018,0.3438335359096527
15,0.12000000000000001,→hold,0.11393418908119202,0.02609223872423172,0.21743537485599518,0.0,1.0325779840059113e-06,0.01459251344203949,0.835543155670166,0.8405,0.7753,0.7146,0.7559,0.12240855395793915,0.22652865946292877,0.22652865946292877,0.0,6.109747232585505e-07,0.015709098428487778,1.3220115900039673,0.8267,0.7685,0.6448,0.686,0.3489372134208679
