epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7012908085587803,0.33206097833041487,1.3692298302283654,1.6843874183718186,0.3441507439864309,1.3402366743853877,0.4917,0.4875,0.6496,0.7454
1,1.673140366450545,0.3253684410682091,1.347771925382336,1.6734898321516296,0.34449935025455547,1.3289904818970741,0.5267,0.5278,0.6492,0.7334
2,1.6703681237501555,0.32485854657322405,1.3455095771769314,1.673706223759955,0.3445055002651056,1.3292007234948493,0.662,0.6215,0.6535,0.7503
3,1.6709336096159026,0.32480963345231684,1.346123976163586,1.6704142351229765,0.34447855434259217,1.3259356807803844,0.7319,0.6771,0.6526,0.7422
4,1.669970282192888,0.3247258112980769,1.345244470894811,1.6599131872119006,0.3445546792154497,1.315358507996451,0.8025,0.734,0.6458,0.7313
5,1.6677023283050294,0.32480414919258743,1.342898179112442,1.665587575812089,0.3446576232064794,1.3209299526056095,0.8404,0.7497,0.6477,0.7309
6,1.6720977904625849,0.3248073466576695,1.3472904438049154,1.6636496461989807,0.34470502689604615,1.3189446193029346,0.841,0.7551,0.6518,0.7483
7,1.6720374231313204,0.32487293516609334,1.3471644879652271,1.6601977784217559,0.3447371506624935,1.3154606277592624,0.832,0.7547,0.6505,0.7479
8,1.670721200796274,0.3248531027877362,1.3458680980085378,1.6576733153282441,0.344685203150699,1.312988112177545,0.8298,0.7573,0.6491,0.7449
9,1.6698443668274412,0.32493615593138675,1.3449082108960544,1.6580924459441546,0.3446999969905103,1.3133924489536444,0.8359,0.7579,0.6371,0.7128
10,1.666829096543694,0.32480046603660684,1.3420286305070872,1.655197376029313,0.3446067112634717,1.3105906647658414,0.8274,0.753,0.6495,0.7518
11,1.670206408918062,0.32480538365695455,1.3454010252611075,1.6568959413142745,0.34454531682825484,1.3123506244860197,0.7579,0.6978,0.6317,0.712
12,1.6722481927441666,0.32488319538632504,1.3473649973578414,1.6537267626817869,0.34456104056656855,1.3091657221152182,0.7472,0.6909,0.645,0.7413
13,1.6705091562448193,0.3248247303444131,1.3456844259004062,1.6537536029340156,0.3445355528939794,1.3092180500400363,0.7406,0.6855,0.6455,0.7445
14,1.6698819673978365,0.32485257662259615,1.3450293907752404,1.6567164709033069,0.3446837871688885,1.3120326837344183,0.8399,0.7518,0.6463,0.7438
15,1.6678766508633642,0.3248220792815919,1.343054571581772,1.6511949660705396,0.3445958483582388,1.3065991177123009,0.817,0.7472,0.647,0.7505
16,1.6681975508874545,0.324663521440339,1.3435340294471154,1.6474022482240631,0.3445226399852298,1.3028796082388332,0.82,0.7501,0.6442,0.7557
17,1.6707796253639444,0.32486255352313703,1.3459170718408073,1.6527812672453905,0.3445489941541508,1.3082322730912397,0.7266,0.6728,0.6375,0.753
18,1.6673267475806117,0.32491539264547414,1.3424113549351375,1.6499818712060141,0.34462247726989914,1.305359393936115,0.8031,0.7354,0.6395,0.7358
19,1.666726332444411,0.32486793659726254,1.3418583958471486,1.6483833756803474,0.34468816191866125,1.3036952137616862,0.8381,0.7492,0.6447,0.7521
20,1.6664432555990447,0.32476772237519685,1.341675533223848,1.6417307127215524,0.34440386658560207,1.2973268461359504,0.6339,0.6013,0.6188,0.7463
21,1.6695579103829057,0.3248747362698421,1.3446831741130636,1.6450929932316916,0.3445832735943992,1.3005097196372923,0.7554,0.6965,0.6282,0.7526
22,1.6672852210087865,0.3249140974697447,1.3423711235390419,1.645926076619579,0.3446489371091045,1.3012771395104743,0.6624,0.623,0.639,0.7484
23,1.6714947849749253,0.32481882110514754,1.3466759638697778,1.6526838392432048,0.34443922386275105,1.3082446153804537,0.6568,0.6179,0.6462,0.7554
24,1.667146637205736,0.32477672789394063,1.3423699093117953,1.6454693907846045,0.34457232615293887,1.3008970646316655,0.7781,0.7166,0.6283,0.7519
25,1.6682238996187002,0.32482213999295423,1.343401759625746,1.6473412130678131,0.3445550173603597,1.3027861957074534,0.7196,0.6679,0.6381,0.7536
26,1.669991794252269,0.3248532849218232,1.345138509330446,1.650542219589952,0.3446405257544689,1.305901693835483,0.7893,0.7245,0.6438,0.7558
27,1.6699490736903182,0.3247942127662881,1.3451548609240302,1.6568906578000564,0.34449218580927543,1.3123984719907809,0.7281,0.6733,0.6465,0.7548
28,1.669889677740851,0.3249287693823048,1.344960908358546,1.6481065829374781,0.3445772292541335,1.3035293536833448,0.7297,0.6768,0.6322,0.7533
29,1.6692244026325742,0.32487085074265376,1.3443535518899203,1.6528969550727146,0.3448090698580332,1.3080878852146813,0.8395,0.7411,0.64,0.7429
30,1.6692118353805745,0.32480607171906084,1.3444057636615137,1.6486131451466737,0.34469703822254805,1.3039161069241256,0.8418,0.7503,0.63,0.7516
31,1.6681795398499668,0.32482019722936006,1.3433593426206067,1.6484375845362276,0.34489943908522336,1.3035381454510042,0.8405,0.7334,0.6318,0.7533
32,1.6697801544432298,0.3248765576107116,1.3449035968325183,1.6553164241716802,0.34441796300153654,1.3108984611701437,0.5015,0.5133,0.6461,0.7566
33,1.6715346318657265,0.3248372166479298,1.3466974152177968,1.6514955134933345,0.3446564819674082,1.3068390315259262,0.8359,0.7534,0.6365,0.7499
34,1.6692075653480913,0.3249194198325079,1.3442881455155835,1.6499328824621817,0.3445722204826545,1.3053606619795273,0.7473,0.69,0.6345,0.754
35,1.6710957899017738,0.3248146117840269,1.346281178117747,1.6576019033500693,0.34457211481237016,1.3130297885376991,0.6278,0.597,0.6423,0.7535
36,1.6688760610727162,0.3248004053252445,1.3440756557474718,1.6480983406552978,0.34462841593988053,1.3034699247154173,0.8104,0.741,0.6319,0.7495
37,1.6679023317696244,0.3247905296103075,1.343111802159317,1.6555176626612276,0.3445397374372403,1.3109779252239873,0.7999,0.7326,0.6438,0.74
38,1.6702643073205923,0.32489129023463403,1.3453730170859581,1.650175015351779,0.3444755321724593,1.3056994831793196,0.6582,0.6192,0.6362,0.7555
39,1.6675058663365696,0.3248801598182091,1.3426257065183604,1.648983308152809,0.34464460462744545,1.3043387035253635,0.7607,0.7026,0.6333,0.7544
40,1.6704312838040865,0.32477429943944797,1.3456569843646387,1.6585674972745519,0.3446593773331999,1.313908119941352,0.8396,0.7576,0.6382,0.7316
