epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.0638952066711784,0.8862278756177326,0.1357,0.3291,0.6211,0.7599
1,1.0195585056862717,0.877830367999724,0.8731,0.8151,0.6306,0.7626
2,1.014903240044174,0.8812684970714378,0.8719,0.8141,0.6325,0.7619
3,1.0157446630042175,0.8818305089368054,0.8723,0.8144,0.631,0.7618
4,1.0138522479831382,0.8907429387694911,0.874,0.8158,0.6363,0.763
5,1.0166602359210148,0.8967291200920485,0.874,0.8157,0.6374,0.7622
6,1.015428263526064,0.8958464655354412,0.8734,0.8154,0.6373,0.7622
7,1.013443472926117,0.8960004514109065,0.8738,0.8156,0.6406,0.7628
8,1.0123818385901437,0.8846940197607817,0.8731,0.8151,0.6366,0.7625
9,1.0095695984458417,0.891422211050657,0.8735,0.8155,0.6391,0.7615
10,1.0120099908635218,0.8954919042514632,0.8725,0.8146,0.6421,0.7623
11,1.012543260734973,0.8904981930170033,0.8714,0.8137,0.6403,0.7624
12,1.0111106643626164,0.8886794280312398,0.8733,0.8153,0.6382,0.7618
13,1.0143225960216091,0.8984110979492315,0.8727,0.8148,0.6418,0.7635
14,1.0129762887559455,0.902414629911782,0.8719,0.8141,0.6417,0.7624
15,1.0122054206992965,0.9009540015805791,0.8729,0.815,0.6398,0.7609
16,1.0135663821700398,0.8989474723048487,0.8733,0.8153,0.6405,0.7613
17,1.0130085628529126,0.8946470795741042,0.8733,0.8153,0.6413,0.7625
18,1.0132426519134632,0.9054595150280527,0.8724,0.8145,0.6417,0.7625
19,1.0121186049531563,0.907527688137382,0.8719,0.8141,0.6425,0.763
20,1.0114598944585582,0.8986115015609772,0.8729,0.815,0.64,0.7617
21,1.011635839346233,0.9103005943701208,0.8736,0.8155,0.6437,0.7621
22,1.0132327468705113,0.9058389156809143,0.8721,0.8142,0.6438,0.7635
23,1.0125931357910525,0.9016581632589039,0.8728,0.8149,0.6432,0.763
24,1.012544788242335,0.9009389997849504,0.8741,0.8158,0.6422,0.7625
25,1.0132348057999219,0.9037013848897824,0.8741,0.8158,0.645,0.7636
26,1.0130524866144601,0.9076228802223946,0.8736,0.8155,0.645,0.7638
27,1.0128019082530424,0.9099378524724796,0.873,0.8151,0.643,0.7616
28,1.0132495760127151,0.8991560207839818,0.8721,0.8142,0.6422,0.7626
29,1.0134901413471693,0.9011193283542042,0.8731,0.8151,0.644,0.7631
30,1.0135144900026625,0.9078587854998263,0.8744,0.816,0.6421,0.7617
31,1.0120448859838338,0.9125900822498131,0.8739,0.8157,0.6444,0.7625
32,1.0154188252807612,0.9058331365895733,0.8739,0.8158,0.6446,0.7634
33,1.0132244927339276,0.9091842153065752,0.872,0.8141,0.6449,0.7638
34,1.013546193547211,0.9118963935698828,0.8745,0.8161,0.6432,0.7629
35,1.0130499881600827,0.9043044340577482,0.8736,0.8155,0.6413,0.7619
36,1.0154541217838104,0.914257629673897,0.8721,0.8142,0.6432,0.7625
37,1.012056612407181,0.9055120593292891,0.8723,0.8144,0.6432,0.7624
38,1.0131336221328149,0.9026280621742608,0.8739,0.8157,0.6407,0.7612
39,1.0126062105520968,0.9128247723189747,0.8734,0.8154,0.6458,0.7637
40,1.013474203547369,0.9122505240823423,0.872,0.8142,0.6439,0.7627
41,1.0141332529346887,0.9051947624234281,0.8728,0.8148,0.6408,0.7627
42,1.0122636892197936,0.90708760913059,0.8734,0.8154,0.6427,0.7628
43,1.0128853279178276,0.913956365179157,0.8724,0.8145,0.6423,0.7622
44,1.01023175676084,0.9124753608928162,0.8722,0.8142,0.6436,0.7631
45,1.0117413148244432,0.9068645138984902,0.8719,0.8141,0.6432,0.7633
46,1.01228912415808,0.9091197738521978,0.8716,0.8139,0.6428,0.7619
47,1.0132268635600568,0.9110329384783958,0.8745,0.816,0.6442,0.7629
48,1.015646191743704,0.9154411948123466,0.8727,0.8148,0.6422,0.7624
49,1.0119069994128351,0.9057861982620323,0.873,0.8151,0.6434,0.7632
