epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.5632470330761978,0.3349343459233049,1.2283126871528929,1.499050806103651,0.3426580244154151,1.1563927816882358,0.6372,0.6065,0.6422,0.7389
1,1.3615637862713963,0.32256466893365593,1.0389991173377404,1.3883844306924666,0.33876682186390883,1.0496176088285578,0.8484,0.7894,0.6428,0.7364
2,1.3338272944685634,0.3217087399105811,1.0121185545579825,1.3504186403057912,0.33793788075116865,1.0124807595546226,0.8572,0.7979,0.6404,0.7282
3,1.323734637596879,0.3215248249570002,1.002209812639879,1.3360032903190464,0.3379961473459682,0.9980071429730782,0.8597,0.8002,0.6386,0.7225
4,1.3222284494091407,0.32168552793305494,1.000542921476086,1.3302744392542958,0.33790332656818084,0.992371112686115,0.8537,0.7944,0.6373,0.719
5,1.3200593538562562,0.3217441346348123,0.998315219221444,1.3299733000779086,0.3377814041940789,0.9921918958838296,0.853,0.7937,0.636,0.7143
6,1.3162604617819547,0.3213814247192059,0.9948790370627487,1.3249216053294344,0.3376535220159388,0.9872680833134955,0.8568,0.7974,0.6378,0.7199
7,1.320741446011895,0.3214129946276111,0.9993284513842838,1.3257804511326503,0.33776625107530084,0.9880142000573494,0.8583,0.7989,0.6385,0.7229
8,1.3179981828684515,0.32150058088631467,0.9964976019821369,1.3272842026813538,0.3377347401965028,0.9895494624848511,0.8595,0.8001,0.6372,0.7178
9,1.3170581281343252,0.3217839815256134,0.9952741466087118,1.327150783380313,0.33785154812884133,0.9892992352514716,0.8475,0.7885,0.6354,0.7135
10,1.3176484449472605,0.3212196491757502,0.9964287957715103,1.3256908638655645,0.3375237377726801,0.9881671260928844,0.852,0.7927,0.6383,0.7232
11,1.316327588311557,0.32153071395914495,0.9947968743524122,1.3271742421834423,0.33744936702654305,0.9897248751568992,0.8436,0.7848,0.6372,0.7185
12,1.321030148776836,0.32162892470625415,0.9994012240705819,1.3243306970992577,0.3376581715084509,0.9866725255908068,0.8588,0.7995,0.6401,0.7292
13,1.3207624723803775,0.32152371191535767,0.9992387604650199,1.3262550797819102,0.3374776021265257,0.9887774776553844,0.8491,0.79,0.6362,0.7162
14,1.3142796119264961,0.32120904492446534,0.9930705670020309,1.324330485758689,0.33711033448618205,0.987220151272507,0.8526,0.7933,0.6375,0.7211
15,1.3163097594081565,0.32148730533508785,0.9948224540730687,1.3279041491056742,0.3376166008185812,0.9902875482870931,0.8536,0.7943,0.6351,0.714
16,1.3178354359431987,0.32139312177501245,0.9964423141681863,1.3258294187424255,0.3374923748322801,0.9883370439101454,0.8601,0.8007,0.6374,0.7211
17,1.3155731686862773,0.32133751016712947,0.9942356585191479,1.3262394828479376,0.3374037597318105,0.9888357231161271,0.8531,0.7937,0.6356,0.7151
18,1.3172900253012578,0.3215108411065463,0.9957791841947116,1.3292964185043714,0.33783381665512463,0.9914626018492468,0.859,0.7996,0.6353,0.7135
19,1.3190965728355024,0.32158395782389754,0.9975126150116048,1.3300633945623592,0.33802712987334443,0.9920362646890148,0.8638,0.804,0.6319,0.704
20,1.3201041183674052,0.3215590864024681,0.998545031964937,1.3276251795549472,0.3377946341136816,0.9898305454412656,0.8559,0.7966,0.6378,0.7208
21,1.3202706293971216,0.321416293278297,0.9988543361188246,1.3270019150836978,0.337605801315519,0.9893961137681787,0.8531,0.7937,0.6334,0.708
22,1.319309507820271,0.32170388300159564,0.9976056248186754,1.3255158104724831,0.3378902234529194,0.9876255870195637,0.8536,0.7942,0.6369,0.7181
23,1.3233769667243451,0.32158322928754973,1.0017937374367953,1.3258967729816806,0.33761070441671354,0.9882860685649671,0.854,0.7946,0.6371,0.72
24,1.3171037021303051,0.3212748965154592,0.9958288056148458,1.326421362541389,0.33738892362388545,0.9890324389175035,0.854,0.7946,0.6372,0.7196
25,1.32072507418119,0.32120307497383743,0.9995219992073524,1.3267349074091608,0.33758006003424734,0.9891548473749134,0.8603,0.8008,0.6369,0.7197
26,1.3180339013866151,0.32179727731396096,0.9962366240726542,1.3263853712425338,0.337875450747165,0.9885099204953688,0.8573,0.798,0.6355,0.7145
27,1.3151979522300337,0.3212834163433045,0.9939145358867291,1.3281653237805142,0.3377510556884089,0.9904142680921053,0.8607,0.8011,0.6342,0.7108
28,1.3215868112579265,0.32146959785441187,1.0001172134035146,1.3268485663670253,0.33742345667281637,0.9894251096942088,0.8586,0.7993,0.6345,0.712
29,1.317799919796243,0.32149748460683647,0.9963024351894065,1.324460058661379,0.3376264070209704,0.9868336516404086,0.856,0.7966,0.6369,0.7185
30,1.3212830520751306,0.32189647967998797,0.9993865723951426,1.3289368647947866,0.3379961050778545,0.9909407597169322,0.8575,0.7982,0.6333,0.7071
31,1.3132800802944193,0.32150995067323235,0.991770129621187,1.3256537947298086,0.3378052856783457,0.9878485090514629,0.8534,0.794,0.6374,0.7208
32,1.318594004178237,0.3211630661860701,0.9974309379921668,1.3250500369930531,0.3372650146484375,0.9877850223446156,0.8504,0.7912,0.6375,0.7204
33,1.3181216900165265,0.3215656432295984,0.996556046786928,1.3271754890927978,0.3378271382931527,0.9893483507996451,0.8591,0.7997,0.637,0.7181
34,1.3174386467162114,0.32149797029773497,0.9959406764184765,1.3252016104489481,0.33774146082658846,0.9874601496223597,0.8548,0.7954,0.6369,0.7181
35,1.318413104555651,0.3215241976062562,0.9968889069493949,1.325457121196546,0.337585618291205,0.9878715029053411,0.8575,0.7982,0.6379,0.7226
