epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1435973473505885,1.0257958071383744,0.7112,0.6655,0.6111,0.7347
1,1.0621477931500747,1.0183533222061114,0.8715,0.8107,0.6423,0.7442
2,1.057790498202296,1.0122288415966931,0.8562,0.7979,0.6363,0.7459
3,1.0582334483017657,1.0234862774032636,0.8643,0.805,0.6471,0.7421
4,1.0591200770370524,1.0186166525547524,0.8639,0.8046,0.6388,0.7421
5,1.0583170680847978,1.0153225293780297,0.8587,0.8,0.6389,0.7429
6,1.0570433437033737,1.0191483854256838,0.8631,0.804,0.6503,0.7481
7,1.0588679225122264,1.0175775332464077,0.8684,0.8086,0.6484,0.7474
8,1.0576219634605024,1.0150520979862794,0.8642,0.805,0.6455,0.7482
9,1.0589417475288048,1.0171922171214942,0.8677,0.808,0.6425,0.7449
10,1.0559536152240137,1.0161166626990996,0.865,0.8057,0.6428,0.7433
11,1.0561474868410146,1.013227468052069,0.8659,0.8064,0.6469,0.748
12,1.0586474188442887,1.0162042422307827,0.8654,0.8061,0.6428,0.7449
13,1.0592039396655337,1.0150472794213123,0.8615,0.8026,0.6485,0.7523
14,1.0578008596081316,1.0154077418953429,0.8637,0.8045,0.6431,0.7472
15,1.0595687744788214,1.021264918953428,0.8596,0.8009,0.6456,0.7423
16,1.0598246526338693,1.0213902016425727,0.8632,0.8041,0.6551,0.7533
17,1.0568068931842673,1.0179669071102406,0.8672,0.8076,0.6493,0.7474
18,1.058257166207311,1.0192468701307134,0.8692,0.8092,0.6488,0.7472
19,1.0572217541601043,1.0203449957258484,0.8531,0.7949,0.6491,0.7466
20,1.0591459805516412,1.018138600188279,0.8654,0.806,0.6466,0.7467
21,1.0571169258745026,1.0156184061742555,0.8653,0.8059,0.6403,0.7416
22,1.0579934360494032,1.0195735181137466,0.8627,0.8037,0.6525,0.7487
23,1.0571526241555453,1.0173378730414646,0.8653,0.8059,0.6454,0.7435
24,1.057555423807402,1.0143983793390754,0.8654,0.806,0.6489,0.7501
25,1.0560764140728613,1.0147444706544322,0.8663,0.8068,0.635,0.7396
26,1.0578202872440732,1.0150289350599464,0.864,0.8048,0.6502,0.7501
27,1.0595815643391495,1.0209012441027527,0.8612,0.8023,0.6392,0.7387
28,1.058892449902603,1.0137335019098423,0.8633,0.8042,0.641,0.7477
29,1.058326215263387,1.0155622741192,0.8673,0.8076,0.6406,0.7445
30,1.0567443200068385,1.011896191541508,0.8674,0.8078,0.6406,0.7466
31,1.057686317504559,1.014372764862145,0.8632,0.8041,0.639,0.7412
32,1.0578557426796669,1.0153291232037742,0.8609,0.802,0.6417,0.7445
33,1.057867723055164,1.0194277776575484,0.8663,0.8067,0.6482,0.7454
34,1.05762269199685,1.015052182522507,0.8598,0.801,0.645,0.7467
35,1.058288655167233,1.0152472075993335,0.8665,0.807,0.6409,0.7451
36,1.0575854556946287,1.0169947404940702,0.8661,0.8065,0.645,0.7455
37,1.0557408826104526,1.015519921469226,0.8651,0.8058,0.6444,0.7457
38,1.0569959078922828,1.0162435515765669,0.8665,0.807,0.6543,0.753
39,1.0582028497751574,1.0151710404583623,0.8688,0.8089,0.6485,0.7503
40,1.0596032585326176,1.0201900408208535,0.8649,0.8056,0.6462,0.7456
41,1.0584308816520225,1.0189137973943905,0.86,0.8012,0.6482,0.7459
42,1.0592698317307692,1.0171126685314231,0.8632,0.8041,0.6497,0.7509
43,1.0574937410632874,1.014012386924342,0.8659,0.8063,0.646,0.7477
44,1.0596512609830901,1.0173126812456716,0.8661,0.8065,0.6388,0.7416
45,1.0575223968263014,1.0147322129014456,0.8689,0.8089,0.6412,0.748
46,1.0566598097904925,1.0162257144325657,0.864,0.8047,0.6374,0.7398
47,1.0583811792834052,1.0151861724430835,0.8666,0.807,0.6444,0.7478
48,1.0575332439230354,1.0192508433334055,0.8666,0.807,0.6468,0.7458
49,1.0590961162860577,1.0185864731215375,0.8583,0.7996,0.6497,0.7504
