epoch,train_loss,train_pres_loss,train_type_loss,val_loss,val_pres_loss,val_type_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1173661533021801,0.3357098728655504,0.7816562804366296,1.1240320601952043,0.34444742387681787,0.7795846363183865,0.0,0.2769,0.1768,0.1708
1,1.0999695755126306,0.3252158531775841,0.7747537223350465,1.1117412535437587,0.3435976657180575,0.7681435878257011,0.8536,0.7908,0.4315,0.6023
2,1.0980604257760693,0.3241079315266495,0.7739524942494198,1.1128781178651423,0.3431160839640863,0.7697620339010561,0.8467,0.7844,0.5758,0.6722
3,1.0985410573944172,0.3242603979945499,0.7742806593998673,1.1095398033754977,0.34319100419570203,0.7663487991797957,0.843,0.7809,0.4655,0.6618
4,1.0977676553498528,0.3240557399921771,0.7737119153576757,1.0989017433737125,0.3431624098167525,0.7557393335569599,0.8587,0.7951,0.4826,0.6968
5,1.0978479562450782,0.3242058994283094,0.7736420568167689,1.106032078285957,0.3433011760341824,0.7627309022517745,0.8697,0.8018,0.4687,0.6703
6,1.0978004394855043,0.3241131324666881,0.7736873070188163,1.1034739697739027,0.3432714615502186,0.7602025082236842,0.8665,0.8007,0.3862,0.5087
7,1.0983285676263055,0.3239979630123715,0.774330604613934,1.099712931878679,0.3431652629144304,0.7565476689642486,0.863,0.7982,0.4923,0.7091
8,1.0979692980212306,0.32411450859090063,0.7738547894303299,1.096236464059254,0.34321759083924863,0.7530188732200052,0.862,0.7973,0.4818,0.7084
9,1.0982960870474656,0.324237793130647,0.7740582939168187,1.0996639431348467,0.34326040843847383,0.7564035346963729,0.8648,0.7997,0.4718,0.6705
10,1.097037075052843,0.32406017192162634,0.7729769031312168,1.0994847686006752,0.34313449172762295,0.7563502768730523,0.8657,0.8002,0.4929,0.7151
11,1.0980539701345429,0.3242199844643671,0.7738339856701757,1.0998324661043544,0.3432241001287656,0.7566083659755887,0.8454,0.7832,0.4657,0.6571
12,1.0979964967115488,0.32427867211460754,0.7737178245969413,1.099623386879707,0.34329458220843795,0.7563288046712691,0.8392,0.7775,0.4655,0.6702
13,1.0979695611038005,0.324095344037529,0.7738742170662716,1.0988471963729225,0.34306339676030123,0.7557837996126212,0.8574,0.794,0.4775,0.6809
14,1.0970502089442244,0.32428741455078125,0.7727627943934433,1.0996188219234224,0.3433917143338275,0.7562271075895949,0.8666,0.8008,0.4855,0.693
15,1.0983391516404695,0.32408455765215727,0.7742545939883123,1.1023133296385366,0.3432172315602818,0.7590960980782548,0.8589,0.7952,0.4908,0.7051
16,1.0976636163119613,0.32401184567722147,0.7736517706347397,1.099184960869871,0.34313977524184125,0.7560451856280298,0.8603,0.7961,0.4741,0.6934
17,1.0974306465776276,0.3241231498414705,0.7733074967361572,1.0958007220746409,0.3431155978807782,0.7526851241938626,0.8436,0.7815,0.4804,0.7013
18,1.0980642101176539,0.3241007878230168,0.7739634222946369,1.0946414556529713,0.34311811283354615,0.7515233428194252,0.8589,0.7952,0.4242,0.6692
19,1.0973656449457063,0.3240951416663213,0.773270503279385,1.0957905777273416,0.34322245167232945,0.7525681260550121,0.8687,0.8017,0.4684,0.6982
20,1.0978078260345863,0.3241119384765625,0.7736958875580239,1.0913270649157072,0.3430374864065746,0.7482895785091326,0.8248,0.7636,0.4675,0.7119
21,1.0979629030910665,0.3241596778444649,0.7738032252466015,1.0882086080197153,0.3431669113708665,0.7450416966488487,0.8468,0.7845,0.4393,0.7052
22,1.097614257974397,0.32413952167217547,0.7734747363022215,1.0897661246091044,0.3430881447408998,0.7466779798682046,0.8467,0.7844,0.4538,0.7074
23,1.0980989572540203,0.3242910369953995,0.7738079202586207,1.09509108271295,0.3431601907407808,0.7519308919721693,0.8251,0.7639,0.4735,0.7065
24,1.0978330819613105,0.324323294965911,0.7735097869953995,1.0938843280654864,0.3433398302242036,0.7505444978412829,0.8537,0.7908,0.4858,0.7164
25,1.0970662974552388,0.3242100075638263,0.7728562898914124,1.0967548824743552,0.34318119799331287,0.7535736844810422,0.8519,0.7892,0.4867,0.7173
26,1.0980367685818861,0.3242116872448504,0.7738250813370358,1.0965970110695118,0.3432579991559903,0.7533390119135215,0.8537,0.7908,0.4782,0.713
27,1.0976214421522712,0.3240900419118866,0.7735314002403846,1.100889633897269,0.34311940201101543,0.7577702318862535,0.8451,0.7829,0.4918,0.7133
28,1.0977052440693904,0.32407452004025405,0.7736307240291362,1.0974408939604614,0.34308930711402785,0.7543515868464336,0.8517,0.789,0.4817,0.7099
29,1.097828063155359,0.3243156858085005,0.7735123773468584,1.1010241733033241,0.3434925026510561,0.757531670652268,0.8707,0.8018,0.4785,0.6817
30,1.0973540693126242,0.32418871811277356,0.7731653511998507,1.0943270231548108,0.3433420070320615,0.7509850161227493,0.8708,0.8019,0.4643,0.7019
31,1.0981663063919513,0.32420693152146884,0.7739593748704824,1.0940596984694209,0.3435198501206501,0.7505398483487707,0.8714,0.7975,0.4479,0.6984
32,1.0977533679425875,0.32415299959460997,0.7736003683479774,1.102100636490164,0.34302541886009996,0.759075217630064,0.8329,0.7714,0.4926,0.7142
33,1.0978851318359375,0.32413865147598225,0.7737464803599552,1.0983053402887486,0.3432784780571005,0.7550268622316482,0.8676,0.8013,0.4629,0.6779
34,1.0985740641383972,0.3242007996738748,0.7743732644645226,1.099288221871754,0.3431310257422957,0.7561571961294581,0.8501,0.7875,0.484,0.7086
35,1.0978425326967114,0.32425770645748714,0.7735848262392241,1.1021615871101864,0.3432547656452887,0.7589068214648979,0.8233,0.7622,0.4867,0.6968
36,1.098010278190795,0.3241955582595947,0.7738147199312002,1.0946182081904108,0.34327306773854094,0.7513451404518698,0.8614,0.7969,0.4655,0.7051
37,1.097062270268205,0.32417619133501535,0.7728860789331896,1.1046803440083428,0.343244705834217,0.7614356381741257,0.8519,0.7893,0.4836,0.6909
38,1.0980958812116628,0.3241859658643485,0.7739099153473143,1.0991385082128635,0.3431628113638331,0.7559756968490304,0.8264,0.7651,0.4919,0.7181
39,1.097257113267003,0.3241317506177988,0.7731253626492043,1.0978037445829185,0.3431814727360522,0.7546222718468664,0.8551,0.792,0.4947,0.7179
40,1.0968878262871455,0.3239743867666715,0.7729134395204741,1.0993480735208188,0.34323525891079465,0.7561128146100242,0.8655,0.8001,0.4862,0.6978
41,1.0979883411518774,0.3240726784622638,0.7739156626896138,1.1007826321673195,0.34322221919770385,0.7575604129696156,0.8632,0.7984,0.4872,0.6994
42,1.096980957516941,0.3241619039277499,0.772819053589191,1.0980465748963923,0.34323967592868115,0.7548068989677112,0.8683,0.8017,0.4761,0.6973
43,1.09804498485292,0.32415077351132504,0.7738942113415949,1.1033527870917914,0.3430633756262444,0.7602894114655471,0.8351,0.7736,0.4894,0.7037
44,1.0971042825309287,0.3240586541375684,0.7730456283933604,1.1008945158644066,0.34319377275715246,0.7577007431072541,0.8553,0.7922,0.4916,0.706
45,1.0974101666114058,0.32415828148313164,0.7732518851282743,1.0992689053437716,0.3432954909728835,0.7559734143708882,0.8641,0.7991,0.4898,0.7046
46,1.0980034785182153,0.32414051329109334,0.7738629652271221,1.1067065294429534,0.34314742577042934,0.7635591036725242,0.86,0.7959,0.4767,0.6819
47,1.0978127234178132,0.3241141645598475,0.7736985588579659,1.102394019467679,0.3430979932114028,0.759296026256276,0.8517,0.7891,0.4891,0.7022
48,1.0978280024439966,0.3241554280491027,0.7736725743948939,1.100790219293737,0.34310105764964943,0.7576891616440876,0.857,0.7936,0.4952,0.7185
49,1.0974655758480811,0.32419167273240634,0.7732739031156748,1.1008463724828492,0.34323346251596043,0.7576129099668889,0.8621,0.7974,0.4806,0.6828
