epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7098832443475092,1.609796202454261,0.8924,0.8088,0.5248,0.7186
1,1.6270526872073308,1.587786064384887,0.8839,0.8196,0.5233,0.7068
2,1.6215945439250146,1.577709997169226,0.8769,0.8111,0.5232,0.713
3,1.6210185155944419,1.5745690399568768,0.8776,0.812,0.5227,0.7132
4,1.6217558514850525,1.5742307898914345,0.8781,0.8126,0.5219,0.7102
5,1.6226211306270932,1.5750703693176649,0.8721,0.8055,0.5224,0.7141
6,1.6221405117834278,1.5728938976923625,0.8653,0.7974,0.5228,0.7164
7,1.6224995085668183,1.5739046268581605,0.8691,0.8019,0.5221,0.7117
8,1.6254294802718834,1.5762157923933389,0.8638,0.7958,0.5228,0.7134
9,1.6238056417485447,1.57479997549985,0.8744,0.8083,0.5228,0.7148
10,1.6251907860252521,1.5799817535447778,0.876,0.81,0.5232,0.7107
11,1.623761667496962,1.576637918164271,0.8744,0.8083,0.5228,0.713
12,1.6229737998319873,1.5772206798103285,0.8702,0.8032,0.5232,0.7123
13,1.6237036855530675,1.5783608038726553,0.8776,0.812,0.5234,0.7145
14,1.6241433499662565,1.575496688886212,0.8673,0.7997,0.5225,0.7133
15,1.6258793467868229,1.5788287284704963,0.8791,0.8137,0.5236,0.7133
16,1.6244133736157607,1.5760912342347961,0.8717,0.805,0.5224,0.7132
17,1.6259084346123653,1.5771962794211094,0.8776,0.812,0.5219,0.7108
18,1.6251483263956774,1.5816178914182675,0.8693,0.8021,0.524,0.7129
19,1.6211722859653301,1.5787245131427456,0.8659,0.7982,0.5232,0.712
20,1.6211937562224088,1.5753978458744151,0.8802,0.8151,0.5216,0.7102
21,1.6234652323178966,1.575548649821469,0.8793,0.814,0.5224,0.7122
22,1.6216363132790481,1.577846284238448,0.8656,0.7978,0.5229,0.7111
23,1.621720679685355,1.5754413649162151,0.873,0.8065,0.5207,0.7069
24,1.6227410503660653,1.5753028750666427,0.8778,0.8122,0.521,0.7108
25,1.6187540912501692,1.5741282528725222,0.8823,0.8176,0.5204,0.7077
26,1.621890740306055,1.574192520254147,0.8727,0.8062,0.5223,0.7132
27,1.6243712263967378,1.5780185147595456,0.8703,0.8034,0.5188,0.7048
28,1.6241293016732212,1.5741032924711333,0.8718,0.8052,0.5208,0.7096
29,1.6220429829008067,1.5758461115523155,0.8842,0.8199,0.5215,0.7084
30,1.6224056013066825,1.5797826493502156,0.8823,0.8176,0.5233,0.7111
31,1.6242954541896952,1.5797258958559846,0.8711,0.8043,0.5239,0.715
32,1.6207279499392926,1.5706482765343865,0.8775,0.8119,0.5219,0.7133
33,1.6238378830866724,1.57535617790854,0.8737,0.8074,0.5219,0.7135
34,1.6214692294755728,1.5762718735767942,0.8741,0.8078,0.5217,0.7106
35,1.622982803453501,1.5756724522474144,0.8735,0.8071,0.5221,0.7125
36,1.6262304950456088,1.5783861117826978,0.8809,0.816,0.5224,0.714
37,1.6211098560287718,1.5786386599945479,0.8754,0.8094,0.523,0.7117
38,1.6219228391622043,1.576116156627426,0.8675,0.8,0.5231,0.7158
39,1.6211556530125262,1.5759298510186173,0.8848,0.8206,0.5221,0.7097
40,1.6224012219305064,1.5773590635315478,0.874,0.8078,0.5237,0.7146
41,1.623574446303775,1.5764171835305034,0.8692,0.8021,0.5215,0.7114
42,1.62454192309544,1.5747167049727826,0.8754,0.8094,0.5218,0.7137
43,1.6207901632121766,1.5759920074332574,0.8792,0.8139,0.5223,0.7126
44,1.6230795807168086,1.5751699369639838,0.8692,0.8021,0.5227,0.7151
45,1.6233693767289583,1.5749636140669354,0.8778,0.8122,0.5217,0.7121
46,1.6211843448229115,1.571389955269871,0.875,0.8089,0.5224,0.7162
47,1.6201399373122805,1.5758924854468115,0.8735,0.8072,0.5228,0.7138
48,1.6212849923723256,1.574077490200414,0.8763,0.8103,0.5219,0.711
49,1.6229969079045465,1.5781550540687135,0.8705,0.8035,0.5226,0.7102
