epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.4340205377229645,1.3091176728530947,0.9044,0.8408,0.508,0.6769
1,1.3218364978974948,1.2899620486095578,0.8865,0.8217,0.5107,0.6838
2,1.3109358306588799,1.260728897391886,0.8737,0.8063,0.5204,0.7026
3,1.310802256966143,1.2727583428347333,0.8663,0.7975,0.5187,0.698
4,1.307522398818393,1.2692154579281067,0.8686,0.8002,0.5186,0.7037
5,1.309999604123973,1.2650965721217249,0.867,0.7983,0.5193,0.7036
6,1.3050060150477867,1.2550637172862857,0.8697,0.8015,0.5207,0.7083
7,1.3098741733427073,1.2622530766402218,0.867,0.7983,0.5204,0.7085
8,1.307713783293251,1.258996642030791,0.8705,0.8025,0.5199,0.7086
9,1.3128954129762929,1.2552706225318198,0.8674,0.7988,0.5214,0.709
10,1.3050659113284448,1.2590799248983648,0.8675,0.7989,0.5211,0.7108
11,1.30686719101367,1.2573949511993994,0.8667,0.798,0.5207,0.7073
12,1.3055936560706687,1.2559896902514787,0.8637,0.7943,0.5204,0.708
13,1.305794372451084,1.2561529592204044,0.8694,0.8012,0.5206,0.7104
14,1.3069293700099307,1.255275029079761,0.8666,0.7978,0.5213,0.7122
15,1.3069430962481612,1.2601184790672475,0.8666,0.7978,0.5206,0.7103
16,1.309891431053374,1.2580400790487016,0.8699,0.8018,0.5202,0.7102
17,1.3071416735332904,1.258788463862046,0.8681,0.7997,0.5208,0.7112
18,1.3054053498199827,1.2487613594556695,0.866,0.7971,0.5217,0.7122
19,1.308434680254453,1.2547955409340237,0.8699,0.8018,0.5217,0.7126
20,1.3111375820415405,1.2558282686563258,0.8661,0.7972,0.5218,0.7142
21,1.306343368288693,1.2648196309249593,0.8672,0.7986,0.5189,0.7091
22,1.3060745267716263,1.2500525144069585,0.8666,0.7978,0.5225,0.7128
23,1.306470295130732,1.254335351735662,0.8677,0.7992,0.522,0.7146
24,1.304107076008693,1.2574715741426061,0.8701,0.802,0.522,0.7149
25,1.3080972289533135,1.263382699425423,0.8675,0.799,0.5203,0.7088
26,1.3103078317895176,1.2636344163807776,0.8682,0.7997,0.5206,0.7109
27,1.3109514060640208,1.263019869663207,0.8683,0.7998,0.5204,0.7107
28,1.30834899299657,1.2554326061136234,0.8647,0.7955,0.5209,0.7114
29,1.3039374165256712,1.259660107748849,0.8671,0.7984,0.5212,0.714
30,1.3095114460674457,1.2573214331275435,0.8695,0.8013,0.5197,0.7087
31,1.3041129597302141,1.2659951781634218,0.8673,0.7987,0.5203,0.7107
32,1.3071373532242105,1.2624441681441314,0.8677,0.7992,0.52,0.7127
33,1.3064535627630725,1.264105342683338,0.8655,0.7965,0.5203,0.7132
34,1.3104932842899697,1.2571860149533605,0.8686,0.8002,0.5203,0.714
35,1.310756512156216,1.2687439983922748,0.8657,0.7968,0.5194,0.71
36,1.30759607866525,1.2676763708547036,0.8691,0.8008,0.5205,0.7144
37,1.3054079088039043,1.2693650148670126,0.8675,0.799,0.5199,0.7126
38,1.307814880517813,1.2611723552085845,0.8699,0.8018,0.5197,0.714
39,1.3061916501199535,1.2604555580186547,0.869,0.8007,0.5198,0.7104
40,1.3048222530425702,1.2722883588532237,0.8642,0.7949,0.5191,0.7091
41,1.3096728463704137,1.2649114660101155,0.8665,0.7976,0.5212,0.7127
42,1.3088898209741324,1.2661471490287386,0.8687,0.8003,0.5211,0.7129
43,1.3076021962836186,1.2678810696177354,0.8669,0.7982,0.5198,0.7116
44,1.3026589534643158,1.2622507339185316,0.8683,0.7999,0.5198,0.7131
45,1.3108479466299163,1.263500566438118,0.8659,0.797,0.519,0.7102
46,1.3103539907015287,1.2615122202760685,0.867,0.7984,0.5199,0.7149
47,1.303463979203758,1.2667143639817249,0.8686,0.8002,0.5198,0.7116
48,1.3050127884121092,1.2650359224828873,0.8701,0.802,0.5206,0.7141
49,1.3062539354875802,1.2611220519735207,0.8677,0.7992,0.521,0.7138
