epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.8659722405420223,1.692385599988958,0.0,0.2824,0.0778,0.1607
1,1.7351480181788055,1.6417707240451938,0.0303,0.2926,0.5385,0.5725
2,1.7054073350530274,1.6228886845967043,0.8032,0.7495,0.6478,0.69
3,1.698851398123262,1.6149158017790837,0.847,0.7927,0.6632,0.7142
4,1.6972763157786337,1.611479307970275,0.8679,0.814,0.6678,0.7214
5,1.696987918285137,1.6095777458470801,0.8613,0.8072,0.6698,0.7263
6,1.6982057141586089,1.6081024784108866,0.8712,0.8172,0.6723,0.7301
7,1.6984149282527081,1.6075433065061984,0.8664,0.8124,0.671,0.7287
8,1.6958385572746886,1.6080609896908635,0.87,0.8161,0.6713,0.7287
9,1.6945363717459736,1.6077709628835968,0.8677,0.8138,0.6713,0.7281
10,1.6971472159237928,1.6087164188856664,0.8713,0.8173,0.6704,0.7256
11,1.6987753610655736,1.6105887248464252,0.8702,0.8161,0.6691,0.7231
12,1.6969920778498404,1.609771389676177,0.8613,0.8071,0.6698,0.7253
13,1.697994484028346,1.6109215014654656,0.8701,0.8161,0.6707,0.7266
14,1.6954870240789064,1.608498082536718,0.8683,0.814,0.6709,0.7276
15,1.6985092247036142,1.6100321580534396,0.864,0.8099,0.6715,0.7288
16,1.6986503818225414,1.608403387600961,0.8659,0.8118,0.6711,0.7295
17,1.6979106691521657,1.60853068822104,0.8683,0.814,0.67,0.7268
18,1.698000525196953,1.6091174991882367,0.8715,0.8174,0.6702,0.726
19,1.6985241809361418,1.610628059376841,0.866,0.8118,0.6709,0.7268
20,1.6988056518662145,1.6117737908726153,0.8683,0.8142,0.6678,0.7217
21,1.6965501027487813,1.6075070438825565,0.87,0.816,0.6705,0.7285
22,1.6972945595011464,1.6098324471841687,0.8649,0.8107,0.6703,0.726
23,1.695243753737687,1.607984371483326,0.8685,0.8145,0.6714,0.7283
24,1.7013728973451354,1.6116831665453704,0.8674,0.8134,0.6709,0.7273
25,1.6996664375206674,1.6108123277840407,0.8684,0.8145,0.6717,0.7288
26,1.6970498575291164,1.608416678464931,0.8653,0.811,0.6703,0.7288
27,1.6994932037004282,1.608724895702756,0.8599,0.8056,0.6715,0.7301
28,1.7004538557339162,1.6099090278148651,0.8637,0.8097,0.6704,0.7282
29,1.6984071875961733,1.6118048312871351,0.8691,0.815,0.6692,0.723
30,1.6995967927673052,1.6122288354065106,0.8683,0.814,0.6697,0.724
31,1.6982626864607906,1.6129054349401724,0.8699,0.8158,0.6678,0.721
32,1.699133018708565,1.6120176804454431,0.8684,0.8143,0.6699,0.7262
33,1.6986822647667827,1.6111579368943754,0.8685,0.8144,0.6715,0.7291
34,1.6959071198539555,1.6079037856796514,0.8647,0.8105,0.6706,0.7283
35,1.6956589442463548,1.6049866261689558,0.8666,0.8125,0.6718,0.731
36,1.6982709021635458,1.6077819596166196,0.864,0.8098,0.6706,0.7284
37,1.6990357064305337,1.6101712360978127,0.861,0.8069,0.6718,0.7295
38,1.697471670477603,1.6115833964684736,0.8623,0.8082,0.6705,0.7256
39,1.6944451944369106,1.608046496691911,0.8712,0.8171,0.6703,0.727
40,1.6975511723281071,1.60896798611983,0.872,0.8179,0.671,0.7277
41,1.6964764382357889,1.6055229831001032,0.8637,0.8097,0.6714,0.7311
42,1.698765861036632,1.607296761935172,0.856,0.8016,0.673,0.7311
43,1.6982468481914539,1.6077328353472378,0.867,0.813,0.6714,0.7292
44,1.6987365559233187,1.610062019980472,0.8642,0.81,0.6702,0.7265
45,1.6976805482112185,1.609440447843593,0.8684,0.8144,0.67,0.7263
46,1.6983961457937535,1.6076459661126137,0.861,0.8069,0.6707,0.7277
47,1.694469096627034,1.607507882234843,0.865,0.8107,0.6689,0.7251
48,1.6990387399431686,1.6084676679709684,0.8665,0.8125,0.6704,0.7272
49,1.6979371192869446,1.6078932531501935,0.8646,0.8104,0.6719,0.7298
