epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7900280932839654,1.7273603907982167,0.8454,0.7323,0.1833,0.2688
1,1.7245438460676064,1.7118513589253241,0.8454,0.7323,0.1934,0.2744
2,1.6917277365323613,1.7015513396570099,0.8779,0.8106,0.3299,0.3499
3,1.6758712098628992,1.694114303384216,0.8703,0.8072,0.4214,0.4227
4,1.6705362550519285,1.689283622180955,0.8632,0.801,0.4482,0.449
5,1.6714090111050788,1.6866981875742966,0.8575,0.7953,0.4608,0.4635
6,1.6712094438577265,1.685601785459232,0.8563,0.7941,0.4628,0.4667
7,1.6681742807628903,1.684415800888651,0.8565,0.7943,0.4657,0.469
8,1.6687035421130862,1.6839379512189283,0.8548,0.7925,0.4648,0.4695
9,1.6686321717075718,1.6838548142510934,0.8547,0.7925,0.4678,0.471
10,1.6687858643000044,1.6837133670569489,0.852,0.79,0.4663,0.47
11,1.6705156102694803,1.6835940252557844,0.8523,0.7903,0.4694,0.4729
12,1.6719017558385512,1.6838626411339757,0.8538,0.7919,0.4685,0.4725
13,1.6712502101657596,1.6842559202546215,0.8519,0.7899,0.4651,0.4703
14,1.6700050536631665,1.683779536910323,0.8504,0.7882,0.4691,0.4737
15,1.6665527362928094,1.6829739711826963,0.8534,0.7915,0.4693,0.4742
16,1.6700519236175844,1.6833933980679818,0.8531,0.7911,0.4704,0.4747
17,1.6671028536024215,1.6826283466150833,0.8491,0.7868,0.4702,0.4754
18,1.6673868327951518,1.6823570579929925,0.848,0.7857,0.4712,0.4758
19,1.6701827997263432,1.6829502833247696,0.8456,0.7832,0.4714,0.475
20,1.6681495737114163,1.6832155014823946,0.8462,0.7836,0.4755,0.4788
21,1.6691815279955402,1.6830086170859604,0.845,0.7827,0.4732,0.4773
22,1.6673058441395734,1.682712380978171,0.8456,0.7832,0.4718,0.4755
23,1.6690468293439318,1.683086975961284,0.8409,0.7784,0.4736,0.4779
24,1.6650548027028114,1.6817726464742242,0.8466,0.7841,0.4743,0.4792
25,1.6685301202742666,1.6825363282993628,0.846,0.7835,0.4698,0.4745
26,1.6702493956581548,1.6828311784073007,0.8456,0.7831,0.4711,0.4757
27,1.6684521883453705,1.6827647941818564,0.8514,0.7894,0.4717,0.4751
28,1.668763824747075,1.6830576059644313,0.8463,0.7838,0.4723,0.4759
29,1.6651582534831881,1.6822924322324762,0.846,0.7835,0.4736,0.4763
30,1.668538057825901,1.682303716696383,0.8506,0.7884,0.4708,0.4749
31,1.6681660675261532,1.6828246551521857,0.8474,0.785,0.4706,0.4743
32,1.6714326215182624,1.6832588097568233,0.8495,0.7873,0.4693,0.4736
33,1.6722213816599174,1.684254658580338,0.8462,0.7836,0.4714,0.4757
34,1.6699584633166438,1.684111330642209,0.8445,0.7821,0.4717,0.4764
35,1.6653225857771292,1.683105687215093,0.8406,0.7781,0.473,0.4768
36,1.664147254971743,1.6816429176044054,0.8473,0.785,0.4731,0.4774
37,1.6674231005325177,1.6818994810652834,0.8504,0.7882,0.4716,0.4765
38,1.6708176750587589,1.6829777076009005,0.8462,0.7836,0.4697,0.4746
39,1.6662135963248161,1.6823087940911878,0.8475,0.7851,0.4705,0.4755
40,1.668139181799601,1.6826033945247338,0.8455,0.7831,0.4703,0.475
41,1.6698828270927861,1.6829750031360742,0.8527,0.7906,0.4698,0.4747
42,1.6674889992970217,1.6831354920956199,0.8491,0.7868,0.4725,0.4757
43,1.6663125047300154,1.6824974834663162,0.846,0.7835,0.4703,0.4741
44,1.667235053653473,1.6824447607277802,0.8517,0.7896,0.4709,0.4748
45,1.6684797147946122,1.6830664233588353,0.8502,0.788,0.4742,0.4769
46,1.6675556974393577,1.6830108308996765,0.8518,0.7898,0.4746,0.4782
47,1.6685481095444785,1.682902745422887,0.8516,0.7896,0.4696,0.4747
48,1.6664226307947414,1.682655615356347,0.8505,0.7884,0.4694,0.4749
49,1.670129944027233,1.6833778696510413,0.8499,0.7877,0.4729,0.4766
