epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7863453979683968,1.725324968923315,0.8454,0.7323,0.1833,0.269
1,1.7236328811488597,1.709877281229895,0.8454,0.7323,0.207,0.2788
2,1.6896647774977047,1.6998323923528451,0.8786,0.8101,0.3786,0.3839
3,1.679030214846679,1.6936353501332164,0.8717,0.8084,0.4333,0.4332
4,1.6716007931358854,1.6891970465623258,0.8657,0.8033,0.4529,0.4529
5,1.6684017323052862,1.6861483513541489,0.8568,0.7946,0.4662,0.4675
6,1.665971384405872,1.6843065749933792,0.8547,0.7925,0.4676,0.4701
7,1.6691472961872107,1.6840750879484185,0.8548,0.7925,0.4668,0.4705
8,1.6648277467086068,1.682954095463896,0.8537,0.7917,0.4694,0.4742
9,1.6670457172655317,1.6827185246054195,0.8522,0.7902,0.4693,0.4747
10,1.6688892492646492,1.6832815991962415,0.8542,0.792,0.4737,0.4783
11,1.6676990961897744,1.6830161257363185,0.8523,0.7902,0.4697,0.4748
12,1.6696917670736364,1.6835313436811061,0.8478,0.7855,0.4696,0.4735
13,1.666191521466759,1.6826502990313355,0.8494,0.7872,0.4676,0.4729
14,1.6670416530351098,1.6816253841179123,0.849,0.7868,0.4698,0.4748
15,1.6641363860048368,1.6810961961746216,0.8465,0.784,0.4701,0.4754
16,1.6681276339717495,1.6816800172748483,0.8521,0.7901,0.4709,0.4751
17,1.6677887478955702,1.68219929805641,0.8504,0.7882,0.4688,0.4731
18,1.666383772271207,1.6819688219880853,0.8499,0.7877,0.4686,0.4726
19,1.6687614634442374,1.68276305208902,0.8464,0.7839,0.4699,0.4733
20,1.6693126599575092,1.682992399506303,0.8462,0.7837,0.4702,0.4737
21,1.6650063496838976,1.6823157338113743,0.8463,0.7838,0.4713,0.4748
22,1.6640670218894862,1.681668606438862,0.8456,0.7833,0.4687,0.4722
23,1.6675257007208342,1.6822096487994869,0.8454,0.7831,0.4702,0.4738
24,1.6674322798657462,1.68242851040394,0.8479,0.7856,0.4681,0.4729
25,1.6691937960915852,1.6825913083399826,0.8477,0.7853,0.4685,0.4724
26,1.6645659105869273,1.6821810053141844,0.8492,0.787,0.4677,0.4708
27,1.6685052332102273,1.682237384145352,0.849,0.7868,0.4666,0.4703
28,1.6683130787321157,1.6821548708518688,0.8515,0.7895,0.4702,0.4736
29,1.6663475378775727,1.6815844835641558,0.8506,0.7884,0.4715,0.4756
30,1.6707553617261228,1.6825462390424868,0.8449,0.7826,0.471,0.4748
31,1.670051416487755,1.6831564284189575,0.8454,0.7831,0.4714,0.4754
32,1.6680083150619562,1.6830006889007634,0.8453,0.783,0.472,0.4762
33,1.6679381650806127,1.682665162332068,0.8504,0.7882,0.4716,0.4756
34,1.6716062750197416,1.6838170018830525,0.8473,0.7849,0.4676,0.4715
35,1.6689447643987876,1.6833157534251397,0.8482,0.7859,0.4686,0.4726
36,1.6691524664270376,1.6833620163504146,0.8479,0.7857,0.4712,0.4748
37,1.6656145929636423,1.6824548704941384,0.8476,0.7853,0.4719,0.4765
38,1.6690306717996406,1.6826578046119265,0.8507,0.7886,0.4724,0.4762
39,1.6669191259352774,1.6823330631583546,0.8504,0.7882,0.4707,0.475
40,1.6690895117179132,1.6824870933278948,0.8499,0.7877,0.4704,0.475
41,1.6640073006506158,1.681642653092806,0.8493,0.787,0.4716,0.4762
42,1.6690063849227739,1.6823252899963967,0.8489,0.7867,0.4684,0.4731
43,1.6688962483972691,1.6825265572306425,0.8491,0.7869,0.4694,0.4733
44,1.670539871866132,1.6827774063200398,0.8458,0.7833,0.4688,0.473
45,1.6684505558101088,1.6829202512814763,0.8482,0.7859,0.4702,0.4743
46,1.6694940398336546,1.6830810635898246,0.8503,0.7882,0.4708,0.4746
47,1.670627075095935,1.6837084247318972,0.8498,0.7876,0.4717,0.4759
48,1.6655488066525084,1.682759649763803,0.8499,0.7877,0.4717,0.4759
49,1.6656397729294827,1.681714041550272,0.8518,0.7898,0.4696,0.4736
