epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7607034292255939,1.6867470792434758,0.8454,0.7323,0.344,0.362
1,1.6647114038903272,1.6421601490913031,0.8808,0.8139,0.4679,0.4615
2,1.619599929021525,1.6121458209123734,0.8736,0.8132,0.4925,0.4888
3,1.5873539521881606,1.5908988586311177,0.8634,0.8038,0.4984,0.4972
4,1.5789612581786552,1.5773110855290817,0.8572,0.7976,0.5006,0.5011
5,1.573999425392918,1.5686886638019217,0.8529,0.7932,0.5016,0.5032
6,1.5708803640205202,1.5637843358158554,0.8484,0.7886,0.5016,0.5027
7,1.5664797044977192,1.5588836362945164,0.8455,0.7856,0.5018,0.5033
8,1.572060439006938,1.5574858183512872,0.8442,0.7844,0.5015,0.503
9,1.5720729803908242,1.5567938754486936,0.8441,0.7843,0.502,0.503
10,1.5718153745644272,1.5563670580990836,0.8416,0.7819,0.5021,0.5035
11,1.566326540610472,1.5549375954615712,0.8417,0.7819,0.502,0.5033
12,1.5668464245264448,1.5546527323293071,0.8397,0.7799,0.5025,0.5037
13,1.5665782962464327,1.55357459635182,0.8406,0.7808,0.5024,0.5037
14,1.5706251336625987,1.5539528274740784,0.8418,0.782,0.5019,0.5031
15,1.5731836962743477,1.5550466535429075,0.8429,0.7832,0.5019,0.5035
16,1.5665259934430584,1.554453920908752,0.8398,0.78,0.5026,0.5041
17,1.5712612954528502,1.5549995182921446,0.839,0.7791,0.5014,0.5028
18,1.5732017984337956,1.5559703331648536,0.8377,0.7778,0.5015,0.5022
19,1.5695259542744164,1.5555579544648592,0.8421,0.7823,0.5018,0.5025
20,1.5688900884370263,1.555893195033585,0.8391,0.7792,0.5008,0.502
21,1.5679576654102947,1.5546049017762933,0.8405,0.7806,0.502,0.5034
22,1.570342922559386,1.553813743488983,0.8411,0.7814,0.5023,0.5037
23,1.5659971856112018,1.553225687645024,0.8404,0.7806,0.5017,0.5033
24,1.5681657544873533,1.553808102791913,0.842,0.7822,0.5016,0.5034
25,1.573156481905001,1.5549565052269867,0.8405,0.7807,0.5016,0.5033
26,1.5734850745750302,1.5551565854846152,0.839,0.7792,0.5027,0.5049
27,1.569087657021866,1.5553065794220298,0.8413,0.7817,0.5024,0.5034
28,1.5719671907546968,1.555275728774173,0.8393,0.7794,0.5026,0.504
29,1.575017945422115,1.5561452761228505,0.8392,0.7794,0.5024,0.5039
30,1.56871261936655,1.555358692300166,0.8398,0.78,0.502,0.5038
31,1.568678987963326,1.5549246952769071,0.8415,0.7818,0.5025,0.5037
32,1.5637865787886178,1.5536483915067025,0.8385,0.7786,0.5018,0.5034
33,1.5654225111879423,1.5536000232328162,0.8378,0.7778,0.5021,0.5033
34,1.5695443194788596,1.5540583819278833,0.8416,0.7819,0.5028,0.5043
35,1.5630564059810186,1.552345360297502,0.8403,0.7804,0.5031,0.5046
36,1.5704934121921685,1.5529957334371083,0.8396,0.7798,0.5032,0.5047
37,1.5697896012004595,1.5540871400178247,0.8411,0.7815,0.5021,0.5034
38,1.5685434130035762,1.5538333234868849,0.8416,0.7818,0.5018,0.5028
39,1.5739843952154546,1.5550148763370104,0.8407,0.7809,0.5022,0.5033
40,1.567825430707914,1.554538455643879,0.8435,0.7839,0.5019,0.5028
41,1.5698773013172465,1.55427928646235,0.8441,0.7843,0.502,0.5033
42,1.5645588679984892,1.5532431781547775,0.8431,0.7835,0.5015,0.5029
43,1.5692283619038583,1.5542223632591476,0.839,0.7791,0.5011,0.5025
44,1.56780174554375,1.5531171652380489,0.8393,0.7794,0.5023,0.504
45,1.5636221621546493,1.5524339757763777,0.8411,0.7814,0.501,0.5023
46,1.5673090779585201,1.5522823297926285,0.8416,0.7819,0.501,0.5022
47,1.5672046730679612,1.5523834750376033,0.8421,0.7823,0.5024,0.5035
48,1.5652744382129509,1.552349661552855,0.8405,0.7807,0.502,0.5033
49,1.5725425952531302,1.5536595137845806,0.841,0.7813,0.5013,0.5027
