epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.5926346971754686,1.383686281472362,0.8728,0.7997,0.5747,0.6739
1,1.4343639171091884,1.319641926694775,0.8713,0.8079,0.5876,0.6778
2,1.4098233055688973,1.2922050046458469,0.8665,0.8051,0.5901,0.6788
3,1.4027072907442755,1.2821641272124822,0.8609,0.8004,0.5898,0.6773
4,1.4040844874451583,1.2830063579320248,0.8622,0.8015,0.5918,0.6797
5,1.4039358162279154,1.2842212055198374,0.8606,0.8002,0.5921,0.6798
6,1.404609297962973,1.2728926204248148,0.8617,0.8011,0.5924,0.682
7,1.402758618406655,1.2812915321367269,0.8618,0.8012,0.591,0.6771
8,1.4019057511967121,1.2843182760592642,0.8604,0.8001,0.5905,0.6763
9,1.4035774595067103,1.2802103017340736,0.8608,0.8003,0.591,0.6775
10,1.4047298359459843,1.2783844987771518,0.8607,0.8002,0.5913,0.6783
11,1.4039694597297385,1.280794700014294,0.8599,0.7997,0.5901,0.6756
12,1.40608120747207,1.2816964149309988,0.8621,0.8015,0.5909,0.6771
13,1.403498558055817,1.2777324715974918,0.8604,0.8,0.5907,0.6768
14,1.4037167012533396,1.2829102021009968,0.8598,0.7995,0.5913,0.6782
15,1.4041998811678797,1.2792955651012483,0.8599,0.7997,0.5912,0.6778
16,1.4067589193977792,1.2858692744432063,0.8602,0.7999,0.5914,0.6783
17,1.4063246457266871,1.282149849588521,0.8604,0.8001,0.5903,0.6757
18,1.4064154212291424,1.2833277770521898,0.8603,0.7999,0.5912,0.6781
19,1.40496957270473,1.2793176514290046,0.86,0.7997,0.59,0.6752
20,1.399873375576434,1.275914267159565,0.8607,0.8003,0.5905,0.6767
21,1.4042594588561779,1.282426371055957,0.8613,0.8008,0.5906,0.6769
22,1.4061976362918984,1.2824711605617545,0.8603,0.8,0.5903,0.6763
23,1.4033639366572985,1.2822022624623413,0.8604,0.8,0.5899,0.6744
24,1.4044973449065135,1.2810389235244233,0.8616,0.801,0.5906,0.6767
25,1.410891333135433,1.2835880801122934,0.8611,0.8006,0.5902,0.6755
26,1.405040542627203,1.2778358899490325,0.8611,0.8006,0.5917,0.6787
27,1.4080873498549829,1.2824403229182446,0.8613,0.8008,0.5913,0.6786
28,1.4041777580423127,1.2756661235295503,0.86,0.7997,0.5918,0.6799
29,1.4046911632034444,1.2746480921298844,0.8613,0.8008,0.5918,0.6794
30,1.4096739798072795,1.2857862478973463,0.8596,0.7995,0.5892,0.6733
31,1.4062687021035414,1.2829757230433732,0.8606,0.8002,0.591,0.6779
32,1.404434669476289,1.2818908319909157,0.8613,0.8008,0.5913,0.678
33,1.4038042016623824,1.2766285598112936,0.8616,0.8011,0.5921,0.68
34,1.402796119214369,1.2790682492493923,0.8596,0.7994,0.5908,0.6775
35,1.4029578122283166,1.281905978422746,0.861,0.8005,0.5901,0.6756
36,1.4068287662391006,1.2818875338397198,0.8605,0.8001,0.5903,0.6763
37,1.4032454851925846,1.2794896686176185,0.8599,0.7997,0.5913,0.6777
38,1.4053592574375062,1.2823704218600265,0.8605,0.8001,0.5906,0.676
39,1.4031646935471804,1.2850271390745844,0.861,0.8005,0.5902,0.6754
40,1.403974545333999,1.2788825716998768,0.861,0.8005,0.591,0.6779
41,1.4031155217705735,1.2752322831147265,0.8602,0.7999,0.5916,0.6791
42,1.4124397097120867,1.2827747583059061,0.8613,0.8008,0.5918,0.6796
43,1.4055007197338327,1.2844857911984346,0.8612,0.8007,0.589,0.6729
44,1.4074040596776047,1.284539246575654,0.8613,0.8008,0.5909,0.6769
45,1.4071803583074312,1.2776300154234235,0.8608,0.8003,0.5919,0.6804
46,1.4045589203385522,1.2835044482738358,0.8611,0.8007,0.5902,0.6754
47,1.4075042242554834,1.2843049997438023,0.8604,0.8,0.5905,0.6758
48,1.4011689430838872,1.2784465860131704,0.8607,0.8003,0.5911,0.6778
49,1.4057159098927474,1.2828492631212165,0.8615,0.801,0.5906,0.6763
