epoch,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,ped_f1,light_f1,medium_f1,heavy_f1
0,1.0888,0.4508,0.4534,1.2923,0.3756,0.3893,0.5996,0.3478,0.2628,0.2924
1,0.9546,0.5421,0.5391,1.2742,0.3973,0.4095,0.6093,0.3775,0.3291,0.2731
2,0.8885,0.5796,0.5758,1.3341,0.4088,0.4288,0.603,0.3403,0.4252,0.2666
3,0.8531,0.6014,0.5966,1.2501,0.3943,0.4202,0.6049,0.4185,0.3206,0.2331
4,0.823,0.6183,0.6144,1.1902,0.4473,0.4748,0.6175,0.3878,0.5287,0.2552
5,0.7982,0.6306,0.626,1.261,0.4439,0.4593,0.6287,0.4032,0.4888,0.255
6,0.7843,0.6381,0.6343,1.2868,0.4456,0.4567,0.6139,0.3618,0.5039,0.3029
7,0.7676,0.6443,0.6408,1.2332,0.4467,0.4569,0.6376,0.3791,0.4898,0.2803
8,0.7497,0.655,0.6492,1.294,0.4516,0.4558,0.6104,0.414,0.4577,0.3243
9,0.7358,0.6636,0.6585,1.2754,0.4651,0.477,0.6333,0.3913,0.5396,0.2962
10,0.7289,0.6667,0.6615,1.3302,0.44,0.4413,0.5965,0.3948,0.4221,0.3467
11,0.7127,0.6765,0.6715,1.3564,0.4413,0.4441,0.6323,0.4291,0.4135,0.2903
12,0.7022,0.6791,0.6731,1.2685,0.4622,0.4683,0.6377,0.4266,0.4505,0.334
13,0.6873,0.6838,0.6782,1.2846,0.4758,0.4844,0.6341,0.3719,0.5358,0.3615
14,0.6824,0.6882,0.6828,1.2664,0.4766,0.4913,0.6245,0.3933,0.5416,0.3468
15,0.6749,0.6915,0.6869,1.3896,0.4335,0.4426,0.6198,0.4089,0.3931,0.312
16,0.6688,0.695,0.6896,1.3283,0.4753,0.4815,0.6318,0.4188,0.5137,0.3371
17,0.6552,0.7006,0.6945,1.2678,0.4686,0.4841,0.6325,0.4111,0.5355,0.2953
18,0.6487,0.7021,0.6966,1.346,0.4662,0.4673,0.6205,0.4183,0.493,0.3331
19,0.6412,0.707,0.7028,1.3399,0.4782,0.4853,0.6268,0.4265,0.5223,0.3374
20,0.6367,0.7095,0.704,1.4208,0.4645,0.4584,0.617,0.4249,0.4389,0.377
21,0.6276,0.7143,0.708,1.4949,0.455,0.4506,0.6139,0.4129,0.442,0.351
22,0.619,0.7171,0.711,1.3496,0.4712,0.4786,0.629,0.3992,0.5224,0.3342
23,0.6149,0.7204,0.7155,1.3462,0.4721,0.4777,0.6239,0.4304,0.486,0.348
24,0.611,0.7227,0.7181,1.374,0.4628,0.4606,0.6293,0.4265,0.4322,0.3632
25,0.6041,0.7243,0.719,1.3435,0.4793,0.4903,0.6324,0.4072,0.551,0.3266
26,0.5936,0.7302,0.7237,1.4481,0.4805,0.4818,0.618,0.4292,0.524,0.3506
27,0.5888,0.7281,0.723,1.4977,0.4668,0.4631,0.614,0.4188,0.4648,0.3697
28,0.5889,0.7323,0.7271,1.4178,0.4715,0.4761,0.6322,0.4162,0.5022,0.3355
29,0.5826,0.7344,0.7288,1.4429,0.4771,0.477,0.6223,0.4184,0.5095,0.3582
