epoch,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,ped_f1,light_f1,medium_f1,heavy_f1
0,0.9828,0.4159,0.4886,0.9469,0.4759,0.5358,0.409,0.4117,0.6412,0.4416
1,0.8542,0.4801,0.5595,0.9339,0.4946,0.5613,0.4266,0.403,0.6754,0.4732
2,0.8106,0.5017,0.5817,0.8146,0.5428,0.6388,0.5161,0.437,0.7687,0.4495
3,0.78,0.5201,0.5995,0.8451,0.547,0.6184,0.503,0.4486,0.7337,0.5028
4,0.7592,0.5295,0.6089,0.8591,0.5438,0.6002,0.527,0.4438,0.7068,0.4976
5,0.7361,0.5421,0.6203,0.8054,0.5609,0.637,0.5517,0.4486,0.7575,0.4857
6,0.7231,0.5499,0.6273,0.8281,0.5605,0.6278,0.5249,0.4758,0.7387,0.5028
7,0.7128,0.5538,0.6318,0.8111,0.5734,0.6441,0.5464,0.4616,0.7549,0.5306
8,0.6977,0.5614,0.6368,0.7512,0.5807,0.6677,0.5551,0.4699,0.7896,0.5083
9,0.6889,0.5656,0.6416,0.8447,0.5579,0.5997,0.5548,0.4728,0.6898,0.5141
10,0.6769,0.5715,0.6464,0.7833,0.5757,0.634,0.5553,0.4842,0.7372,0.526
11,0.6705,0.5747,0.649,0.7246,0.5879,0.6669,0.5685,0.472,0.7845,0.5267
12,0.6634,0.5787,0.6534,0.8365,0.5582,0.6137,0.5279,0.4625,0.714,0.5282
13,0.6547,0.5839,0.6579,0.7773,0.589,0.6554,0.5841,0.4761,0.7631,0.5326
14,0.6479,0.5865,0.6598,0.8177,0.5754,0.6229,0.5702,0.4816,0.7159,0.5341
15,0.6406,0.592,0.6646,0.8101,0.5776,0.6218,0.5869,0.4842,0.7133,0.526
16,0.6359,0.5936,0.6667,0.8204,0.5751,0.6265,0.5658,0.4737,0.723,0.538
17,0.6292,0.598,0.6701,0.78,0.5895,0.6573,0.5742,0.4842,0.7656,0.5339
18,0.6301,0.5973,0.6696,0.7717,0.5901,0.6436,0.6126,0.4747,0.7457,0.5274
19,0.6221,0.6,0.6722,0.7664,0.5954,0.6566,0.5962,0.491,0.7608,0.5334
20,0.6184,0.6033,0.6747,0.772,0.59,0.651,0.5881,0.4739,0.756,0.5418
21,0.6155,0.6053,0.6768,0.7653,0.6061,0.671,0.6051,0.4915,0.7755,0.5523
22,0.6109,0.6064,0.6774,0.7279,0.6135,0.685,0.6114,0.4946,0.7913,0.5567
23,0.6053,0.61,0.6804,0.7327,0.6099,0.6857,0.6056,0.4935,0.7969,0.5436
24,0.6029,0.6107,0.6813,0.8184,0.5786,0.6163,0.6,0.4837,0.7025,0.5283
25,0.5974,0.6134,0.6829,0.8258,0.5826,0.6169,0.6142,0.489,0.7017,0.5256
26,0.5957,0.6142,0.6832,0.7596,0.6068,0.6642,0.6297,0.4883,0.7666,0.5426
27,0.5927,0.6165,0.6854,0.7433,0.6069,0.6791,0.5994,0.4977,0.7876,0.5426
28,0.5871,0.6185,0.6869,0.7754,0.6006,0.6609,0.6146,0.4833,0.7656,0.5388
29,0.5891,0.6175,0.686,0.7283,0.6101,0.6828,0.6031,0.4915,0.7915,0.5544
