Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7676,0.5721,1.0641,0.5875,0.5475,0.5875,0.5424,0.0000,0.1585,0.7760,0.6008
2,0.5927,0.6942,1.0296,0.5615,0.5832,0.5615,0.5275,0.0016,0.2063,0.5399,0.8397
3,0.5647,0.7088,1.0200,0.5684,0.5965,0.5684,0.5309,0.0019,0.1437,0.5708,0.8323
4,0.5457,0.7173,1.0846,0.5837,0.5671,0.5837,0.5469,0.0000,0.1731,0.6714,0.7311
5,0.5299,0.7228,1.0381,0.5966,0.5888,0.5966,0.5623,0.0122,0.1977,0.6785,0.7492
6,0.5205,0.7269,1.0076,0.5854,0.6050,0.5854,0.5553,0.0318,0.1951,0.6477,0.7542
7,0.5076,0.7318,1.0358,0.5728,0.6103,0.5728,0.5441,0.0411,0.1870,0.5846,0.8041
8,0.4933,0.7379,0.9901,0.5896,0.6309,0.5896,0.5651,0.0948,0.1930,0.6174,0.7910
9,0.4844,0.7411,0.9952,0.5948,0.6277,0.5948,0.5663,0.0600,0.1751,0.6428,0.7853
10,0.4760,0.7448,0.9934,0.5909,0.6165,0.5909,0.5770,0.1946,0.2045,0.6280,0.7487
11,0.4716,0.7461,1.0156,0.5966,0.6350,0.5966,0.5796,0.1981,0.1791,0.6261,0.7732
12,0.4580,0.7513,0.9803,0.6288,0.6391,0.6288,0.6039,0.1742,0.1944,0.7753,0.6637
13,0.4500,0.7549,0.9587,0.5984,0.6335,0.5984,0.5887,0.3156,0.2345,0.5840,0.7893
14,0.4445,0.7571,0.9404,0.6235,0.6306,0.6235,0.6113,0.2762,0.2591,0.7051,0.7002
15,0.4349,0.7611,0.9640,0.6128,0.6532,0.6128,0.5988,0.2843,0.1949,0.6191,0.8016
16,0.4290,0.7638,0.9531,0.6057,0.6394,0.6057,0.5959,0.3017,0.2682,0.5773,0.8155
17,0.4227,0.7668,1.0364,0.6069,0.6441,0.6069,0.6007,0.4282,0.2455,0.5803,0.7845
18,0.4181,0.7693,0.9514,0.6177,0.6507,0.6177,0.6063,0.3250,0.2223,0.6162,0.8014
19,0.3988,0.7789,0.9645,0.6240,0.6431,0.6240,0.6156,0.3518,0.2436,0.6707,0.7314
20,0.3915,0.7817,0.9924,0.6141,0.6323,0.6141,0.6018,0.2808,0.2391,0.6576,0.7421
21,0.3877,0.7841,0.9814,0.6168,0.6365,0.6168,0.6083,0.3468,0.2586,0.6459,0.7424
22,0.3819,0.7865,0.9828,0.6197,0.6343,0.6197,0.6093,0.3014,0.2726,0.6641,0.7352
23,0.3782,0.7900,0.9844,0.6065,0.6287,0.6065,0.5979,0.3114,0.2737,0.6209,0.7534
24,0.3653,0.7966,1.0034,0.6181,0.6358,0.6181,0.6106,0.3447,0.2766,0.6439,0.7451
25,0.3634,0.7978,1.0190,0.6203,0.6333,0.6203,0.6135,0.3757,0.2784,0.6613,0.7183
26,0.3594,0.7999,1.0152,0.6213,0.6429,0.6213,0.6130,0.3567,0.2614,0.6503,0.7462
27,0.3583,0.8008,1.0359,0.6176,0.6358,0.6176,0.6103,0.3813,0.2608,0.6512,0.7269
