Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.5834,0.6947,0.9572,0.5861,0.6032,0.5861,0.5558,0.0435,0.1649,0.6882,0.7044
2,0.5090,0.7348,0.8992,0.5920,0.6413,0.5920,0.5733,0.1156,0.2408,0.6049,0.7974
3,0.4840,0.7487,0.8631,0.6241,0.6354,0.6241,0.6083,0.1687,0.2714,0.6992,0.7379
4,0.4696,0.7556,0.8479,0.6237,0.6293,0.6237,0.6158,0.2249,0.3968,0.6812,0.7142
5,0.4583,0.7598,0.8591,0.6416,0.6430,0.6416,0.6272,0.2347,0.3381,0.7806,0.6407
6,0.4494,0.7654,0.8859,0.6145,0.6550,0.6145,0.6031,0.2275,0.2951,0.5984,0.8268
7,0.4427,0.7694,0.9226,0.6284,0.6440,0.6284,0.6189,0.2901,0.2910,0.7066,0.7003
8,0.4383,0.7720,0.9438,0.6286,0.6532,0.6286,0.6225,0.3487,0.2871,0.6715,0.7341
9,0.4298,0.7753,0.9505,0.6252,0.6460,0.6252,0.6194,0.3158,0.3371,0.6367,0.7691
10,0.4012,0.7892,1.1728,0.6369,0.6748,0.6369,0.6438,0.5916,0.3740,0.6658,0.6750
11,0.3933,0.7940,1.0269,0.6414,0.6425,0.6414,0.6341,0.2972,0.3763,0.7169,0.7012
12,0.3861,0.7961,1.0009,0.6357,0.6463,0.6357,0.6251,0.2706,0.3193,0.6957,0.7355
13,0.3782,0.8004,1.0774,0.6411,0.6449,0.6411,0.6318,0.2889,0.3324,0.7484,0.6699
14,0.3723,0.8029,1.0945,0.6425,0.6660,0.6425,0.6425,0.5011,0.3265,0.6656,0.7291
15,0.3524,0.8120,1.2262,0.6382,0.6564,0.6382,0.6403,0.4957,0.3910,0.6761,0.6876
16,0.3446,0.8169,1.1406,0.6420,0.6542,0.6420,0.6386,0.3520,0.3904,0.6622,0.7594
17,0.3378,0.8204,1.2191,0.6276,0.6416,0.6276,0.6249,0.3921,0.3714,0.6421,0.7384
18,0.3317,0.8233,1.2769,0.6465,0.6528,0.6465,0.6434,0.3718,0.3886,0.6988,0.7165
