Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8493,0.5619,1.1666,0.4550,0.5015,0.4550,0.4169,0.0223,0.0432,0.4203,0.7288
2,0.6888,0.6465,1.1221,0.5249,0.5414,0.5249,0.4946,0.0223,0.1396,0.5748,0.6949
3,0.6248,0.6776,1.0965,0.5291,0.5763,0.5291,0.4900,0.0049,0.1089,0.4948,0.8305
4,0.6026,0.6877,1.0497,0.5564,0.5710,0.5564,0.5253,0.0241,0.1688,0.6067,0.7351
5,0.5883,0.6935,1.0500,0.5597,0.5809,0.5597,0.5283,0.0194,0.1869,0.5877,0.7678
6,0.5781,0.6985,1.0504,0.5564,0.6001,0.5564,0.5246,0.0453,0.1251,0.5551,0.8112
7,0.5620,0.7075,1.0405,0.5781,0.5952,0.5781,0.5535,0.0875,0.1730,0.6376,0.7363
8,0.5646,0.7069,1.0276,0.5562,0.6045,0.5562,0.5321,0.0753,0.1966,0.5252,0.8259
9,0.5592,0.7089,1.0694,0.5684,0.5894,0.5684,0.5441,0.1123,0.1453,0.6270,0.7225
10,0.5544,0.7119,1.0464,0.5712,0.6081,0.5712,0.5467,0.0672,0.2287,0.5502,0.8292
11,0.5781,0.7029,1.0915,0.5398,0.5915,0.5398,0.5122,0.0562,0.1847,0.5030,0.8170
12,0.5325,0.7203,1.0069,0.5981,0.6066,0.5981,0.5767,0.1044,0.2425,0.6616,0.7394
13,0.5258,0.7258,1.0529,0.5914,0.6091,0.5914,0.5624,0.0584,0.1877,0.6412,0.7748
14,0.5179,0.7284,1.1149,0.5768,0.6191,0.5768,0.5523,0.0689,0.2179,0.5665,0.8253
15,0.5136,0.7302,1.1356,0.5914,0.6152,0.5914,0.5712,0.1117,0.2352,0.6197,0.7775
16,0.5115,0.7318,1.1347,0.6024,0.6167,0.6024,0.5813,0.1064,0.2518,0.6574,0.7550
17,0.5117,0.7315,1.1312,0.5902,0.6141,0.5902,0.5732,0.1505,0.2276,0.6249,0.7577
18,0.5052,0.7338,1.0859,0.5942,0.6220,0.5942,0.5750,0.1241,0.2363,0.6100,0.7956
19,0.5055,0.7339,1.1076,0.5887,0.6067,0.5887,0.5663,0.0899,0.2327,0.6393,0.7493
20,0.5033,0.7359,1.1924,0.6094,0.6116,0.6094,0.5792,0.0638,0.2159,0.7039,0.7322
21,0.4898,0.7412,1.1398,0.6076,0.6193,0.6076,0.5878,0.1243,0.2536,0.6651,0.7540
22,0.4892,0.7425,1.1632,0.5994,0.6136,0.5994,0.5723,0.0555,0.2400,0.6497,0.7744
23,0.4862,0.7430,1.2125,0.6045,0.6173,0.6045,0.5842,0.1140,0.2450,0.6666,0.7478
24,0.4822,0.7443,1.2699,0.5975,0.6139,0.5975,0.5780,0.1185,0.2452,0.6542,0.7433
25,0.4829,0.7449,1.1999,0.6032,0.6149,0.6032,0.5834,0.1192,0.2452,0.6686,0.7397
26,0.4767,0.7480,1.2896,0.6043,0.6152,0.6043,0.5815,0.0968,0.2418,0.6690,0.7497
27,0.4749,0.7490,1.3370,0.6036,0.6155,0.6036,0.5828,0.1144,0.2437,0.6654,0.7472
28,0.4744,0.7488,1.2765,0.6032,0.6240,0.6032,0.5837,0.1255,0.2459,0.6313,0.7894
29,0.4745,0.7486,1.3405,0.6058,0.6145,0.6058,0.5829,0.0987,0.2412,0.6832,0.7340
