Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7223,0.6056,1.2009,0.5148,0.5459,0.5148,0.4766,0.0344,0.0154,0.5766,0.6903
2,0.6488,0.6502,1.0491,0.5773,0.5456,0.5773,0.5282,0.0053,0.1074,0.7976,0.5524
3,0.5981,0.6778,1.0354,0.5381,0.6132,0.5381,0.4921,0.0122,0.0685,0.4772,0.8892
4,0.5281,0.6975,1.0347,0.5127,0.5979,0.5127,0.4782,0.1280,0.2001,0.3566,0.9163
5,0.4924,0.7117,0.9876,0.5687,0.6184,0.5687,0.5552,0.4164,0.1466,0.4966,0.8169
6,0.4709,0.7208,0.8957,0.5949,0.6177,0.5949,0.5785,0.3922,0.1342,0.7549,0.5455
7,0.4550,0.7274,0.8962,0.6030,0.6003,0.6030,0.5842,0.2442,0.1728,0.7433,0.6179
8,0.4420,0.7332,0.9291,0.5984,0.6325,0.5984,0.5911,0.5098,0.1410,0.6615,0.6496
9,0.4304,0.7390,1.1514,0.5889,0.6702,0.5889,0.5795,0.7292,0.1117,0.4933,0.7993
10,0.4226,0.7443,1.0259,0.5802,0.6475,0.5802,0.5605,0.4491,0.1081,0.4846,0.8671
11,0.4177,0.7470,1.0404,0.6071,0.6529,0.6071,0.5975,0.5805,0.1353,0.5586,0.7987
12,0.4106,0.7506,0.9732,0.6170,0.6468,0.6170,0.6077,0.4950,0.1510,0.6444,0.7294
13,0.4054,0.7531,1.0360,0.6039,0.6383,0.6039,0.5913,0.4792,0.1210,0.5915,0.7765
14,0.4003,0.7570,1.1176,0.5950,0.6508,0.5950,0.5885,0.7184,0.1706,0.5132,0.7783
15,0.3968,0.7591,0.9543,0.6096,0.6237,0.6096,0.6017,0.5067,0.2104,0.5690,0.7942
16,0.3926,0.7615,0.9274,0.6162,0.6398,0.6162,0.6073,0.4981,0.1859,0.6054,0.7718
17,0.3777,0.7698,1.0872,0.6002,0.6567,0.6002,0.5887,0.5784,0.1662,0.5022,0.8498
18,0.3728,0.7721,1.0249,0.6143,0.6615,0.6143,0.6039,0.5744,0.1652,0.5494,0.8270
19,0.3697,0.7747,1.0620,0.6111,0.6570,0.6111,0.6061,0.6084,0.1574,0.6077,0.7290
20,0.3654,0.7768,1.0600,0.6096,0.6515,0.6096,0.5997,0.5727,0.1446,0.5809,0.7750
