Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8771,0.4967,1.1738,0.4463,0.4182,0.4463,0.3260,0.2391,0.0000,0.8786,0.0176
2,0.8532,0.5103,1.1336,0.4971,0.4379,0.4971,0.4583,0.1936,0.0000,0.7514,0.3550
3,0.8475,0.5138,1.1542,0.5039,0.4515,0.5039,0.4753,0.2002,0.0000,0.6834,0.4670
4,0.8451,0.5132,1.1361,0.4810,0.4123,0.4810,0.4091,0.1518,0.0000,0.8492,0.1844
5,0.8441,0.5134,1.1402,0.4854,0.4488,0.4854,0.4402,0.3205,0.0000,0.7737,0.2535
6,0.8425,0.5143,1.1518,0.5069,0.4576,0.5069,0.4807,0.2043,0.0000,0.6593,0.5080
7,0.8430,0.5143,1.1619,0.4986,0.4286,0.4986,0.4394,0.1367,0.0000,0.8308,0.2658
8,0.8432,0.5126,1.1386,0.4653,0.4694,0.4653,0.4405,0.2241,0.0000,0.4112,0.7246
9,0.8445,0.5126,1.1371,0.4956,0.4445,0.4956,0.4587,0.2419,0.0000,0.7465,0.3437
10,0.8425,0.5156,1.1550,0.4513,0.4704,0.4513,0.4216,0.2321,0.0000,0.3551,0.7589
11,0.8406,0.5185,1.1611,0.4351,0.4618,0.4351,0.3988,0.2019,0.0000,0.3119,0.7803
12,0.8386,0.5198,1.1513,0.4485,0.4666,0.4485,0.4155,0.1781,0.0000,0.3520,0.7707
13,0.8384,0.5185,1.1629,0.4290,0.4645,0.4290,0.3878,0.1853,0.0000,0.2871,0.8015
14,0.8375,0.5204,1.1368,0.4836,0.4351,0.4836,0.4188,0.2294,0.0000,0.8332,0.1920
