Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8915,0.4428,1.3261,0.4187,0.6461,0.4187,0.4523,0.6322,0.3614,0.2665,0.5574
2,0.7803,0.5522,1.3457,0.4250,0.6616,0.4250,0.4714,0.7008,0.3255,0.3191,0.5016
3,0.7446,0.5777,1.2967,0.4699,0.6577,0.4699,0.5013,0.6135,0.3880,0.3290,0.6204
4,0.7163,0.5952,1.3253,0.4678,0.6324,0.4678,0.4948,0.5383,0.3997,0.3311,0.6295
5,0.6912,0.6094,1.3419,0.4676,0.6347,0.4676,0.4903,0.5758,0.3964,0.3172,0.6361
6,0.6661,0.6225,1.3641,0.4674,0.6362,0.4674,0.4845,0.5277,0.4248,0.2987,0.6639
7,0.6417,0.6337,1.4073,0.4668,0.6121,0.4668,0.4860,0.4906,0.3740,0.3276,0.6506
8,0.5838,0.6578,1.4713,0.4785,0.6195,0.4785,0.4824,0.3801,0.4064,0.3027,0.7342
9,0.5549,0.6692,1.4822,0.4817,0.6097,0.4817,0.4891,0.3882,0.4037,0.3225,0.7176
10,0.5337,0.6769,1.4851,0.4888,0.5976,0.4888,0.5021,0.3959,0.3903,0.3674,0.6845
11,0.5163,0.6828,1.5805,0.4866,0.6151,0.4866,0.4970,0.3982,0.4074,0.3356,0.7117
12,0.4994,0.6885,1.5353,0.4866,0.6014,0.4866,0.4843,0.3026,0.4064,0.3180,0.7591
13,0.4866,0.6929,1.5388,0.4928,0.5964,0.4928,0.4970,0.3396,0.4097,0.3481,0.7290
14,0.4727,0.6977,1.5451,0.4897,0.5958,0.4897,0.4887,0.3059,0.4169,0.3304,0.7493
15,0.4387,0.7091,1.6417,0.4937,0.5834,0.4937,0.5005,0.3036,0.4077,0.3719,0.7132
16,0.4238,0.7143,1.6924,0.4975,0.5891,0.4975,0.4918,0.2262,0.4079,0.3460,0.7757
17,0.4161,0.7170,1.7520,0.4943,0.5942,0.4943,0.4974,0.2980,0.4198,0.3523,0.7369
18,0.4096,0.7191,1.6891,0.4977,0.5923,0.4977,0.4966,0.2691,0.4158,0.3523,0.7549
