Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7347,0.4297,2.2930,0.2351,0.5321,0.2351,0.2564,0.1104,0.6961,0.4099,0.0827,0.2916
2,0.5470,0.5671,2.0484,0.2912,0.5573,0.2912,0.3211,0.1461,0.6121,0.5495,0.1437,0.3520
3,0.4901,0.6009,2.2485,0.2952,0.5659,0.2952,0.3365,0.1589,0.6454,0.5360,0.1841,0.3167
4,0.4543,0.6208,2.0838,0.3225,0.5765,0.3225,0.3621,0.1737,0.6086,0.5739,0.1945,0.3698
5,0.4262,0.6382,2.2307,0.2996,0.5994,0.2996,0.3314,0.1676,0.5727,0.6730,0.1514,0.3511
6,0.4011,0.6504,2.1679,0.3079,0.5451,0.3079,0.3522,0.1547,0.6156,0.5577,0.2887,0.2407
7,0.3720,0.6683,2.1496,0.3324,0.5846,0.3324,0.3739,0.1831,0.5578,0.6378,0.2150,0.3701
8,0.3486,0.6830,2.2785,0.3475,0.6015,0.3475,0.3865,0.1980,0.5613,0.6568,0.2073,0.4098
9,0.3266,0.6943,2.2489,0.3423,0.5937,0.3423,0.3814,0.1897,0.5018,0.6982,0.2138,0.3941
10,0.2975,0.7108,2.1124,0.3690,0.5862,0.3690,0.4147,0.2034,0.4527,0.7018,0.2915,0.3841
11,0.2785,0.7204,2.2282,0.3785,0.5959,0.3785,0.4233,0.2124,0.4580,0.6964,0.2814,0.4166
12,0.2550,0.7333,2.2501,0.3737,0.6005,0.3737,0.4126,0.2076,0.4720,0.6865,0.2440,0.4430
13,0.2410,0.7421,2.1142,0.3974,0.5682,0.3974,0.4393,0.2096,0.4107,0.6973,0.4167,0.3297
14,0.2230,0.7508,2.1939,0.4121,0.5972,0.4121,0.4564,0.2319,0.4028,0.7036,0.3375,0.4452
15,0.2067,0.7607,2.2404,0.4049,0.5930,0.4049,0.4513,0.2254,0.4264,0.6658,0.3412,0.4267
16,0.1987,0.7661,2.2677,0.4152,0.5922,0.4152,0.4618,0.2316,0.3984,0.6775,0.3978,0.3954
17,0.1871,0.7733,2.2104,0.4347,0.5954,0.4347,0.4729,0.2368,0.3170,0.6784,0.3476,0.5050
18,0.1761,0.7807,2.3273,0.4244,0.6017,0.4244,0.4577,0.2293,0.3599,0.6631,0.2988,0.5266
19,0.1690,0.7872,2.3198,0.4447,0.5906,0.4447,0.4799,0.2409,0.3651,0.6414,0.3573,0.5163
20,0.1592,0.7943,2.3095,0.4395,0.5940,0.4395,0.4722,0.2359,0.3065,0.6784,0.3331,0.5326
21,0.1506,0.8008,2.3531,0.4408,0.5877,0.4408,0.4691,0.2307,0.2837,0.6649,0.3221,0.5525
22,0.1441,0.8059,2.3487,0.4635,0.5846,0.4635,0.5008,0.2497,0.3039,0.6162,0.4357,0.4937
23,0.1392,0.8099,2.3920,0.4552,0.6018,0.4552,0.4866,0.2487,0.3284,0.6234,0.3460,0.5610
24,0.1364,0.8129,2.3683,0.4727,0.5919,0.4727,0.5066,0.2563,0.3021,0.5811,0.4110,0.5460
25,0.1307,0.8175,2.3364,0.4938,0.5894,0.4938,0.5178,0.2648,0.2513,0.5703,0.4144,0.6015
26,0.1243,0.8228,2.4109,0.4833,0.5859,0.4833,0.4997,0.2509,0.2391,0.6072,0.3603,0.6285
27,0.1221,0.8258,2.4653,0.4737,0.5881,0.4737,0.5030,0.2531,0.2539,0.6270,0.3990,0.5613
28,0.1168,0.8302,2.4807,0.4843,0.5841,0.4843,0.5132,0.2558,0.2785,0.5514,0.4206,0.5717
29,0.1156,0.8317,2.5495,0.4830,0.5754,0.4830,0.4990,0.2448,0.1778,0.6198,0.3772,0.6184
30,0.0975,0.8464,2.5387,0.5183,0.5793,0.5183,0.5335,0.2732,0.1970,0.5432,0.4560,0.6289
31,0.0930,0.8512,2.6738,0.5108,0.5790,0.5108,0.5258,0.2668,0.1839,0.5631,0.4348,0.6319
32,0.0916,0.8530,2.6857,0.5080,0.5884,0.5080,0.5261,0.2707,0.2110,0.5622,0.4222,0.6343
33,0.0901,0.8543,2.6918,0.5149,0.5806,0.5149,0.5351,0.2729,0.1970,0.5405,0.4732,0.6037
34,0.0897,0.8546,2.6672,0.5232,0.5827,0.5232,0.5316,0.2745,0.1471,0.5468,0.4323,0.6717
35,0.0864,0.8579,2.7167,0.5213,0.5805,0.5213,0.5374,0.2774,0.1804,0.5622,0.4728,0.6183
36,0.0858,0.8595,2.7967,0.5104,0.5653,0.5104,0.5291,0.2607,0.1830,0.5441,0.4945,0.5730
37,0.0852,0.8596,2.7739,0.5150,0.5703,0.5150,0.5313,0.2657,0.1611,0.5523,0.4771,0.6037
38,0.0823,0.8633,2.8868,0.5284,0.5804,0.5284,0.5386,0.2783,0.1567,0.5189,0.4580,0.6605
39,0.0803,0.8645,2.8198,0.5244,0.5761,0.5244,0.5389,0.2740,0.1681,0.5180,0.4789,0.6279
40,0.0805,0.8655,2.8421,0.5311,0.5786,0.5311,0.5440,0.2816,0.1708,0.5153,0.4852,0.6372
41,0.0792,0.8671,2.8365,0.5272,0.5738,0.5272,0.5440,0.2777,0.1743,0.5234,0.5226,0.5881
