Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9250,0.5187,10.7625,0.0981,0.7891,0.0981,0.0275,0.0000,0.9996,0.0133,0.0004
2,0.8075,0.5904,2.0673,0.4073,0.5655,0.4073,0.3250,0.0169,0.3460,0.1188,0.8753
3,0.7605,0.6154,11.6557,0.4766,0.5023,0.4766,0.3548,0.0002,0.0192,0.9786,0.1193
4,0.7257,0.6335,3.3463,0.1713,0.7651,0.1713,0.1524,0.0383,0.9931,0.1627,0.0118
5,0.6979,0.6473,2.8215,0.2288,0.6230,0.2288,0.2148,0.0062,0.8695,0.3307,0.0066
6,0.6712,0.6595,1.6605,0.5444,0.5559,0.5444,0.5155,0.0539,0.2165,0.6476,0.6368
7,0.6455,0.6705,3.0137,0.5356,0.5696,0.5356,0.4857,0.0290,0.1389,0.8251,0.4261
8,0.6187,0.6821,4.6376,0.5080,0.5233,0.5080,0.4247,0.0077,0.1175,0.9411,0.2230
9,0.5960,0.6915,1.9620,0.2778,0.5609,0.2778,0.3087,0.0902,0.8825,0.2448,0.2169
10,0.5705,0.7018,2.0340,0.4971,0.5882,0.4971,0.4407,0.0090,0.2803,0.2876,0.9359
11,0.5102,0.7265,5.2913,0.5010,0.5717,0.5010,0.4000,0.0004,0.1857,0.9745,0.1488
12,0.4871,0.7365,2.3946,0.5284,0.5441,0.5284,0.4800,0.0481,0.2535,0.8776,0.3097
13,0.4687,0.7448,1.5332,0.4657,0.5543,0.4657,0.4855,0.3911,0.6206,0.4061,0.5187
14,0.4515,0.7524,5.3884,0.4819,0.5559,0.4819,0.4217,0.0010,0.1337,0.3090,0.9077
