Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9578,0.3676,1.4310,0.3826,0.6450,0.3826,0.4008,0.6366,0.3148,0.1876,0.5643
2,0.8233,0.5209,1.4305,0.3954,0.6600,0.3954,0.4395,0.7311,0.3453,0.2661,0.4714
3,0.7812,0.5526,1.3262,0.4452,0.6559,0.4452,0.4832,0.6293,0.3658,0.3123,0.5744
4,0.7523,0.5739,1.3307,0.4515,0.6417,0.4515,0.4798,0.5646,0.3823,0.3015,0.6178
5,0.7287,0.5890,1.3338,0.4591,0.6562,0.4591,0.4875,0.6314,0.3631,0.3071,0.6185
6,0.7060,0.6022,1.4232,0.4518,0.6591,0.4518,0.4771,0.5854,0.3767,0.2855,0.6337
7,0.6825,0.6137,1.3852,0.4615,0.6345,0.4615,0.4853,0.5454,0.3754,0.3131,0.6382
8,0.6583,0.6252,1.4165,0.4632,0.6292,0.4632,0.4828,0.5088,0.3982,0.3063,0.6553
9,0.6355,0.6346,1.3881,0.4633,0.6165,0.4633,0.4781,0.4421,0.3644,0.3059,0.6827
10,0.5846,0.6553,1.4594,0.4847,0.6085,0.4847,0.4946,0.3853,0.3652,0.3421,0.7130
11,0.5617,0.6634,1.5429,0.4744,0.6140,0.4744,0.4883,0.4065,0.3688,0.3263,0.6969
12,0.5458,0.6693,1.5084,0.4812,0.6039,0.4812,0.4889,0.3703,0.3627,0.3323,0.7197
13,0.5315,0.6737,1.5510,0.4825,0.6092,0.4825,0.4924,0.3605,0.3859,0.3341,0.7179
14,0.5187,0.6782,1.5603,0.4792,0.6089,0.4792,0.4834,0.3321,0.3696,0.3173,0.7410
15,0.4894,0.6881,1.5574,0.4894,0.5964,0.4894,0.4948,0.3322,0.3763,0.3486,0.7296
16,0.4788,0.6915,1.6031,0.4885,0.6033,0.4885,0.4915,0.3401,0.3813,0.3339,0.7412
17,0.4706,0.6943,1.6795,0.4890,0.6107,0.4890,0.4916,0.3307,0.3840,0.3263,0.7538
18,0.4647,0.6954,1.6269,0.4927,0.5988,0.4927,0.4949,0.3161,0.3794,0.3453,0.7460
19,0.4585,0.6977,1.6155,0.4894,0.5930,0.4894,0.4907,0.2859,0.3694,0.3443,0.7491
20,0.4540,0.6993,1.6260,0.4952,0.5928,0.4952,0.4960,0.2803,0.3901,0.3527,0.7512
21,0.4477,0.7011,1.6725,0.4917,0.5909,0.4917,0.4936,0.2695,0.3823,0.3519,0.7472
22,0.4445,0.7026,1.6605,0.4930,0.5911,0.4930,0.4951,0.2953,0.3805,0.3521,0.7441
23,0.4397,0.7043,1.6707,0.4949,0.5894,0.4949,0.4927,0.2501,0.3863,0.3501,0.7626
24,0.4352,0.7057,1.7101,0.4879,0.5918,0.4879,0.4904,0.2861,0.3803,0.3438,0.7429
25,0.4199,0.7104,1.7318,0.4941,0.5873,0.4941,0.4953,0.2653,0.3997,0.3571,0.7446
26,0.4147,0.7123,1.7849,0.4912,0.5880,0.4912,0.4936,0.2772,0.3863,0.3535,0.7410
27,0.4126,0.7131,1.7715,0.4936,0.5836,0.4936,0.4948,0.2576,0.3978,0.3607,0.7414
28,0.4089,0.7139,1.8098,0.4918,0.5873,0.4918,0.4923,0.2609,0.3890,0.3523,0.7480
