Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7925,0.3874,2.3532,0.1835,0.2481,0.1835,0.1735,0.0737,0.7312,0.3387,0.0000,0.2611
2,0.6047,0.5196,2.1407,0.2506,0.5264,0.2506,0.2773,0.1197,0.6979,0.4432,0.1117,0.2926
3,0.5466,0.5707,2.0770,0.2877,0.5800,0.2877,0.3111,0.1473,0.6524,0.5072,0.1139,0.3744
4,0.5019,0.6003,2.0762,0.3097,0.5614,0.3097,0.3500,0.1648,0.6462,0.5577,0.2029,0.3279
5,0.4811,0.6140,2.0214,0.3216,0.5764,0.3216,0.3694,0.1791,0.6673,0.5045,0.2219,0.3412
6,0.4562,0.6265,2.0967,0.3205,0.5892,0.3205,0.3629,0.1833,0.6331,0.5892,0.1991,0.3543
7,0.4343,0.6380,2.0985,0.3147,0.5608,0.3147,0.3622,0.1675,0.6585,0.5270,0.2861,0.2571
8,0.4133,0.6506,2.0388,0.3476,0.5849,0.3476,0.3912,0.1952,0.5560,0.6667,0.2465,0.3694
9,0.3925,0.6611,2.1862,0.3336,0.6375,0.3336,0.3661,0.1954,0.6182,0.5973,0.1590,0.4268
10,0.3753,0.6714,2.1020,0.3414,0.6076,0.3414,0.3901,0.2021,0.5849,0.6288,0.2340,0.3687
11,0.3594,0.6815,2.1197,0.3513,0.6283,0.3513,0.3952,0.2129,0.5937,0.6360,0.2129,0.4111
12,0.3434,0.6910,2.0362,0.3667,0.6096,0.3667,0.4146,0.2176,0.5333,0.7000,0.2736,0.3846
13,0.3293,0.6992,1.9819,0.3803,0.6181,0.3803,0.4308,0.2280,0.5280,0.6739,0.2956,0.3988
14,0.3141,0.7086,2.0399,0.3670,0.6213,0.3670,0.4068,0.2156,0.4930,0.7396,0.2338,0.4264
15,0.2996,0.7145,1.9919,0.3605,0.6245,0.3605,0.4016,0.2159,0.5298,0.7144,0.2215,0.4219
16,0.2878,0.7224,2.1868,0.3669,0.6365,0.3669,0.4043,0.2168,0.5350,0.6757,0.2095,0.4541
17,0.2745,0.7281,2.0378,0.3854,0.6110,0.3854,0.4334,0.2265,0.5000,0.6946,0.2988,0.4086
18,0.2446,0.7453,1.9895,0.4058,0.6103,0.4058,0.4499,0.2356,0.4510,0.7126,0.3115,0.4481
19,0.2363,0.7496,2.1470,0.3965,0.6187,0.3965,0.4440,0.2355,0.4545,0.7306,0.3111,0.4236
20,0.2291,0.7533,2.0538,0.4107,0.6169,0.4107,0.4531,0.2398,0.4492,0.7108,0.3055,0.4663
21,0.2199,0.7588,1.9714,0.4235,0.6079,0.4235,0.4683,0.2447,0.4203,0.6910,0.3490,0.4592
22,0.2151,0.7611,2.1072,0.4116,0.6131,0.4116,0.4539,0.2372,0.4256,0.7018,0.3082,0.4705
23,0.2110,0.7645,2.1022,0.4135,0.6074,0.4135,0.4551,0.2364,0.4343,0.7027,0.3154,0.4663
24,0.2044,0.7681,2.1196,0.4245,0.6135,0.4245,0.4679,0.2452,0.4527,0.6523,0.3313,0.4805
25,0.1983,0.7705,2.1794,0.4208,0.6073,0.4208,0.4644,0.2414,0.4413,0.6739,0.3366,0.4650
26,0.1919,0.7746,2.0315,0.4396,0.6056,0.4396,0.4776,0.2483,0.3643,0.7081,0.3528,0.4992
27,0.1883,0.7772,2.0120,0.4499,0.6021,0.4499,0.4894,0.2568,0.3608,0.7144,0.3935,0.4812
28,0.1830,0.7792,2.0759,0.4463,0.6046,0.4463,0.4866,0.2547,0.3844,0.6892,0.3770,0.4897
29,0.1802,0.7817,2.0995,0.4388,0.6050,0.4388,0.4792,0.2501,0.4037,0.6874,0.3615,0.4853
30,0.1769,0.7842,2.0153,0.4517,0.6075,0.4517,0.4904,0.2560,0.3713,0.6595,0.3742,0.5118
31,0.1693,0.7889,2.0643,0.4482,0.6027,0.4482,0.4842,0.2510,0.3354,0.7027,0.3627,0.5144
32,0.1584,0.7962,2.1031,0.4604,0.6030,0.4604,0.4963,0.2594,0.3564,0.6685,0.3863,0.5206
33,0.1566,0.7983,2.1175,0.4632,0.5958,0.4632,0.4983,0.2578,0.3494,0.6649,0.4017,0.5130
34,0.1549,0.7994,2.1305,0.4568,0.6021,0.4568,0.4913,0.2537,0.3179,0.6730,0.3689,0.5355
35,0.1533,0.8014,2.1357,0.4646,0.5980,0.4646,0.4985,0.2570,0.3214,0.6568,0.3877,0.5363
36,0.1507,0.8032,2.1307,0.4706,0.5949,0.4706,0.5024,0.2586,0.3187,0.6486,0.3948,0.5446
37,0.1447,0.8069,2.1229,0.4801,0.5991,0.4801,0.5098,0.2661,0.2933,0.6495,0.4039,0.5615
38,0.1429,0.8089,2.1755,0.4769,0.6007,0.4769,0.5065,0.2646,0.3004,0.6568,0.3921,0.5639
39,0.1423,0.8100,2.1439,0.4798,0.5960,0.4798,0.5095,0.2652,0.3091,0.6514,0.4071,0.5548
40,0.1421,0.8095,2.1510,0.4813,0.5956,0.4813,0.5100,0.2647,0.3082,0.6387,0.4050,0.5624
41,0.1395,0.8114,2.1644,0.4811,0.5941,0.4811,0.5112,0.2646,0.3091,0.6288,0.4163,0.5518
42,0.1375,0.8130,2.1581,0.4854,0.5905,0.4854,0.5126,0.2644,0.2758,0.6468,0.4186,0.5620
43,0.1370,0.8137,2.1869,0.4821,0.5932,0.4821,0.5106,0.2632,0.2916,0.6351,0.4108,0.5617
44,0.1361,0.8141,2.1771,0.4847,0.5903,0.4847,0.5107,0.2629,0.2820,0.6432,0.4093,0.5696
45,0.1351,0.8158,2.1821,0.4843,0.5914,0.4843,0.5125,0.2638,0.2793,0.6396,0.4193,0.5594
46,0.1343,0.8149,2.1930,0.4857,0.5945,0.4857,0.5119,0.2654,0.2837,0.6405,0.4058,0.5755
47,0.1340,0.8154,2.2002,0.4852,0.5925,0.4852,0.5118,0.2645,0.2715,0.6459,0.4104,0.5708
48,0.1334,0.8159,2.1894,0.4875,0.5890,0.4875,0.5137,0.2639,0.2653,0.6378,0.4209,0.5677
49,0.1325,0.8177,2.1979,0.4882,0.5915,0.4882,0.5143,0.2654,0.2776,0.6306,0.4163,0.5730
50,0.1338,0.8165,2.1985,0.4876,0.5902,0.4876,0.5139,0.2643,0.2706,0.6315,0.4193,0.5696
51,0.1327,0.8166,2.1871,0.4900,0.5906,0.4900,0.5160,0.2665,0.2741,0.6306,0.4229,0.5711
52,0.1318,0.8176,2.1955,0.4899,0.5907,0.4899,0.5162,0.2668,0.2732,0.6315,0.4241,0.5697
