Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,1.0352,0.4611,1.1517,0.4657,0.6251,0.4657,0.4845,0.5948,0.7116,0.3061,0.5602
2,0.8637,0.5596,1.1166,0.5092,0.5876,0.5092,0.5235,0.5306,0.6892,0.4168,0.5691
3,0.8152,0.5836,1.0245,0.5333,0.5929,0.5333,0.5404,0.4758,0.6909,0.4267,0.6372
4,0.7860,0.5982,1.0825,0.5452,0.5926,0.5452,0.5570,0.5346,0.6781,0.5411,0.5197
5,0.7765,0.6031,1.0205,0.5422,0.5969,0.5422,0.5513,0.7282,0.5992,0.4724,0.5610
6,0.7620,0.6107,1.1262,0.5577,0.6099,0.5577,0.5703,0.6027,0.6195,0.5192,0.5762
7,0.7590,0.6118,1.2592,0.5523,0.6071,0.5523,0.5635,0.6685,0.6101,0.4974,0.5719
8,0.7542,0.6151,1.3357,0.5524,0.6097,0.5524,0.5605,0.6479,0.6517,0.4610,0.6110
9,0.7496,0.6173,1.2552,0.5438,0.6154,0.5438,0.5593,0.5810,0.6702,0.4827,0.5751
10,0.7419,0.6225,1.3446,0.5492,0.6103,0.5492,0.5555,0.6202,0.6511,0.4390,0.6364
11,0.7214,0.6317,1.4396,0.5746,0.6143,0.5746,0.5848,0.5837,0.6231,0.5553,0.5831
12,0.7143,0.6355,1.4545,0.5594,0.6153,0.5594,0.5642,0.5535,0.6953,0.4522,0.6554
13,0.7137,0.6359,1.6529,0.5660,0.6120,0.5660,0.5779,0.5575,0.6402,0.5437,0.5764
14,0.7107,0.6371,1.5075,0.5659,0.6081,0.5659,0.5743,0.5879,0.6563,0.5151,0.5982
15,0.7084,0.6384,1.8178,0.5614,0.6063,0.5614,0.5704,0.5585,0.6660,0.5131,0.5937
16,0.6959,0.6437,1.7504,0.5707,0.6112,0.5707,0.5801,0.5548,0.6444,0.5376,0.5962
17,0.6940,0.6450,1.9756,0.5673,0.6167,0.5673,0.5788,0.6045,0.6256,0.5287,0.5888
18,0.6918,0.6461,1.9201,0.5739,0.6163,0.5739,0.5852,0.5935,0.6237,0.5718,0.5584
19,0.6909,0.6468,1.8419,0.5683,0.6164,0.5683,0.5780,0.5983,0.6520,0.5146,0.6035
20,0.6894,0.6472,1.9976,0.5723,0.6179,0.5723,0.5822,0.5650,0.6582,0.5266,0.6076
21,0.6880,0.6479,2.0685,0.5719,0.6142,0.5719,0.5830,0.5646,0.6476,0.5652,0.5628
22,0.6875,0.6482,2.1320,0.5755,0.6142,0.5755,0.5855,0.5492,0.6559,0.5647,0.5755
23,0.6861,0.6490,2.2903,0.5763,0.6147,0.5763,0.5861,0.5870,0.6302,0.5591,0.5805
24,0.6859,0.6493,2.2390,0.5716,0.6166,0.5716,0.5825,0.5589,0.6428,0.5383,0.5973
25,0.6839,0.6499,2.3736,0.5765,0.6146,0.5765,0.5861,0.4992,0.6867,0.5643,0.5845
26,0.6840,0.6499,2.3656,0.5763,0.6146,0.5763,0.5867,0.5616,0.6409,0.5766,0.5639
27,0.6832,0.6506,2.3118,0.5820,0.6221,0.5820,0.5921,0.5177,0.6825,0.5652,0.5944
28,0.6824,0.6510,2.4315,0.5757,0.6184,0.5757,0.5862,0.5442,0.6630,0.5499,0.5932
29,0.6819,0.6510,2.2874,0.5727,0.6144,0.5727,0.5838,0.5616,0.6317,0.5615,0.5743
30,0.6806,0.6516,2.4011,0.5700,0.6173,0.5700,0.5797,0.5979,0.6580,0.5193,0.6010
31,0.6796,0.6521,2.3066,0.5748,0.6175,0.5748,0.5857,0.5491,0.6497,0.5550,0.5867
32,0.6733,0.6545,2.5732,0.5757,0.6154,0.5757,0.5856,0.5410,0.6451,0.5519,0.5962
33,0.6725,0.6550,2.5721,0.5808,0.6180,0.5808,0.5913,0.5519,0.6223,0.5785,0.5811
34,0.6720,0.6554,2.7657,0.5784,0.6188,0.5784,0.5891,0.5492,0.6559,0.5708,0.5759
35,0.6715,0.6556,2.8327,0.5762,0.6166,0.5762,0.5867,0.5435,0.6609,0.5637,0.5790
