Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9309,0.3894,2.3657,0.1853,0.5618,0.1853,0.1796,0.0806,0.6585,0.4360,0.0074,0.2542
2,0.5854,0.5170,2.2001,0.2276,0.5624,0.2276,0.2354,0.1131,0.6699,0.4748,0.0441,0.3076
3,0.5247,0.5571,2.0881,0.2556,0.5292,0.2556,0.2782,0.1291,0.6576,0.5243,0.0963,0.3140
4,0.4815,0.5823,2.0144,0.2650,0.5358,0.2650,0.2800,0.1360,0.6156,0.6162,0.0846,0.3406
5,0.4492,0.5960,1.9323,0.3012,0.5296,0.3012,0.3180,0.1588,0.6751,0.5703,0.1031,0.4036
6,0.4141,0.6176,1.8570,0.3133,0.5327,0.3133,0.3468,0.1621,0.6576,0.6063,0.1918,0.3384
7,0.3754,0.6465,1.8036,0.3439,0.5685,0.3439,0.3565,0.1928,0.6751,0.6171,0.1272,0.4715
8,0.3498,0.6615,1.7262,0.3729,0.5805,0.3729,0.3859,0.2083,0.6349,0.6216,0.1555,0.5158
9,0.3245,0.6786,1.7235,0.3854,0.5931,0.3854,0.3891,0.2115,0.5867,0.6360,0.1480,0.5580
10,0.3037,0.6919,1.7395,0.4128,0.5774,0.4128,0.4367,0.2290,0.5928,0.6036,0.2401,0.5318
11,0.2872,0.7027,1.8118,0.4142,0.5807,0.4142,0.4256,0.2254,0.5657,0.6144,0.2028,0.5759
12,0.2674,0.7141,1.8380,0.4160,0.5941,0.4160,0.4209,0.2286,0.5219,0.6667,0.1899,0.5922
13,0.2595,0.7185,1.8085,0.4334,0.5829,0.4334,0.4453,0.2366,0.5228,0.6360,0.2349,0.5913
14,0.2461,0.7262,1.9211,0.4399,0.5653,0.4399,0.4504,0.2324,0.5420,0.5982,0.2517,0.5919
15,0.2405,0.7302,1.8329,0.4489,0.5782,0.4489,0.4460,0.2362,0.4335,0.6550,0.2245,0.6492
16,0.2334,0.7355,1.9969,0.4375,0.5921,0.4375,0.4468,0.2438,0.5193,0.6495,0.2312,0.6031
17,0.2221,0.7400,1.9398,0.4552,0.5763,0.4552,0.4601,0.2437,0.4676,0.6441,0.2566,0.6275
18,0.2141,0.7455,2.0544,0.4508,0.5629,0.4508,0.4658,0.2357,0.4457,0.6532,0.2958,0.5791
19,0.2038,0.7513,2.1775,0.4468,0.5742,0.4468,0.4527,0.2356,0.4264,0.6694,0.2469,0.6205
20,0.2051,0.7520,2.1790,0.4549,0.5863,0.4549,0.4564,0.2430,0.4571,0.6117,0.2372,0.6532
21,0.1835,0.7634,2.3104,0.4555,0.5760,0.4555,0.4586,0.2403,0.4098,0.6685,0.2558,0.6344
22,0.1755,0.7690,2.2336,0.4627,0.5604,0.4627,0.4648,0.2336,0.4054,0.6234,0.2767,0.6373
23,0.1704,0.7736,2.3936,0.4670,0.5673,0.4670,0.4619,0.2376,0.3511,0.6631,0.2581,0.6688
24,0.1710,0.7738,2.3709,0.4669,0.5719,0.4669,0.4785,0.2469,0.4264,0.6225,0.3038,0.6162
25,0.1674,0.7759,2.4544,0.4733,0.5595,0.4733,0.4736,0.2398,0.3844,0.6279,0.2891,0.6521
26,0.1668,0.7776,2.4885,0.4788,0.5623,0.4788,0.4806,0.2449,0.3660,0.6297,0.3045,0.6518
27,0.1605,0.7808,2.5446,0.4751,0.5785,0.4751,0.4698,0.2472,0.3809,0.6108,0.2618,0.6873
28,0.1580,0.7844,2.6685,0.4795,0.5746,0.4795,0.4756,0.2487,0.3774,0.6216,0.2772,0.6806
29,0.1604,0.7828,2.6291,0.4842,0.5750,0.4842,0.4791,0.2523,0.3765,0.6162,0.2803,0.6895
30,0.1507,0.7889,2.7153,0.4888,0.5723,0.4888,0.4912,0.2579,0.3765,0.6288,0.3171,0.6606
31,0.1480,0.7914,2.8981,0.4775,0.5735,0.4775,0.4730,0.2455,0.3529,0.6243,0.2724,0.6844
32,0.1524,0.7898,2.7159,0.4878,0.5748,0.4878,0.4862,0.2567,0.3809,0.6117,0.2962,0.6815
33,0.1480,0.7927,2.6166,0.4797,0.5745,0.4797,0.4749,0.2481,0.3511,0.6243,0.2755,0.6866
34,0.1450,0.7957,2.9879,0.4918,0.5750,0.4918,0.4921,0.2583,0.3546,0.6126,0.3134,0.6773
35,0.1424,0.7965,2.9803,0.4902,0.5625,0.4902,0.4925,0.2493,0.3214,0.6090,0.3328,0.6597
36,0.1485,0.7948,2.9827,0.4836,0.5846,0.4836,0.4736,0.2527,0.3809,0.5784,0.2579,0.7160
37,0.1419,0.7986,2.9867,0.4847,0.5702,0.4847,0.4965,0.2553,0.4081,0.5865,0.3447,0.6244
38,0.1530,0.7922,2.8720,0.5033,0.5679,0.5033,0.5164,0.2664,0.3538,0.5919,0.4085,0.6102
39,0.1361,0.8019,3.1453,0.4949,0.5721,0.4949,0.4961,0.2579,0.3327,0.5955,0.3270,0.6766
40,0.1325,0.8057,3.1987,0.4975,0.5742,0.4975,0.4978,0.2615,0.3354,0.6090,0.3265,0.6809
41,0.1346,0.8047,3.1469,0.4997,0.5704,0.4997,0.4990,0.2582,0.3389,0.5649,0.3309,0.6877
42,0.1315,0.8081,3.3183,0.4890,0.5794,0.4890,0.4888,0.2578,0.3450,0.6000,0.3027,0.6852
43,0.1234,0.8140,3.3074,0.5047,0.5734,0.5047,0.5054,0.2645,0.3301,0.5865,0.3459,0.6822
44,0.1199,0.8180,3.2926,0.5072,0.5759,0.5072,0.5067,0.2670,0.3222,0.5757,0.3430,0.6936
45,0.1190,0.8194,3.4412,0.5045,0.5797,0.5045,0.5012,0.2664,0.3056,0.5991,0.3251,0.7048
46,0.1174,0.8207,3.3592,0.5098,0.5810,0.5098,0.5053,0.2694,0.3109,0.5766,0.3304,0.7144
47,0.1152,0.8228,3.4163,0.5059,0.5854,0.5059,0.5045,0.2708,0.3398,0.5802,0.3285,0.7020
48,0.1147,0.8247,3.5337,0.5015,0.5825,0.5015,0.4990,0.2651,0.3292,0.5730,0.3182,0.7051
49,0.1149,0.8257,3.6574,0.5137,0.5752,0.5137,0.5109,0.2679,0.2872,0.5586,0.3524,0.7075
50,0.1162,0.8246,3.5504,0.5100,0.5781,0.5100,0.5134,0.2729,0.3301,0.5811,0.3613,0.6795
51,0.1125,0.8277,3.6559,0.5131,0.5814,0.5131,0.5104,0.2726,0.2968,0.5703,0.3433,0.7120
52,0.1119,0.8284,3.7317,0.5176,0.5836,0.5176,0.5143,0.2762,0.2942,0.5595,0.3493,0.7184
53,0.1132,0.8284,3.7583,0.5214,0.5740,0.5214,0.5214,0.2742,0.2706,0.5721,0.3849,0.6928
54,0.1087,0.8309,3.8637,0.5200,0.5827,0.5200,0.5153,0.2762,0.2951,0.5468,0.3497,0.7256
55,0.1111,0.8304,3.9647,0.5174,0.5807,0.5174,0.5153,0.2744,0.2863,0.5550,0.3571,0.7121
56,0.1059,0.8342,3.8960,0.5145,0.5809,0.5145,0.5133,0.2734,0.3030,0.5604,0.3524,0.7066
57,0.1030,0.8365,3.7700,0.5206,0.5791,0.5206,0.5168,0.2742,0.2846,0.5468,0.3598,0.7183
58,0.1018,0.8376,4.0384,0.5195,0.5862,0.5195,0.5181,0.2802,0.3030,0.5586,0.3572,0.7135
59,0.1027,0.8370,4.0661,0.5219,0.5818,0.5219,0.5179,0.2769,0.2793,0.5450,0.3590,0.7231
60,0.1005,0.8395,4.1322,0.5214,0.5787,0.5214,0.5208,0.2764,0.2767,0.5505,0.3749,0.7053
61,0.0998,0.8397,4.2271,0.5235,0.5770,0.5235,0.5210,0.2755,0.2732,0.5405,0.3742,0.7131
62,0.1003,0.8398,4.1903,0.5215,0.5828,0.5215,0.5182,0.2779,0.2855,0.5523,0.3598,0.7193
63,0.0984,0.8408,4.1772,0.5214,0.5836,0.5214,0.5197,0.2798,0.2881,0.5568,0.3636,0.7142
64,0.0975,0.8420,4.2303,0.5209,0.5822,0.5209,0.5182,0.2774,0.2828,0.5495,0.3606,0.7180
65,0.0968,0.8431,4.2375,0.5251,0.5824,0.5251,0.5212,0.2792,0.2793,0.5297,0.3657,0.7260
66,0.0984,0.8413,4.2266,0.5242,0.5777,0.5242,0.5234,0.2777,0.2802,0.5477,0.3820,0.7045
67,0.0971,0.8429,4.2621,0.5246,0.5786,0.5246,0.5227,0.2781,0.2811,0.5405,0.3766,0.7118
68,0.0962,0.8439,4.2903,0.5232,0.5808,0.5232,0.5206,0.2785,0.2828,0.5486,0.3679,0.7160
69,0.0959,0.8438,4.2821,0.5226,0.5843,0.5226,0.5187,0.2796,0.2820,0.5495,0.3579,0.7249
70,0.0964,0.8433,4.3275,0.5244,0.5789,0.5244,0.5219,0.2781,0.2793,0.5441,0.3734,0.7144
71,0.0955,0.8438,4.3359,0.5259,0.5806,0.5259,0.5232,0.2803,0.2793,0.5459,0.3737,0.7173
72,0.0952,0.8450,4.3459,0.5248,0.5811,0.5248,0.5218,0.2794,0.2793,0.5477,0.3700,0.7183
73,0.0948,0.8447,4.3547,0.5261,0.5793,0.5261,0.5235,0.2795,0.2793,0.5396,0.3764,0.7160
74,0.0949,0.8451,4.3559,0.5258,0.5796,0.5258,0.5233,0.2798,0.2811,0.5459,0.3752,0.7153
75,0.0947,0.8447,4.3274,0.5257,0.5797,0.5257,0.5232,0.2796,0.2785,0.5477,0.3757,0.7146
76,0.0947,0.8451,4.3648,0.5247,0.5787,0.5247,0.5222,0.2783,0.2785,0.5468,0.3743,0.7138
77,0.0952,0.8449,4.3867,0.5265,0.5807,0.5265,0.5233,0.2808,0.2750,0.5505,0.3734,0.7191
78,0.0951,0.8446,4.3752,0.5254,0.5825,0.5254,0.5215,0.2805,0.2785,0.5450,0.3658,0.7244
