Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,1.0845,0.4087,1.3447,0.3354,0.5220,0.3354,0.3394,0.7072,0.4892,0.1318,0.4396
2,1.0002,0.4607,1.5294,0.3172,0.5266,0.3172,0.3071,0.2359,0.7936,0.0899,0.4925
3,0.9735,0.4772,1.2612,0.3831,0.5310,0.3831,0.4060,0.6460,0.4876,0.2569,0.4366
4,0.9489,0.4895,1.2771,0.3681,0.5126,0.3681,0.3787,0.5056,0.6810,0.2159,0.4346
5,0.9149,0.5028,1.3067,0.3714,0.4969,0.3714,0.3899,0.5568,0.5313,0.3936,0.2540
6,0.8698,0.5204,1.2819,0.3841,0.5003,0.3841,0.4067,0.5044,0.5470,0.3047,0.4056
7,0.8227,0.5372,1.3161,0.3799,0.4756,0.3799,0.3973,0.5075,0.5273,0.4093,0.2730
8,0.7804,0.5537,1.3825,0.3848,0.4960,0.3848,0.3973,0.3219,0.6365,0.2607,0.4877
9,0.7421,0.5681,1.4144,0.3962,0.4888,0.3962,0.4159,0.3942,0.5792,0.3366,0.4224
10,0.7135,0.5786,1.4641,0.4172,0.4914,0.4172,0.4356,0.3867,0.4752,0.3610,0.4784
11,0.6851,0.5891,1.3966,0.4231,0.4813,0.4231,0.4369,0.3134,0.4888,0.3706,0.4995
12,0.6630,0.5977,1.4575,0.4003,0.4861,0.4003,0.4046,0.2243,0.5838,0.2697,0.5590
13,0.6422,0.6062,1.5998,0.4280,0.4862,0.4280,0.4469,0.3784,0.4139,0.4160,0.4595
14,0.6243,0.6140,1.4761,0.4221,0.4767,0.4221,0.4298,0.2393,0.5386,0.3488,0.5306
15,0.6077,0.6208,1.5370,0.4311,0.4639,0.4311,0.4380,0.1608,0.4970,0.4082,0.5158
16,0.5957,0.6266,1.5688,0.4174,0.4694,0.4174,0.4294,0.2386,0.5557,0.3825,0.4732
17,0.5814,0.6336,1.6769,0.4230,0.4848,0.4230,0.4281,0.1955,0.5419,0.3312,0.5653
18,0.5300,0.6536,1.6993,0.4465,0.4755,0.4465,0.4510,0.1949,0.4484,0.4072,0.5618
19,0.5170,0.6601,1.7488,0.4363,0.4731,0.4363,0.4415,0.2174,0.4434,0.3786,0.5633
20,0.5083,0.6646,1.7501,0.4412,0.4712,0.4412,0.4449,0.1766,0.4794,0.3980,0.5556
21,0.4984,0.6696,1.7982,0.4342,0.4699,0.4342,0.4314,0.1678,0.4399,0.3425,0.6153
22,0.4925,0.6728,1.7561,0.4351,0.4741,0.4351,0.4400,0.2212,0.4261,0.3684,0.5757
23,0.4693,0.6827,1.8735,0.4526,0.4714,0.4526,0.4550,0.1743,0.4225,0.4317,0.5612
24,0.4617,0.6867,1.8909,0.4450,0.4669,0.4450,0.4457,0.1597,0.4417,0.4052,0.5714
25,0.4564,0.6904,1.9533,0.4491,0.4731,0.4491,0.4513,0.1770,0.4179,0.4088,0.5796
26,0.4536,0.6922,1.9160,0.4468,0.4705,0.4468,0.4513,0.1880,0.4325,0.4250,0.5471
27,0.4507,0.6934,1.9701,0.4503,0.4739,0.4503,0.4527,0.1708,0.4401,0.4157,0.5705
28,0.4376,0.6997,1.9780,0.4499,0.4704,0.4499,0.4527,0.1778,0.4344,0.4252,0.5576
29,0.4335,0.7018,2.0439,0.4591,0.4672,0.4591,0.4603,0.1537,0.4035,0.4760,0.5362
30,0.4307,0.7032,2.1133,0.4464,0.4665,0.4464,0.4459,0.1541,0.4236,0.4029,0.5840
31,0.4292,0.7046,2.0950,0.4578,0.4684,0.4578,0.4568,0.1341,0.4271,0.4475,0.5662
32,0.4271,0.7055,2.0959,0.4520,0.4687,0.4520,0.4522,0.1566,0.4259,0.4250,0.5715
33,0.4246,0.7072,2.0948,0.4513,0.4703,0.4513,0.4504,0.1520,0.4141,0.4091,0.5929
34,0.4191,0.7098,2.0964,0.4520,0.4691,0.4520,0.4537,0.1656,0.4148,0.4320,0.5633
35,0.4176,0.7112,2.1237,0.4536,0.4666,0.4536,0.4526,0.1372,0.4227,0.4333,0.5719
36,0.4167,0.7119,2.1073,0.4443,0.4653,0.4443,0.4458,0.1628,0.4221,0.4091,0.5688
37,0.4155,0.7122,2.1554,0.4506,0.4646,0.4506,0.4515,0.1458,0.4202,0.4397,0.5544
