Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8663,0.4231,2.0629,0.2281,0.4480,0.2281,0.2204,0.1120,0.9387,0.3794,0.1309,0.1127
2,0.7618,0.4921,2.0448,0.2374,0.4430,0.2374,0.2282,0.1346,0.8635,0.4242,0.0627,0.2293
3,0.6922,0.5237,2.5174,0.1969,0.5481,0.1969,0.1713,0.0961,0.5740,0.5431,0.0083,0.2332
4,0.6225,0.5524,1.7099,0.2756,0.3992,0.2756,0.2697,0.1109,0.5883,0.5980,0.1165,0.3002
5,0.5638,0.5746,1.7268,0.2895,0.4283,0.2895,0.2903,0.1279,0.5802,0.6520,0.1572,0.2777
6,0.5176,0.5909,2.1607,0.2617,0.4412,0.2617,0.2327,0.1408,0.5328,0.7198,0.0301,0.3505
7,0.4840,0.6053,2.3863,0.2815,0.4290,0.2815,0.2848,0.1243,0.8177,0.3555,0.1262,0.3030
8,0.4521,0.6179,1.8970,0.3095,0.4243,0.3095,0.2789,0.1419,0.5883,0.5440,0.0616,0.4718
9,0.4196,0.6307,1.8630,0.2707,0.4212,0.2707,0.2745,0.0980,0.2548,0.8576,0.2445,0.1592
10,0.3933,0.6414,1.9892,0.3242,0.4157,0.3242,0.2756,0.1238,0.3886,0.5113,0.0472,0.5917
11,0.3754,0.6501,1.8907,0.3056,0.4028,0.3056,0.3163,0.0985,0.4121,0.6147,0.2427,0.2744
12,0.3541,0.6592,2.1082,0.3423,0.4662,0.3423,0.3001,0.1437,0.5605,0.3807,0.0649,0.6056
13,0.3386,0.6675,1.9401,0.3159,0.4102,0.3159,0.3007,0.1192,0.6149,0.3936,0.1060,0.4665
14,0.3238,0.6747,1.9236,0.3296,0.4063,0.3296,0.2891,0.1223,0.3346,0.5687,0.0716,0.5775
15,0.3120,0.6825,2.2680,0.2977,0.4108,0.2977,0.2723,0.1232,0.4348,0.6143,0.0668,0.4577
16,0.2939,0.6904,3.5005,0.2819,0.4448,0.2819,0.2504,0.1402,0.7783,0.2986,0.0246,0.4506
17,0.2533,0.7132,1.9742,0.3584,0.4059,0.3584,0.3104,0.1067,0.2201,0.4812,0.1010,0.6740
18,0.2434,0.7205,2.2398,0.3424,0.4057,0.3424,0.3087,0.1074,0.2911,0.4795,0.1063,0.6051
19,0.2365,0.7249,2.3604,0.3282,0.4044,0.3282,0.3379,0.0996,0.4056,0.4987,0.2390,0.3714
20,0.2386,0.7243,2.5428,0.3415,0.4262,0.3415,0.3019,0.1280,0.4927,0.3974,0.0759,0.6046
21,0.2133,0.7378,2.3507,0.3682,0.4082,0.3682,0.3590,0.1005,0.2024,0.4874,0.2309,0.5482
22,0.2093,0.7400,2.6565,0.3290,0.4049,0.3290,0.2876,0.1029,0.1079,0.6147,0.0889,0.6054
23,0.2061,0.7423,2.4563,0.3584,0.4239,0.3584,0.3099,0.1166,0.3631,0.3681,0.0861,0.6811
24,0.2026,0.7449,2.6516,0.3398,0.4046,0.3398,0.3083,0.1021,0.1018,0.6260,0.1292,0.5854
25,0.1915,0.7523,2.5701,0.3496,0.4134,0.3496,0.3245,0.1097,0.1816,0.5632,0.1453,0.5866
26,0.1910,0.7528,2.7045,0.3645,0.4080,0.3645,0.3575,0.0989,0.0941,0.5678,0.2601,0.5124
27,0.1879,0.7548,2.6891,0.3487,0.4090,0.3487,0.3036,0.1041,0.1025,0.5842,0.1094,0.6436
