Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8802,0.4659,1.3724,0.4063,0.6682,0.4063,0.4388,0.6324,0.3294,0.2429,0.5598
2,0.7889,0.5438,1.4229,0.4204,0.6548,0.4204,0.4633,0.6445,0.3637,0.2947,0.5242
3,0.7635,0.5609,1.4139,0.4430,0.6717,0.4430,0.4769,0.5566,0.3514,0.2910,0.6173
4,0.7459,0.5728,1.3985,0.4432,0.6416,0.4432,0.4796,0.5431,0.3188,0.3262,0.5874
5,0.7305,0.5828,1.5005,0.4395,0.6652,0.4395,0.4708,0.5964,0.3662,0.2788,0.6079
6,0.7172,0.5889,1.4931,0.4574,0.6478,0.4574,0.4895,0.5673,0.3635,0.3207,0.6148
7,0.7067,0.5959,1.5371,0.4436,0.6472,0.4436,0.4829,0.6125,0.3635,0.3218,0.5636
8,0.6956,0.6009,1.5539,0.4627,0.6481,0.4627,0.4811,0.5094,0.3892,0.2914,0.6739
9,0.6882,0.6048,1.5514,0.4594,0.6450,0.4594,0.4867,0.5396,0.3660,0.3109,0.6391
10,0.6823,0.6074,1.6583,0.4630,0.6496,0.4630,0.4879,0.5400,0.3568,0.3068,0.6560
11,0.6418,0.6265,1.9227,0.4680,0.6402,0.4680,0.4910,0.4933,0.3506,0.3208,0.6671
12,0.6270,0.6321,2.0149,0.4677,0.6306,0.4677,0.4904,0.4713,0.3612,0.3246,0.6651
13,0.6191,0.6356,2.0720,0.4629,0.6483,0.4629,0.4840,0.5175,0.3782,0.2967,0.6685
14,0.6146,0.6381,2.2312,0.4672,0.6509,0.4672,0.4823,0.4792,0.3681,0.2925,0.6982
15,0.6083,0.6403,2.2672,0.4737,0.6230,0.4737,0.4892,0.4375,0.3623,0.3224,0.6929
16,0.5824,0.6509,2.5467,0.4772,0.6158,0.4772,0.4898,0.4052,0.3784,0.3251,0.7042
17,0.5736,0.6538,2.6938,0.4770,0.6280,0.4770,0.4924,0.4344,0.3895,0.3206,0.6981
18,0.5707,0.6554,2.7868,0.4840,0.6200,0.4840,0.4954,0.3950,0.3817,0.3322,0.7159
19,0.5675,0.6569,2.8299,0.4761,0.6218,0.4761,0.4908,0.4284,0.3855,0.3227,0.6956
20,0.5643,0.6576,2.9712,0.4794,0.6250,0.4794,0.4878,0.4046,0.3915,0.3088,0.7266
21,0.5607,0.6590,3.2649,0.4845,0.6095,0.4845,0.5002,0.3946,0.3828,0.3519,0.6936
22,0.5584,0.6597,3.1184,0.4811,0.6137,0.4811,0.4946,0.4057,0.3821,0.3351,0.7017
23,0.5562,0.6611,3.2324,0.4788,0.6142,0.4788,0.4894,0.3880,0.3800,0.3229,0.7151
24,0.5530,0.6617,3.3322,0.4783,0.6134,0.4783,0.4962,0.4086,0.3989,0.3400,0.6831
25,0.5508,0.6625,3.5379,0.4817,0.6127,0.4817,0.4899,0.3786,0.3932,0.3225,0.7229
26,0.5362,0.6684,3.6056,0.4828,0.6152,0.4828,0.4936,0.3876,0.3840,0.3308,0.7159
27,0.5324,0.6696,3.9634,0.4897,0.6077,0.4897,0.4971,0.3484,0.3949,0.3413,0.7299
28,0.5304,0.6704,3.9345,0.4881,0.6129,0.4881,0.4988,0.3721,0.3857,0.3418,0.7209
29,0.5288,0.6711,3.9160,0.4882,0.6079,0.4882,0.5007,0.3569,0.3773,0.3553,0.7111
30,0.5281,0.6715,4.0942,0.4846,0.6141,0.4846,0.4915,0.3676,0.3876,0.3250,0.7322
31,0.5258,0.6720,4.2509,0.4876,0.6064,0.4876,0.4967,0.3657,0.3907,0.3407,0.7213
32,0.5257,0.6725,4.0607,0.4870,0.6187,0.4870,0.4955,0.3757,0.3834,0.3305,0.7311
33,0.5226,0.6735,4.1542,0.4862,0.6133,0.4862,0.4964,0.3667,0.3882,0.3389,0.7201
34,0.5170,0.6757,4.3218,0.4856,0.6136,0.4856,0.4954,0.3757,0.3920,0.3344,0.7203
35,0.5146,0.6761,4.5215,0.4918,0.6069,0.4918,0.4999,0.3380,0.3886,0.3497,0.7301
36,0.5131,0.6769,4.5618,0.4894,0.6106,0.4894,0.4977,0.3596,0.3890,0.3410,0.7280
37,0.5122,0.6775,4.5166,0.4895,0.6081,0.4895,0.4970,0.3461,0.3794,0.3434,0.7315
