Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.6852,0.4589,2.0839,0.2565,0.5130,0.2565,0.2873,0.1208,0.6944,0.4613,0.1340,0.2816
2,0.4921,0.6007,2.2165,0.2840,0.5799,0.2840,0.3096,0.1546,0.6471,0.5730,0.1186,0.3518
3,0.4280,0.6398,2.0270,0.3291,0.5947,0.3291,0.3693,0.1873,0.6226,0.5964,0.1999,0.3740
4,0.3865,0.6586,2.2801,0.3297,0.6197,0.3297,0.3757,0.2013,0.6497,0.5847,0.2060,0.3667
5,0.3603,0.6712,2.1346,0.3409,0.6234,0.3409,0.3750,0.2029,0.5648,0.7099,0.1841,0.4094
6,0.3380,0.6830,2.0692,0.3695,0.6082,0.3695,0.4081,0.2144,0.4685,0.7721,0.2479,0.4165
7,0.3195,0.6905,2.0798,0.3680,0.6171,0.3680,0.4052,0.2161,0.4930,0.7514,0.2288,0.4319
8,0.3076,0.6973,2.0678,0.3757,0.5918,0.3757,0.4209,0.2156,0.5630,0.6649,0.3024,0.3769
9,0.2896,0.7048,2.2337,0.3722,0.6158,0.3722,0.4148,0.2222,0.5779,0.6586,0.2474,0.4235
10,0.2789,0.7111,2.1418,0.3857,0.5955,0.3857,0.4253,0.2199,0.4676,0.7486,0.2827,0.4225
11,0.2677,0.7153,2.3133,0.3723,0.6198,0.3723,0.4049,0.2173,0.4930,0.7477,0.2168,0.4548
12,0.2626,0.7175,2.3881,0.3830,0.6150,0.3830,0.4257,0.2273,0.5368,0.6838,0.2625,0.4359
13,0.2515,0.7244,2.4439,0.3896,0.6195,0.3896,0.4279,0.2303,0.4755,0.7477,0.2579,0.4558
14,0.2418,0.7296,2.4604,0.3920,0.6029,0.3920,0.4314,0.2267,0.4807,0.7396,0.2810,0.4383
15,0.2356,0.7322,2.5350,0.4008,0.6076,0.4008,0.4425,0.2342,0.4378,0.7577,0.3064,0.4369
16,0.2302,0.7365,2.4781,0.4019,0.6064,0.4019,0.4480,0.2354,0.5044,0.6829,0.3344,0.4118
