Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,1.3863,0.3704,1.3779,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
2,1.3862,0.4245,1.3771,0.4391,0.1928,0.4391,0.2679,0.0000,0.0000,1.0000,0.0000
3,1.3862,0.4319,1.3737,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
4,1.3862,0.4137,1.3801,0.4391,0.1928,0.4391,0.2679,0.0000,0.0000,1.0000,0.0000
5,1.3862,0.4149,1.3722,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
6,1.3862,0.4269,1.3713,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
7,1.3862,0.4466,1.3736,0.4391,0.1928,0.4391,0.2679,0.0000,0.0000,1.0000,0.0000
8,1.3862,0.4350,1.3727,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
9,1.3862,0.4449,1.3746,0.4391,0.1928,0.4391,0.2679,0.0000,0.0000,1.0000,0.0000
10,1.3862,0.4114,1.3752,0.4391,0.1928,0.4391,0.2679,0.0000,0.0000,1.0000,0.0000
