Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.8796,0.5120,65.3044,0.4288,0.4211,0.4288,0.2584,0.0000,0.0000,0.0013,0.9988
2,0.7472,0.5816,1005.6320,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
3,0.7051,0.6055,4542.6608,0.4265,0.3447,0.4265,0.2618,0.0000,0.0000,0.0071,0.9875
4,0.6769,0.6219,2009.4046,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
5,0.6572,0.6344,9652.3881,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
6,0.6423,0.6422,185.3655,0.4134,0.1823,0.4134,0.2528,0.0027,0.0000,0.0000,0.9638
7,0.6303,0.6500,5739.1272,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
8,0.6038,0.6633,4385.4073,0.4284,0.1837,0.4284,0.2572,0.0000,0.0000,0.0000,0.9993
9,0.5937,0.6669,209.2758,0.4391,0.4071,0.4391,0.2680,0.0000,0.0000,0.9999,0.0001
10,0.5870,0.6704,13236.2134,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
11,0.5809,0.6738,1805.5375,0.4285,0.2513,0.4285,0.2573,0.0000,0.0000,0.0001,0.9992
12,0.5750,0.6765,2949.8862,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
13,0.5715,0.6784,2414.4018,0.4288,0.5497,0.4288,0.2576,0.0000,0.0000,0.0003,0.9999
14,0.5550,0.6859,433.3929,0.4393,0.6216,0.4393,0.2686,0.0000,0.0000,1.0000,0.0007
15,0.5496,0.6878,108.0268,0.2009,0.5905,0.2009,0.1718,0.9663,0.0000,0.0005,0.3177
16,0.5453,0.6902,8409.3468,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
17,0.5430,0.6918,13441.6159,0.4287,0.1838,0.4287,0.2573,0.0000,0.0000,0.0000,1.0000
18,0.5389,0.6933,241.9608,0.0681,0.6578,0.0681,0.0112,1.0000,0.0000,0.0004,0.0029
19,0.5286,0.6972,1444.8183,0.4289,0.5058,0.4289,0.2580,0.0000,0.0000,0.0007,0.9997
20,0.5259,0.6988,1064.4992,0.4283,0.3483,0.4283,0.2582,0.0000,0.0000,0.0014,0.9976
21,0.5232,0.7002,61.5891,0.4291,0.5891,0.4291,0.2581,0.0000,0.0000,0.0008,0.9999
22,0.5206,0.7006,4092.2568,0.4282,0.3122,0.4282,0.2577,0.0000,0.0000,0.0008,0.9980
