Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9778,0.2506,2.5022,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
2,0.9716,0.2491,2.4219,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
3,0.9676,0.2514,2.4462,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
4,0.9724,0.2486,2.4363,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
5,0.9687,0.2507,2.4061,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
6,0.9697,0.2499,2.4336,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
7,0.9725,0.2484,2.4040,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
8,0.9711,0.2492,2.4512,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
9,0.9691,0.2504,2.4289,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
10,0.9694,0.2502,2.4531,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
11,0.9706,0.2494,2.4058,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
12,0.9674,0.2512,2.4103,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
13,0.9689,0.2504,2.4737,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
14,0.9691,0.2503,2.3978,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
15,0.9694,0.2500,2.4229,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
