Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,1.3784,0.2431,1.3643,0.1761,0.4147,0.1761,0.1997,0.3827,0.0000,0.0480,0.3021
2,1.3027,0.3383,1.2558,0.3466,0.5196,0.3466,0.2980,0.0142,0.4835,0.0763,0.6541
3,1.1831,0.4328,1.2738,0.3665,0.5697,0.3665,0.4137,0.6630,0.4050,0.3425,0.3390
4,1.1083,0.4477,1.2012,0.4351,0.5801,0.4351,0.4740,0.6035,0.4609,0.4835,0.3555
5,1.0575,0.4639,1.1575,0.4437,0.5714,0.4437,0.4760,0.6869,0.4470,0.4632,0.3854
6,1.0452,0.4680,1.1890,0.4478,0.5779,0.4478,0.4805,0.7078,0.4393,0.4621,0.3940
7,1.0259,0.4745,1.1804,0.4553,0.5724,0.4553,0.4861,0.6869,0.4718,0.4319,0.4408
8,1.0053,0.4833,1.2002,0.4338,0.5877,0.4338,0.4723,0.6204,0.5567,0.4325,0.3873
9,0.9871,0.4905,1.0456,0.4966,0.5731,0.4966,0.5178,0.6244,0.4826,0.5309,0.4438
10,0.9662,0.4978,1.1692,0.4431,0.5895,0.4431,0.4797,0.6089,0.5400,0.4473,0.3982
11,0.9466,0.5068,1.0909,0.4889,0.6142,0.4889,0.5044,0.6071,0.5341,0.6240,0.3252
12,0.9265,0.5155,1.0321,0.5112,0.5910,0.5112,0.5334,0.5357,0.5783,0.5467,0.4607
13,0.9043,0.5257,1.0509,0.5116,0.5941,0.5116,0.5330,0.6067,0.5255,0.5574,0.4478
14,0.8859,0.5333,1.0396,0.5161,0.6084,0.5161,0.5335,0.5920,0.5657,0.6137,0.3967
15,0.8667,0.5432,1.0016,0.5242,0.5850,0.5242,0.5421,0.5761,0.5305,0.5379,0.5012
16,0.8537,0.5501,0.9691,0.5302,0.5957,0.5302,0.5490,0.5455,0.5463,0.5708,0.4839
