Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9788,0.2508,2.3212,0.0720,0.7773,0.0720,0.0174,0.0323,1.0000,0.0000,0.0034,0.0069
2,0.9634,0.2596,2.5079,0.0802,0.5723,0.0802,0.0335,0.0386,0.9991,0.0000,0.0089,0.0206
3,0.9555,0.2652,2.4278,0.0902,0.5363,0.0902,0.0520,0.0460,0.9982,0.0000,0.0104,0.0426
4,0.9334,0.2738,2.4430,0.0964,0.6634,0.0964,0.0643,0.0526,0.9912,0.0270,0.0204,0.0439
5,0.8774,0.3175,2.4187,0.1177,0.7033,0.1177,0.0990,0.0715,0.9492,0.1477,0.0374,0.0641
6,0.8110,0.3757,2.1622,0.1386,0.7280,0.1386,0.1320,0.0877,0.9212,0.2144,0.0540,0.0902
7,0.7738,0.4026,1.9118,0.1607,0.6900,0.1607,0.1673,0.1047,0.9151,0.2207,0.0656,0.1299
8,0.7460,0.4234,2.1447,0.1619,0.7241,0.1619,0.1695,0.1091,0.8914,0.2694,0.0759,0.1185
9,0.7275,0.4332,2.2080,0.1575,0.7213,0.1575,0.1615,0.1039,0.8774,0.2919,0.0695,0.1135
10,0.7016,0.4482,1.9648,0.1760,0.7150,0.1760,0.1870,0.1174,0.8538,0.3613,0.0831,0.1359
11,0.6807,0.4600,1.8415,0.1885,0.7087,0.1885,0.2063,0.1249,0.8179,0.4072,0.1048,0.1415
12,0.6609,0.4726,2.0408,0.1825,0.7179,0.1825,0.1959,0.1207,0.8161,0.4180,0.0917,0.1395
13,0.6779,0.4639,2.1452,0.1602,0.7238,0.1602,0.1608,0.1075,0.8590,0.3802,0.0766,0.1019
14,0.6593,0.4705,2.0694,0.1714,0.7135,0.1714,0.1772,0.1132,0.8301,0.4171,0.0772,0.1264
15,0.6418,0.4855,1.8957,0.1920,0.6993,0.1920,0.2055,0.1259,0.8310,0.4297,0.0831,0.1664
16,0.6242,0.5064,1.8140,0.2238,0.7079,0.2238,0.2473,0.1522,0.8371,0.4351,0.0893,0.2323
17,0.6767,0.4779,1.9892,0.1601,0.7164,0.1601,0.1572,0.1056,0.8888,0.3622,0.0585,0.1182
18,0.6286,0.4961,1.6006,0.2856,0.6476,0.2856,0.2810,0.1528,0.8240,0.4541,0.0573,0.4083
19,0.6130,0.5338,1.8157,0.2565,0.6819,0.2565,0.2772,0.1628,0.8406,0.4324,0.0839,0.3141
20,0.5913,0.5538,1.7409,0.2630,0.6829,0.2630,0.2854,0.1677,0.8327,0.4450,0.0896,0.3228
21,0.5969,0.5505,1.6331,0.2858,0.6566,0.2858,0.3030,0.1689,0.8249,0.4396,0.0954,0.3721
22,0.5733,0.5663,1.4675,0.3273,0.6265,0.3273,0.3352,0.1796,0.8144,0.4514,0.1097,0.4541
23,0.5534,0.5766,1.3893,0.3370,0.6206,0.3370,0.3395,0.1809,0.7793,0.4793,0.1062,0.4816
24,0.5476,0.5807,1.4105,0.3426,0.6025,0.3426,0.3552,0.1872,0.8004,0.4703,0.1362,0.4619
25,0.7134,0.4615,1.7945,0.2308,0.6738,0.2308,0.2419,0.1403,0.8214,0.4135,0.0530,0.2915
26,0.5809,0.5476,1.5182,0.2973,0.6010,0.2973,0.3116,0.1626,0.8187,0.4306,0.1024,0.3941
27,0.5627,0.5654,1.4635,0.3166,0.6324,0.3166,0.3238,0.1745,0.7960,0.4586,0.0985,0.4424
28,0.5494,0.5754,1.4928,0.3165,0.6282,0.3165,0.3303,0.1788,0.7907,0.4667,0.1094,0.4307
29,0.5407,0.5832,1.5363,0.3059,0.6338,0.3059,0.3244,0.1769,0.7925,0.4703,0.1101,0.4043
30,0.5320,0.5872,1.4075,0.3499,0.6143,0.3499,0.3523,0.1907,0.7881,0.4703,0.1163,0.5014
31,0.5286,0.5912,1.3860,0.3518,0.6246,0.3518,0.3464,0.1894,0.7653,0.4973,0.1014,0.5205
32,0.5259,0.5932,1.4608,0.3256,0.6371,0.3256,0.3341,0.1830,0.7750,0.4865,0.1024,0.4585
33,0.5210,0.5957,1.3265,0.3814,0.6244,0.3814,0.3628,0.2047,0.7785,0.4865,0.1027,0.5878
34,0.5163,0.6001,1.2112,0.4264,0.6145,0.4264,0.3895,0.2274,0.6856,0.5441,0.1133,0.6877
35,0.5104,0.6059,1.3133,0.4043,0.6231,0.4043,0.3863,0.2234,0.7758,0.4910,0.1240,0.6191
36,0.5068,0.6080,1.4051,0.3641,0.6257,0.3641,0.3642,0.2027,0.7706,0.5009,0.1195,0.5292
37,0.5068,0.6113,1.3289,0.4210,0.6224,0.4210,0.3959,0.2360,0.7907,0.4757,0.1255,0.6565
38,0.5048,0.6119,1.2776,0.4329,0.6191,0.4329,0.4034,0.2420,0.7942,0.4766,0.1310,0.6780
39,0.4972,0.6184,1.2872,0.4301,0.6234,0.4301,0.3967,0.2382,0.7767,0.4856,0.1206,0.6834
40,0.4927,0.6229,1.2901,0.4372,0.6253,0.4372,0.4082,0.2469,0.7846,0.4838,0.1350,0.6842
41,0.4871,0.6269,1.2648,0.4523,0.6216,0.4523,0.4155,0.2559,0.8196,0.4495,0.1381,0.7161
42,0.4821,0.6333,1.2268,0.4619,0.6248,0.4619,0.4267,0.2638,0.7785,0.4946,0.1507,0.7252
43,0.4805,0.6343,1.2480,0.4502,0.6261,0.4502,0.4114,0.2516,0.7811,0.4928,0.1327,0.7161
44,0.4794,0.6361,1.1794,0.4678,0.6238,0.4678,0.4253,0.2651,0.8012,0.4649,0.1449,0.7459
45,0.4760,0.6380,1.1875,0.4658,0.6225,0.4658,0.4260,0.2642,0.7592,0.5288,0.1470,0.7358
46,0.4717,0.6415,1.2159,0.4709,0.6347,0.4709,0.4367,0.2731,0.8056,0.4577,0.1624,0.7355
47,0.4692,0.6418,1.1950,0.4759,0.6339,0.4759,0.4426,0.2782,0.7916,0.4937,0.1690,0.7373
48,0.4679,0.6438,1.1722,0.4731,0.6280,0.4731,0.4346,0.2718,0.7872,0.4892,0.1573,0.7441
49,0.4657,0.6463,1.1284,0.4736,0.6198,0.4736,0.4292,0.2678,0.8030,0.4550,0.1481,0.7575
50,0.4681,0.6451,3.9282,0.1505,0.7645,0.1505,0.1438,0.0971,0.8082,0.4694,0.0772,0.0731
51,0.4741,0.6376,1.1922,0.4789,0.6295,0.4789,0.4486,0.2798,0.7890,0.4829,0.1795,0.7355
52,0.4581,0.6496,1.2177,0.4752,0.6286,0.4752,0.4442,0.2763,0.7758,0.5153,0.1747,0.7291
53,0.4550,0.6509,1.2249,0.4807,0.6314,0.4807,0.4541,0.2832,0.8205,0.4523,0.1901,0.7288
54,0.4533,0.6516,1.1674,0.4810,0.6343,0.4810,0.4448,0.2815,0.7995,0.4901,0.1693,0.7481
55,0.4587,0.6492,1.2908,0.4727,0.6161,0.4727,0.4510,0.2738,0.7951,0.4613,0.1938,0.7088
56,0.4496,0.6528,1.1866,0.4782,0.6316,0.4782,0.4424,0.2779,0.8047,0.4721,0.1682,0.7448
57,0.4489,0.6524,1.1999,0.4783,0.6256,0.4783,0.4438,0.2773,0.8091,0.4694,0.1720,0.7408
58,0.4433,0.6565,1.1872,0.4781,0.6319,0.4781,0.4416,0.2783,0.7846,0.5099,0.1657,0.7445
59,0.4445,0.6561,1.1661,0.4806,0.6284,0.4806,0.4471,0.2799,0.7916,0.4973,0.1755,0.7411
60,0.4404,0.6583,1.2043,0.4937,0.6278,0.4937,0.4771,0.2967,0.7925,0.4937,0.2282,0.7182
61,0.4403,0.6568,1.1974,0.4915,0.6229,0.4915,0.4727,0.2925,0.8161,0.4586,0.2226,0.7205
62,0.4399,0.6584,1.1384,0.4774,0.6305,0.4774,0.4346,0.2749,0.7767,0.5135,0.1528,0.7565
63,0.4374,0.6591,1.2054,0.4879,0.6376,0.4879,0.4617,0.2919,0.8039,0.4955,0.1970,0.7346
64,0.4350,0.6605,1.1404,0.4836,0.6295,0.4836,0.4470,0.2821,0.8231,0.4568,0.1733,0.7514
65,0.4353,0.6598,1.1729,0.4876,0.6364,0.4876,0.4565,0.2892,0.8004,0.4829,0.1864,0.7470
66,0.4348,0.6591,1.1836,0.4911,0.6338,0.4911,0.4641,0.2929,0.8065,0.4784,0.2003,0.7407
67,0.4333,0.6596,1.1764,0.4923,0.6325,0.4923,0.4665,0.2939,0.8074,0.4748,0.2046,0.7394
68,0.4364,0.6593,1.1548,0.4836,0.6326,0.4836,0.4472,0.2827,0.7715,0.5135,0.1717,0.7527
69,0.4324,0.6609,1.1667,0.4926,0.6339,0.4926,0.4664,0.2943,0.7881,0.4973,0.2033,0.7412
70,0.4319,0.6619,1.1520,0.4862,0.6323,0.4862,0.4527,0.2862,0.7960,0.4964,0.1808,0.7482
71,0.4337,0.6608,1.1721,0.4943,0.6361,0.4943,0.4690,0.2972,0.8004,0.4901,0.2067,0.7408
72,0.4311,0.6626,1.1534,0.4917,0.6320,0.4917,0.4648,0.2925,0.7907,0.4901,0.2014,0.7416
73,0.4322,0.6618,1.1789,0.4922,0.6313,0.4922,0.4674,0.2940,0.7968,0.4946,0.2067,0.7358
74,0.4308,0.6611,1.1617,0.4867,0.6346,0.4867,0.4541,0.2874,0.7925,0.4973,0.1828,0.7477
75,0.4316,0.6615,1.1647,0.4957,0.6322,0.4957,0.4726,0.2976,0.8004,0.4865,0.2146,0.7367
76,0.4331,0.6603,1.1538,0.4920,0.6347,0.4920,0.4635,0.2932,0.7960,0.4910,0.1976,0.7452
77,0.4329,0.6619,1.1825,0.4981,0.6335,0.4981,0.4783,0.3016,0.8082,0.4856,0.2250,0.7304
78,0.4305,0.6619,1.1679,0.4904,0.6344,0.4904,0.4630,0.2922,0.7951,0.4955,0.1982,0.7404
79,0.4303,0.6628,1.1905,0.4985,0.6383,0.4985,0.4784,0.3032,0.8004,0.4964,0.2229,0.7331
80,0.4307,0.6620,1.1567,0.4917,0.6342,0.4917,0.4635,0.2927,0.7837,0.5018,0.1979,0.7447
81,0.4288,0.6639,1.1513,0.4939,0.6334,0.4939,0.4672,0.2954,0.7960,0.4964,0.2038,0.7424
82,0.4285,0.6628,1.1518,0.4897,0.6314,0.4897,0.4593,0.2899,0.8004,0.4919,0.1918,0.7449
83,0.4294,0.6629,1.1626,0.4925,0.6350,0.4925,0.4647,0.2941,0.7977,0.4892,0.1998,0.7442
84,0.4302,0.6611,1.1726,0.4961,0.6378,0.4961,0.4719,0.2995,0.8074,0.4865,0.2114,0.7397
85,0.4298,0.6627,1.1572,0.4977,0.6358,0.4977,0.4740,0.3005,0.8030,0.4910,0.2149,0.7398
86,0.4274,0.6631,1.1633,0.4945,0.6375,0.4945,0.4681,0.2973,0.7995,0.4964,0.2045,0.7427
