Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.6683,0.5303,0.9013,0.5468,0.6553,0.5468,0.5059,0.7663,0.2465,0.2390,0.8737
2,0.6055,0.5809,1.2268,0.4984,0.6739,0.4984,0.3994,0.6639,0.1734,0.0862,0.9443
3,0.5853,0.5979,0.9256,0.5517,0.6346,0.5517,0.5074,0.7477,0.0871,0.2627,0.8882
4,0.5703,0.6088,0.9243,0.5519,0.5926,0.5519,0.5333,0.7800,0.1688,0.3467,0.7850
5,0.5587,0.6147,0.9508,0.5192,0.6470,0.5192,0.4528,0.8106,0.2275,0.1563,0.8900
6,0.5471,0.6240,0.9361,0.5493,0.6531,0.5493,0.5076,0.9118,0.1765,0.2432,0.8634
7,0.5376,0.6281,1.0092,0.5617,0.6470,0.5617,0.5249,0.8914,0.1878,0.2718,0.8643
8,0.5274,0.6353,0.9517,0.5082,0.6613,0.5082,0.4394,0.8328,0.3698,0.1320,0.8641
9,0.5039,0.6501,0.9032,0.5583,0.6419,0.5583,0.5247,0.8337,0.2790,0.2689,0.8546
10,0.4942,0.6570,0.9641,0.5608,0.6275,0.5608,0.5345,0.8381,0.2144,0.3071,0.8303
11,0.4871,0.6628,0.9456,0.5464,0.6325,0.5464,0.5032,0.8018,0.2275,0.2386,0.8706
12,0.4789,0.6682,0.9979,0.5356,0.6528,0.5356,0.4737,0.8412,0.2415,0.1785,0.8987
13,0.4735,0.6723,0.9446,0.5519,0.6427,0.5519,0.5137,0.8288,0.2632,0.2516,0.8604
14,0.4656,0.6783,0.9424,0.5588,0.6370,0.5588,0.5246,0.8749,0.2271,0.2749,0.8511
15,0.4487,0.6894,1.0311,0.5380,0.6500,0.5380,0.4838,0.8279,0.2465,0.1974,0.8863
16,0.4425,0.6938,1.0166,0.5462,0.6399,0.5462,0.5010,0.8333,0.2533,0.2278,0.8725
17,0.4379,0.6969,1.0447,0.5469,0.6412,0.5469,0.5014,0.8324,0.2235,0.2310,0.8755
18,0.4343,0.7000,0.9874,0.5596,0.6339,0.5596,0.5248,0.8306,0.2357,0.2743,0.8593
