Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.4557,0.6067,1.8732,0.2988,0.6833,0.2988,0.3458,0.2240,0.8240,0.6820,0.1930,0.2656
2,0.2935,0.7101,1.3304,0.4740,0.6495,0.4740,0.4710,0.2796,0.8879,0.4847,0.6297,0.2479
3,0.2329,0.7430,1.3774,0.4800,0.6839,0.4800,0.3797,0.2674,0.6235,0.6360,0.0473,0.8758
4,0.2023,0.7591,1.3155,0.5045,0.6320,0.5045,0.4895,0.3092,0.6673,0.8027,0.2370,0.7067
5,0.1848,0.7705,1.3747,0.5323,0.5971,0.5323,0.5467,0.3240,0.7688,0.6081,0.4843,0.5325
6,0.1657,0.7814,1.2232,0.5690,0.6443,0.5690,0.5772,0.3729,0.5788,0.8315,0.4182,0.6815
7,0.1560,0.7873,1.2622,0.5954,0.6197,0.5954,0.6026,0.3665,0.5744,0.5532,0.5632,0.6382
8,0.1474,0.7959,1.4014,0.5702,0.6269,0.5702,0.5833,0.3676,0.6576,0.7559,0.4960,0.6039
9,0.1384,0.8039,1.4177,0.5610,0.6189,0.5610,0.5653,0.3494,0.7347,0.6189,0.6650,0.4183
10,0.1419,0.8037,1.7608,0.5459,0.6445,0.5459,0.5544,0.3526,0.5560,0.8225,0.3652,0.6867
11,0.1097,0.8297,1.5140,0.5589,0.6009,0.5589,0.5692,0.3409,0.6926,0.6658,0.5521,0.5285
12,0.1059,0.8353,1.6929,0.5719,0.6229,0.5719,0.5802,0.3603,0.6865,0.6063,0.6529,0.4657
13,0.1042,0.8389,1.6562,0.5805,0.6160,0.5805,0.5794,0.3602,0.6953,0.4694,0.4376,0.7255
14,0.0951,0.8487,1.7147,0.5825,0.6038,0.5825,0.5823,0.3471,0.7119,0.3243,0.6873,0.4946
15,0.0837,0.8614,1.7513,0.6033,0.6192,0.6033,0.6081,0.3792,0.7084,0.3829,0.5891,0.6351
16,0.0802,0.8669,1.9128,0.6052,0.6339,0.6052,0.6123,0.3898,0.6042,0.5396,0.5381,0.6840
17,0.0781,0.8700,1.8387,0.5587,0.6225,0.5587,0.5661,0.3490,0.7032,0.5964,0.6565,0.4301
18,0.0758,0.8730,1.8183,0.5829,0.6244,0.5829,0.5948,0.3720,0.7093,0.5288,0.5552,0.5997
19,0.0721,0.8782,1.7498,0.5916,0.6101,0.5916,0.5966,0.3619,0.6524,0.4441,0.5482,0.6489
20,0.0713,0.8807,2.1237,0.5725,0.6395,0.5725,0.5468,0.3535,0.5779,0.3703,0.3171,0.8637
21,0.0625,0.8912,2.0717,0.5934,0.6035,0.5934,0.5913,0.3513,0.6874,0.2541,0.6838,0.5381
22,0.0623,0.8919,2.0019,0.5963,0.6124,0.5963,0.6011,0.3673,0.6891,0.3685,0.6070,0.6055
23,0.0606,0.8943,2.0906,0.5766,0.6146,0.5766,0.5861,0.3560,0.6173,0.6144,0.5068,0.6357
24,0.0587,0.8970,2.2782,0.5991,0.6110,0.5991,0.5933,0.3646,0.6278,0.2919,0.4835,0.7598
25,0.0550,0.9022,2.2029,0.5992,0.6089,0.5992,0.6029,0.3623,0.6103,0.3901,0.5840,0.6451
26,0.0542,0.9034,2.1516,0.5932,0.6133,0.5932,0.5950,0.3577,0.6278,0.3676,0.6936,0.5195
27,0.0540,0.9039,2.2560,0.5770,0.6064,0.5770,0.5747,0.3369,0.6278,0.3739,0.7231,0.4507
28,0.0532,0.9051,2.1694,0.5951,0.6080,0.5951,0.5979,0.3613,0.6375,0.3955,0.5426,0.6726
29,0.0513,0.9086,2.2771,0.5967,0.6119,0.5967,0.6027,0.3616,0.5963,0.4360,0.6080,0.6099
30,0.0509,0.9093,2.1256,0.5920,0.6068,0.5920,0.5974,0.3571,0.6287,0.4243,0.5809,0.6233
31,0.0503,0.9099,2.3795,0.5991,0.6093,0.5991,0.6028,0.3608,0.5876,0.4027,0.5811,0.6493
