Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_MCC,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9800,0.2496,2.3137,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
2,0.9727,0.2496,2.4102,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
3,0.9719,0.2498,2.4045,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
4,0.9719,0.2496,2.3592,0.0675,0.0046,0.0675,0.0085,0.0000,1.0000,0.0000,0.0000,0.0000
5,0.9689,0.2521,2.3902,0.0804,0.4265,0.0804,0.0339,0.0108,0.9982,0.0000,0.0138,0.0163
6,0.9648,0.2560,2.3943,0.0718,0.4278,0.0718,0.0171,0.0030,0.9991,0.0000,0.0089,0.0010
7,0.9573,0.2624,2.4512,0.0835,0.6414,0.0835,0.0394,0.0431,0.9982,0.0000,0.0011,0.0366
8,0.9373,0.2676,2.0268,0.0906,0.7345,0.0906,0.0520,0.0488,0.9834,0.0757,0.0005,0.0443
9,0.8618,0.3077,2.1259,0.1122,0.7245,0.1122,0.0829,0.0730,0.9028,0.2982,0.0040,0.0698
10,0.8195,0.3262,1.8538,0.1097,0.5954,0.1097,0.0768,0.0686,0.9072,0.3063,0.0067,0.0592
11,0.8005,0.3449,1.9957,0.1534,0.6122,0.1534,0.1428,0.1036,0.8853,0.3423,0.0073,0.1585
12,0.7870,0.3698,1.9230,0.1758,0.5628,0.1758,0.1649,0.1039,0.8538,0.4225,0.0097,0.2010
13,0.7747,0.3848,1.7811,0.2132,0.5071,0.2132,0.1987,0.1077,0.8800,0.3802,0.0088,0.2916
14,0.7575,0.4026,1.9379,0.1987,0.5165,0.1987,0.1895,0.1133,0.8651,0.4207,0.0130,0.2497
