Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0231,0.9315,0.1577,0.9491,0.9846,0.9491,0.9623,0.9692,0.9486
2,0.0130,0.9626,0.1771,0.9544,0.9805,0.9544,0.9647,0.7824,0.9581
3,0.0098,0.9725,0.1238,0.9702,0.9864,0.9702,0.9759,0.9374,0.9709
4,0.0081,0.9781,0.1381,0.9612,0.9851,0.9612,0.9699,0.9407,0.9616
5,0.0072,0.9806,0.1423,0.9535,0.9845,0.9535,0.9650,0.9508,0.9536
6,0.0065,0.9828,0.1078,0.9774,0.9829,0.9774,0.9796,0.7069,0.9831
7,0.0073,0.9816,0.1692,0.9528,0.9827,0.9528,0.9642,0.8803,0.9544
8,0.0056,0.9857,0.0797,0.9783,0.9871,0.9783,0.9814,0.8932,0.9801
9,0.0054,0.9864,0.1094,0.9741,0.9825,0.9741,0.9774,0.7332,0.9792
10,0.0083,0.9821,0.1352,0.9675,0.9864,0.9675,0.9741,0.9575,0.9677
11,0.0061,0.9848,0.0946,0.9769,0.9855,0.9769,0.9800,0.8345,0.9799
12,0.0072,0.9830,0.1444,0.9665,0.9841,0.9665,0.9730,0.8680,0.9685
13,0.0034,0.9915,0.1186,0.9717,0.9824,0.9717,0.9758,0.7528,0.9763
14,0.0032,0.9927,0.0788,0.9839,0.9872,0.9839,0.9851,0.8009,0.9878
15,0.0028,0.9935,0.0871,0.9788,0.9868,0.9788,0.9816,0.8702,0.9810
16,0.0029,0.9934,0.1053,0.9772,0.9814,0.9772,0.9790,0.6404,0.9844
17,0.0028,0.9940,0.0973,0.9821,0.9869,0.9821,0.9839,0.8233,0.9855
18,0.0026,0.9940,0.0835,0.9832,0.9845,0.9832,0.9838,0.6711,0.9898
19,0.0016,0.9966,0.1032,0.9812,0.9804,0.9812,0.9807,0.5000,0.9913
20,0.0014,0.9969,0.0908,0.9807,0.9806,0.9807,0.9806,0.5246,0.9903
21,0.0012,0.9974,0.0896,0.9823,0.9829,0.9823,0.9826,0.6040,0.9903
22,0.0012,0.9974,0.1165,0.9826,0.9814,0.9826,0.9819,0.5062,0.9926
