Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0391,0.8680,0.2594,0.9383,0.9845,0.9383,0.9558,1.0000,0.9370
2,0.0159,0.9558,0.0586,0.9858,0.9915,0.9858,0.9876,0.9978,0.9856
3,0.0043,0.9889,0.0270,0.9922,0.9943,0.9922,0.9928,1.0000,0.9920
4,0.0043,0.9888,0.0380,0.9881,0.9924,0.9881,0.9894,1.0000,0.9878
5,0.0037,0.9904,0.0852,0.9750,0.9887,0.9750,0.9795,1.0000,0.9744
6,0.0028,0.9930,0.0630,0.9853,0.9914,0.9853,0.9872,1.0000,0.9850
7,0.0025,0.9939,0.0641,0.9801,0.9899,0.9801,0.9832,1.0000,0.9797
8,0.0011,0.9974,0.0073,0.9983,0.9984,0.9983,0.9984,0.9983,0.9983
9,0.0011,0.9975,0.0100,0.9976,0.9979,0.9976,0.9977,1.0000,0.9976
10,0.0010,0.9977,0.0117,0.9968,0.9972,0.9968,0.9969,0.9972,0.9968
11,0.0010,0.9978,0.0105,0.9968,0.9973,0.9968,0.9969,0.9994,0.9968
12,0.0011,0.9976,0.0212,0.9946,0.9957,0.9946,0.9949,1.0000,0.9945
13,0.0006,0.9986,0.0153,0.9960,0.9966,0.9960,0.9961,1.0000,0.9959
14,0.0005,0.9989,0.0126,0.9972,0.9975,0.9972,0.9973,1.0000,0.9971
15,0.0005,0.9990,0.0096,0.9978,0.9980,0.9978,0.9979,1.0000,0.9978
16,0.0005,0.9989,0.0158,0.9958,0.9965,0.9958,0.9960,1.0000,0.9957
