Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0166,0.9500,0.2699,0.9168,0.9835,0.9168,0.9428,1.0000,0.9151
2,0.0040,0.9895,0.2330,0.9197,0.9836,0.9197,0.9445,1.0000,0.9180
3,0.0027,0.9934,0.1340,0.9601,0.9864,0.9601,0.9695,1.0000,0.9593
4,0.0025,0.9938,0.1914,0.9506,0.9854,0.9506,0.9634,1.0000,0.9495
5,0.0014,0.9965,0.1009,0.9738,0.9885,0.9738,0.9787,1.0000,0.9733
6,0.0013,0.9968,0.1850,0.9558,0.9859,0.9558,0.9667,1.0000,0.9549
7,0.0012,0.9972,0.1214,0.9738,0.9885,0.9738,0.9787,1.0000,0.9733
8,0.0011,0.9975,0.0918,0.9769,0.9891,0.9769,0.9809,1.0000,0.9765
9,0.0010,0.9976,0.2211,0.9495,0.9853,0.9495,0.9627,1.0000,0.9484
10,0.0009,0.9979,0.0295,0.9917,0.9941,0.9917,0.9924,1.0000,0.9915
11,0.0008,0.9981,0.1227,0.9672,0.9873,0.9672,0.9742,1.0000,0.9666
12,0.0007,0.9985,0.0235,0.9925,0.9945,0.9925,0.9930,1.0000,0.9923
13,0.0006,0.9985,0.0139,0.9955,0.9963,0.9955,0.9957,1.0000,0.9954
14,0.0010,0.9980,0.0658,0.9822,0.9904,0.9822,0.9848,1.0000,0.9818
15,0.0006,0.9986,0.0075,0.9974,0.9977,0.9974,0.9975,1.0000,0.9974
16,0.0008,0.9982,0.0142,0.9951,0.9960,0.9951,0.9953,1.0000,0.9950
17,0.0006,0.9988,0.1026,0.9745,0.9886,0.9745,0.9792,1.0000,0.9739
18,0.0006,0.9985,0.0163,0.9944,0.9956,0.9944,0.9947,1.0000,0.9943
19,0.0005,0.9988,0.0706,0.9820,0.9904,0.9820,0.9846,1.0000,0.9816
20,0.0002,0.9996,0.0194,0.9948,0.9958,0.9948,0.9951,1.0000,0.9947
21,0.0003,0.9994,0.0105,0.9968,0.9972,0.9968,0.9969,1.0000,0.9967
22,0.0003,0.9994,0.0125,0.9960,0.9967,0.9960,0.9962,1.0000,0.9959
23,0.0002,0.9995,0.0407,0.9885,0.9926,0.9885,0.9897,1.0000,0.9883
