Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0340,0.8840,0.4263,0.8376,0.9817,0.8376,0.8950,1.0000,0.8342
2,0.0259,0.9116,0.4006,0.8452,0.9818,0.8452,0.8996,1.0000,0.8419
3,0.0257,0.9129,0.3564,0.8600,0.9820,0.8600,0.9087,1.0000,0.8571
4,0.0258,0.9125,0.3028,0.8771,0.9823,0.8771,0.9190,1.0000,0.8745
5,0.0259,0.9124,0.2681,0.8899,0.9826,0.8899,0.9266,1.0000,0.8875
6,0.0255,0.9130,0.3585,0.8587,0.9820,0.8587,0.9079,1.0000,0.8557
7,0.0261,0.9120,0.4146,0.8422,0.9817,0.8422,0.8978,1.0000,0.8389
8,0.0260,0.9116,0.4153,0.8404,0.9817,0.8404,0.8967,1.0000,0.8370
9,0.0257,0.9126,0.3589,0.8587,0.9820,0.8587,0.9079,1.0000,0.8557
10,0.0250,0.9143,0.3819,0.8515,0.9819,0.8515,0.9035,1.0000,0.8484
11,0.0254,0.9129,0.3890,0.8490,0.9818,0.8490,0.9020,1.0000,0.8458
12,0.0254,0.9129,0.3311,0.8673,0.9821,0.8673,0.9131,1.0000,0.8645
13,0.0253,0.9136,0.4584,0.8275,0.9815,0.8275,0.8887,1.0000,0.8238
