Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.1173,0.5970,3.3963,0.1316,0.9798,0.1316,0.2002,1.0000,0.1133
2,0.0726,0.7197,1.4976,0.4336,0.9801,0.4336,0.5824,1.0000,0.4217
3,0.0635,0.7680,1.0667,0.5425,0.9802,0.5425,0.6826,0.9994,0.5329
4,0.0575,0.7920,1.3039,0.4383,0.9800,0.4383,0.5870,0.9994,0.4265
5,0.0525,0.8099,0.9873,0.5590,0.9799,0.5590,0.6966,0.9911,0.5499
6,0.0503,0.8173,1.0701,0.4916,0.9801,0.4916,0.6376,1.0000,0.4809
7,0.0474,0.8293,1.2940,0.4899,0.9801,0.4899,0.6360,1.0000,0.4791
8,0.0443,0.8408,0.9578,0.5763,0.9803,0.5763,0.7109,1.0000,0.5674
9,0.0425,0.8502,0.7447,0.6635,0.9800,0.6635,0.7785,0.9849,0.6567
10,0.0395,0.8625,0.6013,0.7290,0.9807,0.7290,0.8248,0.9978,0.7233
11,0.0384,0.8675,0.7234,0.7041,0.9807,0.7041,0.8076,0.9989,0.6979
12,0.0358,0.8770,0.8161,0.6830,0.9806,0.6830,0.7926,0.9989,0.6763
13,0.0345,0.8829,0.4706,0.7865,0.9809,0.7865,0.8629,0.9911,0.7821
14,0.0331,0.8885,0.7434,0.7346,0.9808,0.7346,0.8286,0.9989,0.7290
15,0.0318,0.8945,0.6932,0.7495,0.9809,0.7495,0.8386,0.9989,0.7442
16,0.0313,0.8974,1.1692,0.6490,0.9805,0.6490,0.7677,0.9989,0.6416
17,0.0300,0.9012,0.6794,0.8446,0.9806,0.8446,0.8992,0.9558,0.8422
18,0.0290,0.9069,0.7230,0.8530,0.9815,0.8530,0.9044,0.9871,0.8502
19,0.0315,0.9001,1.1240,0.7752,0.9807,0.7752,0.8556,0.9883,0.7707
20,0.0279,0.9100,0.9671,0.8121,0.9809,0.8121,0.8791,0.9810,0.8085
21,0.0271,0.9138,0.6589,0.8299,0.9813,0.8299,0.8902,0.9905,0.8265
22,0.0272,0.9136,1.0162,0.7608,0.9810,0.7608,0.8461,0.9994,0.7558
23,0.0247,0.9218,0.6643,0.8379,0.9814,0.8379,0.8952,0.9905,0.8347
24,0.0240,0.9249,0.8756,0.8317,0.9812,0.8317,0.8913,0.9849,0.8284
25,0.0240,0.9251,0.9321,0.8017,0.9812,0.8017,0.8726,0.9950,0.7976
26,0.0234,0.9273,0.8213,0.8440,0.9816,0.8440,0.8989,0.9944,0.8408
